Zachary’s karate club ,TR,BC,CNC,PR,TPN
TOP-1,0.117424242,0.117424242,0.117424242,0.115530303,0.117424242
TOP-3,0.07311828,0.07311828,0.077419355,0.07311828,0.07311828
TOP-4,0.059770115,0.059770115,0.073563218,0.059770115,0.059770115
Dolphins  Network ,,,,,
TOP-1,0.080327869,0.083060109,0.083060109,0.081420765,0.080874317
TOP-3,0.069548872,0.078320802,0.073934837,0.071428571,0.068922306
Blogs Network ,,,,,
TOP-3,0.079485681,0.081239041,0.079485681,0.081239041,0.079485681
TOP-4,0.050363448,0.050363448,0.050363448,0.050363448,0.050363448
USAir97 Network ,,,,,
TOP-1,0.036381946,0.036381946,0.036381946,0.036766456,0.036381946
TOP-3,0.032823041,0.034138928,0.033249314,0.034138928,0.032823041
TOP-4,0.031326919,0.033135675,0.03162527,0.033135675,0.031326919
E-mail network URV ,,,,,
TOP-1,0.008404333,0.008434013,0.008434013,0.008404333,0.008404333
TOP-3,0.008285192,0.008274219,0.008274219,0.008325952,0.008275786
TOP-5,0.008204484,0.008180886,0.008150994,0.008150994,0.008157287
