,Zachary’s karate club ,TR,BC,CNC,PR,TPN
0,TOP-1,0.117424,0.117424,0.117424,0.11553,0.117424
1,TOP-3,0.073118,0.073118,0.077419,0.073118,0.073118
2,TOP-4,0.05977,0.05977,0.073563,0.05977,0.05977
3,Dolphins  Network ,,,,,
4,TOP-1,0.080328,0.08306,0.08306,0.081421,0.080874
5,TOP-3,0.069549,0.078321,0.073935,0.071429,0.068922
6,Blogs Network ,,,,,
7,TOP-3,0.079486,0.081239,0.079486,0.081239,0.079486
8,TOP-4,0.050363,0.050363,0.050363,0.050363,0.050363
9,USAir97 Network ,,,,,
10,TOP-1,0.036382,0.036382,0.036382,0.036766,0.036382
11,TOP-3,0.032823,0.034139,0.033249,0.034139,0.032823
12,TOP-4,0.031327,0.033136,0.031625,0.033136,0.031327
13,E-mail network URV ,,,,,
14,TOP-1,0.008404,0.008434,0.008434,0.008404,0.008404
15,TOP-3,0.008285,0.008274,0.008274,0.008326,0.008276
16,TOP-5,0.008204,0.008181,0.008151,0.008151,0.008157
