,TR,BC,CNC,PR,TPN
,,,,,
Top-1,0.117424,0.117424,0.117424,0.11553,0.117424
Top-3,0.073118,0.073118,0.077419,0.073118,0.073118
Top-5,0.046798,0.05665,0.073891,0.046798,0.046798
,,,,,
Top-1,0.080328,0.08306,0.08306,0.081421,0.080874
Top-3,0.069549,0.078321,0.073935,0.071429,0.068922
Top-5,0.069549,0.078321,0.073935,0.071429,0.069549
,,,,,
Top-1,0.061589,0.061589,0.061589,0.061589,0.061589
Top-3,0.079486,0.081239,0.079486,0.081239,0.079486
Top-5,0.049198,0.048669,0.049198,0.048669,0.047963
,,,,,
Top-1,0.036382,0.036382,0.036382,0.036766,0.036382
Top-3,0.032823,0.034139,0.033249,0.034139,0.032823
Top-5,0.029831,0.032345,0.030619,0.031632,0.029831
,,,,,
Top-1,0.008404,0.008434,0.008434,0.008404,0.008404
Top-3,0.008285,0.008274,0.008274,0.008326,0.008285
Top-5,0.008204,0.008181,0.008151,0.008233,0.008179
