,nodes_ec,EC
0,1312,0.2249711265573941
1,1314,0.2249711265573941
2,1315,0.2249711265573941
3,1313,0.22319937164635859
4,1316,0.22319937164635859
5,1316,0.22319937164635859
6,1317,0.22319937164635859
7,1318,0.22319937164635859
8,1319,0.22319937164635859
9,1320,0.22319937164635859
10,1321,0.22319937164635859
11,1322,0.22319937164635859
12,1323,0.22319937164635859
13,1324,0.22319937164635859
14,1325,0.22319937164635859
15,1326,0.22319937164635859
16,1327,0.22319937164635859
17,1328,0.22319937164635859
18,1329,0.22319937164635859
19,1330,0.22319937164635859
20,1331,0.03547729075165179
21,31,6.702250472621598e-05
22,32,5.774199960691228e-05
23,51,5.6054172447778776e-05
24,50,4.13685313258522e-05
25,124,3.833329402739359e-05
26,125,3.5309404988496044e-05
27,126,3.5309404988496044e-05
28,534,3.5309404988496044e-05
29,535,3.5309404988496044e-05
30,786,2.3809833491699845e-05
31,29,2.2576696833436218e-05
32,1097,2.1823316120011045e-05
33,1098,2.1823316120011045e-05
34,48,1.9565961434034104e-05
35,1425,1.875867117244811e-05
36,49,1.7727779471683086e-05
37,785,1.7425518954394326e-05
38,1132,1.7208245749744337e-05
39,1133,1.7208245749744337e-05
40,123,1.4352844846720781e-05
41,1426,1.3832582140701901e-05
42,467,1.3121578606481136e-05
43,468,1.3121578606481136e-05
44,617,1.2246265378605175e-05
45,1404,1.1857655840057523e-05
46,707,1.0840614816147665e-05
47,712,1.0102036633662655e-05
48,359,9.99743643308145e-06
49,620,9.811841142160054e-06
50,357,9.81033007517376e-06
51,358,9.81033007517376e-06
52,615,9.579797826948882e-06
53,618,9.579797826948882e-06
54,1194,9.309344861878324e-06
55,179,9.080748784407298e-06
56,485,9.080748784407298e-06
57,486,9.080748784407298e-06
58,487,9.080748784407298e-06
59,713,8.414517315997745e-06
60,714,8.414517315997745e-06
61,940,8.341848593858526e-06
62,1048,8.125129158424335e-06
63,809,6.750487866810483e-06
64,711,6.6217618722786065e-06
65,443,6.59234104642132e-06
66,464,6.457023002301849e-06
67,854,6.4334115458992465e-06
68,850,6.133911589109338e-06
69,1209,5.9242890199207615e-06
70,1107,5.919643644570454e-06
71,1350,5.642578236371806e-06
72,1351,5.642578236371806e-06
73,1352,5.642578236371806e-06
74,953,4.410043091645641e-06
75,954,4.410043091645641e-06
76,725,4.409451763598044e-06
77,852,4.312212080162353e-06
78,853,4.312212080162353e-06
79,52,4.203598853312461e-06
80,53,4.167850553488187e-06
81,932,3.884902251634908e-06
82,831,3.840389371516948e-06
83,1112,3.7984441788335603e-06
84,1113,3.7984441788335603e-06
85,1114,3.7984441788335603e-06
86,308,3.7703202442938814e-06
87,1108,3.645351227951679e-06
88,1109,3.645351227951679e-06
89,1110,3.645351227951679e-06
90,1111,3.645351227951679e-06
91,384,3.5992728080314296e-06
92,726,3.5401279609059733e-06
