,TR,TR_i,EC,EC_i,CNC,CNC_i,BC,BC_i,DC,DC_i,PR,PR_i
1,1429,173,1429,0.2249711265573941,78,0.0664397511369026,78,0.026571553488706785,33,0.023287671232876714,78,0.0025156270835932017
2,1430,173,1430,0.2249711265573941,281,0.06447019329687584,150,0.023090282944817464,34,0.018493150684931507,33,0.00236358281812412
3,1431,173,1431,0.2249711265573941,150,0.06396454472199839,516,0.0191346916061958,78,0.018493150684931507,281,0.0016896270078108153
4,645,171,645,0.22319937164635859,756,0.06293617583579263,281,0.018073839576191818,54,0.014383561643835616,216,0.0015192496488665196
5,1432,171,1432,0.22319937164635859,301,0.06029929354569164,216,0.017088078717830756,294,0.0136986301369863,34,0.0014371700058243982
6,1433,171,1433,0.22319937164635859,151,0.0597106488252944,34,0.016766975422096438,1429,0.0136986301369863,294,0.0014269241808148713
7,1434,171,1434,0.22319937164635859,34,0.059456715324822315,756,0.01549760699049088,1430,0.0136986301369863,46,0.0014009223327929592
8,1435,171,1435,0.22319937164635859,131,0.057568090249798545,301,0.014821572838409864,1431,0.0136986301369863,516,0.001378837156416234
9,1436,171,1436,0.22319937164635859,759,0.05703132483954402,131,0.011699305444404494,62,0.013013698630136987,327,0.0013047706606104264
10,1437,171,1437,0.22319937164635859,1123,0.056931793731621605,203,0.011686473736942381,216,0.013013698630136987,219,0.00130459017209307
