,TR,TR_i,EC,EC_i,CNC,CNC_i,BC,BC_i,DC,DC_i,PR,PR_i
1,1429,173,1429,0.2249711265573941,78,0.0664397511369026,78,0.026571553488706785,33,0.023287671232876714,78,0.0025156270835932017
2,1430,173,1430,0.2249711265573941,281,0.06447019329687584,150,0.023090282944817464,34,0.018493150684931507,33,0.00236358281812412
3,1431,173,1431,0.2249711265573941,150,0.06396454472199839,516,0.0191346916061958,78,0.018493150684931507,281,0.0016896270078108153
4,645,171,645,0.22319937164635859,756,0.06293617583579263,281,0.018073839576191818,54,0.014383561643835616,216,0.0015192496488665196
5,1432,171,1432,0.22319937164635859,301,0.06029929354569164,216,0.017088078717830756,294,0.0136986301369863,34,0.0014371700058243982
6,1433,171,1433,0.22319937164635859,151,0.0597106488252944,34,0.016766975422096438,1429,0.0136986301369863,294,0.0014269241808148713
7,1434,171,1434,0.22319937164635859,34,0.059456715324822315,756,0.01549760699049088,1430,0.0136986301369863,46,0.0014009223327929592
8,1435,171,1435,0.22319937164635859,131,0.057568090249798545,301,0.014821572838409864,1431,0.0136986301369863,516,0.001378837156416234
9,1436,171,1436,0.22319937164635859,759,0.05703132483954402,131,0.011699305444404494,62,0.013013698630136987,327,0.0013047706606104264
10,1437,171,1437,0.22319937164635859,1123,0.056931793731621605,203,0.011686473736942381,216,0.013013698630136987,219,0.00130459017209307
11,1438,171,1438,0.22319937164635859,757,0.05689869385154508,151,0.010462876991399838,645,0.013013698630136987,96,0.0012962443519634254
12,1439,171,1439,0.22319937164635859,758,0.05689869385154508,33,0.010172545861183277,1432,0.013013698630136987,62,0.0012602355225775162
13,1440,171,1440,0.22319937164635859,1178,0.05647187156644982,46,0.009929775605327864,1433,0.013013698630136987,654,0.0012579419976178163
14,1441,171,1441,0.22319937164635859,1342,0.05647187156644982,219,0.008367368654955385,1434,0.013013698630136987,150,0.0012481047837239162
15,1442,171,1442,0.22319937164635859,203,0.05608352631785532,30,0.0061187060651870795,1435,0.013013698630136987,69,0.0012445833457844255
16,1443,171,1443,0.22319937164635859,46,0.0560193207925916,307,0.0058240303454233045,1436,0.013013698630136987,244,0.0012280094284339406
17,1444,171,1444,0.22319937164635859,516,0.05589134975708597,72,0.004839181039546771,1437,0.013013698630136987,151,0.0012196427714439104
18,1445,171,1445,0.22319937164635859,71,0.05544801893748302,654,0.0046832325327467615,1438,0.013013698630136987,631,0.0012142135452429842
19,1446,171,1446,0.22319937164635859,33,0.055228980487955714,71,0.0044735010550375365,1439,0.013013698630136987,54,0.0011760697656129392
20,1447,171,1447,0.22319937164635859,69,0.055166715571960276,327,0.004320554040815604,1440,0.013013698630136987,482,0.0011656622342016418
21,33,75,1448,0.03547729075165179,72,0.05501166578114532,53,0.0037087477574487826,1441,0.013013698630136987,415,0.0011558575454613897
22,34,64,33,6.702250472621598e-05,30,0.05482675261885576,127,0.0031326579473649617,1442,0.013013698630136987,121,0.001148992455917144
23,54,58,34,5.774199960691228e-05,761,0.05482675261885576,184,0.003118104913292084,1443,0.013013698630136987,71,0.001147799911524044
24,62,54,54,5.6054172447778776e-05,762,0.0544303411705548,697,0.003118104913292084,1444,0.013013698630136987,53,0.001134296393450396
25,916,51,53,4.13685313258522e-05,763,0.0544303411705548,596,0.0030510727970617445,1445,0.013013698630136987,9,0.0011337097026561747
26,913,48,132,3.833329402739359e-05,517,0.05436986301369862,402,0.0030404940050315467,1446,0.013013698630136987,517,0.0011271512901090553
27,1201,44,133,3.5309404988496044e-05,225,0.05430951910358354,55,0.0028652352228225215,1447,0.013013698630136987,194,0.0011148796401372542
28,219,41,134,3.5309404988496044e-05,760,0.05430951910358354,51,0.002817432800529744,219,0.012328767123287671,1018,0.001114250443189596
29,294,41,561,3.5309404988496044e-05,307,0.05406947703019753,69,0.002805483947426296,281,0.011643835616438357,973,0.0011019560430260077
30,53,40,562,3.5309404988496044e-05,308,0.05374286294599535,194,0.0027929306680938033,53,0.010958904109589041,308,0.0010962770897480713
