,NDR,TR,BC,CNC,DC,EC,PR,TC,PI,CC,TPN
NDR,1,1,0.666666667,1,1,1,0.666666667,1,1,0,1
TR,1,1,0.666666667,1,1,1,0.666666667,1,1,0,1
BC,0.666666667,0.666666667,1,0.666666667,0.666666667,0.666666667,1,0.666666667,0.666666667,-0.333333333,0.666666667
CNC,1,1,0.666666667,1,1,1,0.666666667,1,1,0,1
DC,1,1,0.666666667,1,1,1,0.666666667,1,1,0,1
EC,1,1,0.666666667,1,1,1,0.666666667,1,1,0,1
PR,0.666666667,0.666666667,1,0.666666667,0.666666667,0.666666667,1,0.666666667,0.666666667,-0.333333333,0.666666667
TC,1,1,0.666666667,1,1,1,0.666666667,1,1,0,1
PI,1,1,0.666666667,1,1,1,0.666666667,1,1,0,1
CC,0,0,-0.333333333,0,0,0,-0.333333333,0,0,1,0
TPN,1,1,0.666666667,1,1,1,0.666666667,1,1,0,1
