,TC,TC_i,PI,PI_i,CC,CC_i
0,6,0.4864,6,0.0070027864087120265,6,0.051738349553300755
1,2,0.4752,2,0.013403945317264684,40,0.05671248264996165
2,13,0.4667,13,0.018555560916050932,13,0.06308683108387468
3,40,0.4569,40,0.026900521870124282,2,0.06349907239558737
4,36,0.449,28,0.029401906419612246,4,0.0722949277668475
5,28,0.4457,36,0.029692710142732857,36,0.07482318122309688
6,29,0.4324,29,0.03737982386626994,23,0.08824475428945325
7,21,0.4242,21,0.044061403972576185,20,0.09332747341323619
8,20,0.4167,7,0.05084220106056831,1,0.0943223842434609
9,7,0.4107,20,0.051620363200875485,73,0.09860050154320987
10,5,0.4074,48,0.05434310059994783,61,0.10164998340675174
11,48,0.4074,5,0.056650804441423064,7,0.10557548688454348
12,23,0.4038,24,0.05817335660267597,9,0.10631558705678465
13,51,0.4038,51,0.05822009524807582,21,0.10776388985174319
14,1,0.4,17,0.05878169067898731,22,0.10845466457473342
15,4,0.4,4,0.0596178495841655,54,0.10933289072874826
16,24,0.4,23,0.06103515625,70,0.11460843248493098
17,15,0.3958,15,0.06117367818974851,24,0.11879588423400908
18,17,0.3958,1,0.062317332319638055,28,0.12147980689144422
19,61,0.3913,54,0.06939384476596926,51,0.12166677043847987
20,9,0.3864,59,0.07093456286575633,29,0.1274746893767159
21,54,0.3864,46,0.07101213597403797,5,0.1282832895925596
22,59,0.3864,9,0.07238561263563255,52,0.12837921083737344
23,46,0.381,61,0.0749928756768107,55,0.1285543395221717
24,56,0.381,56,0.07553155330639374,17,0.13353642592736562
25,70,0.375,22,0.07729468599033816,72,0.1371621882086168
26,22,0.3684,70,0.08097756111781425,85,0.13726831070044543
27,72,0.3684,72,0.08387291575804341,59,0.1373293871330045
28,81,0.3529,81,0.08986825314089544,48,0.1381396845326963
29,25,0.3333,25,0.09176500816708573,19,0.14037854837972688
30,26,0.3333,26,0.09297222919513941,53,0.14087275673637345
31,52,0.3333,53,0.09306307815437304,3,0.1415316471941692
32,53,0.3333,52,0.09892273145446091,46,0.14479969925417333
33,55,0.3333,55,0.10091632018730069,15,0.1487234245162618
34,85,0.3333,85,0.1009295612591972,56,0.14890673821054817
35,3,0.3214,10,0.11168442449016061,27,0.1565682752097396
36,10,0.3214,76,0.11486067400243503,16,0.15672657054051167
37,30,0.3077,30,0.11499407780499304,10,0.15742072244033822
38,76,0.3077,3,0.11517154802077693,37,0.15840794665254643
39,43,0.2917,43,0.12977406335569772,44,0.16122577834545046
40,73,0.2917,79,0.1406845711230849,49,0.16781068167930782
41,79,0.2727,73,0.14691191161779396,81,0.16899668337706703
42,67,0.25,67,0.15319566149886635,30,0.17214268720420106
43,19,0.2222,92,0.1728369456254969,79,0.1760249835334078
44,35,0.2222,19,0.175821084464449,76,0.1772940678875248
45,45,0.2222,87,0.17712281696128093,25,0.18019247899779692
46,49,0.2222,49,0.18161345392466674,43,0.18182708026984218
47,68,0.2222,68,0.18291902174907168,26,0.18320040095141918
48,75,0.2222,45,0.18334158370460005,57,0.1861673010381073
49,92,0.2222,35,0.1835030736764841,93,0.187264935834075
50,87,0.1875,75,0.18634813558690347,75,0.1883744638362172
51,11,0.1429,44,0.22206924118940286,104,0.1916953656462585
52,27,0.1429,83,0.22303008675870375,77,0.1950547239976027
53,32,0.1429,77,0.2252607393057464,97,0.1953994231924635
54,37,0.1429,11,0.22778005557833356,83,0.19729512137432448
55,44,0.1429,27,0.2289586958512684,11,0.19957714123298542
56,77,0.1429,37,0.23087756562694806,87,0.20275605245385464
57,83,0.1429,32,0.23563787171874262,67,0.2072156727392393
58,57,0.0833,97,0.2833262501770789,45,0.21269838927306461
59,93,0.0833,93,0.28987187663052927,68,0.21369825651348973
60,0,0.0,57,0.29959853795913477,32,0.2193317936091061
61,16,0.0,69,0.3100198412698413,18,0.22128781281444948
62,18,0.0,78,0.3147029204431017,35,0.241318166328768
63,69,0.0,0,0.31726894888797236,92,0.2567546002227321
64,78,0.0,18,0.31936637710781807,78,0.27326953613077887
65,97,0.0,104,0.3201331754009668,0,0.3912720854760297
66,104,0.0,16,0.3213677411061478,69,0.43441358024691357
