,nodes_name,new_name
0,1,1
1,2,2
2,4,3
3,6,4
4,9,5
5,11,6
6,75,7
7,116,8
8,130,9
9,132,10
10,3,11
11,68,12
12,152,13
13,174,14
14,118,15
15,126,16
16,156,17
17,163,18
18,181,19
19,183,20
20,190,21
21,196,22
22,198,23
23,5,24
24,119,25
25,173,26
26,12,27
27,7,28
28,26,29
29,28,30
30,51,31
31,73,32
32,89,33
33,95,34
34,8,35
35,60,36
36,74,37
37,15,38
38,109,39
39,194,40
40,214,41
41,215,42
42,236,43
43,10,44
44,104,45
45,219,46
46,237,47
47,125,48
48,139,49
49,143,50
50,13,51
51,17,52
52,14,53
53,87,54
54,115,55
55,16,56
56,23,57
57,25,58
58,20,59
59,85,60
60,93,61
61,120,62
62,18,63
63,42,64
64,54,65
65,19,66
66,36,67
67,44,68
68,77,69
69,21,70
70,71,71
71,76,72
72,133,73
73,210,74
74,211,75
75,22,76
76,86,77
77,107,78
78,49,79
79,191,80
80,27,81
81,50,82
82,52,83
83,29,84
84,31,85
85,34,86
86,35,87
87,39,88
88,40,89
89,30,90
90,53,91
91,32,92
92,67,93
93,33,94
94,113,95
95,37,96
96,94,97
97,38,98
98,41,99
99,43,100
100,48,101
101,46,102
102,138,103
103,168,104
104,169,105
105,186,106
106,233,107
107,47,108
108,80,109
109,79,110
110,91,111
111,58,112
112,59,113
113,61,114
114,62,115
115,83,116
116,88,117
117,96,118
118,65,119
119,72,120
120,92,121
121,100,122
122,106,123
123,64,124
124,82,125
125,84,126
126,102,127
127,216,128
128,226,129
129,69,130
130,70,131
131,99,132
132,213,133
133,90,134
134,81,135
135,158,136
136,164,137
137,176,138
138,188,139
139,189,140
140,192,141
141,110,142
142,142,143
143,217,144
144,199,145
145,205,146
146,241,147
147,242,148
148,97,149
149,98,150
150,222,151
151,228,152
152,146,153
153,187,154
154,203,155
155,207,156
156,208,157
157,108,158
158,101,159
159,225,160
160,103,161
161,136,162
162,137,163
163,202,164
164,105,165
165,223,166
166,112,167
167,140,168
168,123,169
169,111,170
170,131,171
171,234,172
172,114,173
173,141,174
174,134,175
175,129,176
176,117,177
177,157,178
178,167,179
179,177,180
180,179,181
181,182,182
182,193,183
183,195,184
184,124,185
185,149,186
186,175,187
187,200,188
188,206,189
189,122,190
190,201,191
191,161,192
192,172,193
193,185,194
194,255,195
195,257,196
196,263,197
197,265,198
198,127,199
199,128,200
200,180,201
201,220,202
202,170,203
203,178,204
204,212,205
205,145,206
206,165,207
207,148,208
208,151,209
209,150,210
210,160,211
211,153,212
212,166,213
213,154,214
214,162,215
215,155,216
216,159,217
217,270,218
218,276,219
219,272,220
220,277,221
221,269,222
222,235,223
223,271,224
224,273,225
225,171,226
226,256,227
227,218,228
228,247,229
229,221,230
230,232,231
231,280,232
232,227,233
233,251,234
234,204,235
235,246,236
236,240,237
237,230,238
238,238,239
239,239,240
240,245,241
241,284,242
242,253,243
243,248,244
244,249,245
245,254,246
246,274,247
247,258,248
