,TR,TR_i,EC,EC_i,CNC,CNC_i,BC,BC_i,DC,DC_i,PR,PR_i
1,186,7,25,0.29416920406019587,62,0.2949479355377369,54,0.09492385459232326,25,0.06882591093117409,80,0.008313329500285216
2,202,5,15,0.2910865867107044,15,0.2941848102193986,50,0.08486600352939203,15,0.06072874493927126,25,0.006964421087472831
3,104,4,13,0.2148409733043571,54,0.2941848102193986,62,0.07354322820707178,54,0.05263157894736842,103,0.006866516447450223
4,139,4,60,0.20928451689270008,50,0.293804726485265,52,0.0733682271856509,16,0.048582995951417005,36,0.0067628383260401725
5,179,4,54,0.194600921194778,25,0.29117139346939197,15,0.07308283781902249,50,0.048582995951417005,100,0.006570073946953994
6,191,4,16,0.1926335722013551,52,0.28640410365188307,55,0.06789000718978828,60,0.048582995951417005,30,0.0065524799083616905
7,15,3,50,0.19112491245308605,60,0.2856844953512501,132,0.06670416937143415,3,0.04048582995951417,124,0.006429885118121821
8,16,3,136,0.1826644584706361,13,0.28214002270421235,25,0.06407472858072503,26,0.04048582995951417,16,0.006229591854193532
9,26,3,139,0.1794841992149342,117,0.2810937679846664,60,0.06338132310116379,36,0.04048582995951417,15,0.006136344758241515
10,50,3,3,0.17246701645082435,132,0.2786824243867588,36,0.05633432834679659,62,0.04048582995951417,203,0.006055098520687855
11,62,3,186,0.165677438752448,141,0.2783413198281458,141,0.05396519398650142,80,0.04048582995951417,52,0.006031976241337507
12,106,3,24,0.16025784659481587,38,0.276312099999508,117,0.05329163581758309,100,0.04048582995951417,137,0.0060005648643429695
13,153,3,40,0.1549874784342337,139,0.276312099999508,16,0.05232655271475861,13,0.03643724696356275,132,0.005970085368715513
14,13,2,62,0.14909037980635315,136,0.27564225248435775,100,0.04960917998164383,24,0.03643724696356275,54,0.005927351287113531
15,22,2,182,0.14643014739920343,12,0.27530854515689485,80,0.0492557863354937,52,0.03643724696356275,26,0.005739824543205401
16,25,2,26,0.14164701993313691,186,0.27332314699470567,97,0.04832782556255272,103,0.03643724696356275,18,0.005723027488220607
17,40,2,19,0.13837059954284736,142,0.27234114766418577,103,0.04764150056374947,124,0.03643724696356275,60,0.005627729986103999
18,70,2,191,0.1346694254366331,16,0.2710427393320562,113,0.04731962156451904,132,0.03643724696356275,50,0.005467179843897554
19,100,2,181,0.13245227318734332,3,0.26943703589999424,32,0.04342430085299573,139,0.03643724696356275,97,0.005444842252865577
20,124,2,104,0.12404874323425658,40,0.268800068912051,2,0.0422080492562213,186,0.03643724696356275,118,0.0054357095578799605
21,175,2,52,0.11952081167084812,55,0.26816610648537165,124,0.04107535455115361,191,0.03643724696356275,113,0.005414765704434249
22,181,2,179,0.11755907285023276,14,0.26350505017334314,12,0.039917691187040825,5,0.032388663967611336,66,0.005410134866652627
23,188,2,153,0.11546924377378355,131,0.26289578994172846,28,0.036723849713527316,55,0.032388663967611336,236,0.00530497994880855
24,193,2,22,0.11252295912238994,167,0.26289578994172846,5,0.036043469553487355,117,0.032388663967611336,5,0.005284026822011105
25,3,1,21,0.10944845376468336,153,0.26228934059930237,65,0.03590937633307927,12,0.02834008097165992,55,0.0051821681989692656
26,14,1,20,0.10679247614074783,26,0.26198716393962573,157,0.0344463903327236,18,0.02834008097165992,62,0.005176187809749082
27,20,1,202,0.10464280867016029,19,0.260188625056745,91,0.034020719575042865,19,0.02834008097165992,3,0.005109461691687572
28,24,1,184,0.0997560550371469,21,0.25959458709999444,131,0.03335571710772123,30,0.02834008097165992,143,0.005086781893215632
29,32,1,117,0.09765205063202453,182,0.2584146117040854,3,0.03246542378188015,40,0.02834008097165992,161,0.005047675570034329
30,34,1,180,0.09704962868376475,5,0.258121292054024,30,0.03241420381625051,97,0.02834008097165992,207,0.005006089351381236
31,52,1,183,0.09476117146302557,24,0.25637526302096403,146,0.03203242158953952,113,0.02834008097165992,191,0.0049446802057280335
32,55,1,142,0.09414764030185395,11,0.2560865521391837,139,0.03187208170177209,137,0.02834008097165992,8,0.004932104247924217
33,56,1,18,0.09405536021303572,181,0.25579849077569755,203,0.03094180008460748,141,0.02834008097165992,117,0.004856768010399678
34,57,1,14,0.08520653385294737,188,0.2538000650665124,26,0.030374301061960953,146,0.02834008097165992,2,0.004854243408831221
35,60,1,38,0.08497234549867513,65,0.2526720647773279,33,0.03008276844077842,153,0.02834008097165992,24,0.004840761532123177
36,72,1,137,0.0842679879089586,100,0.2523916296332909,137,0.02992970314590637,2,0.024291497975708502,41,0.004805203557694412
