,TC,TC_i,PI,PI_i,CC,CC_i
0,185,0.3438,185,0.10791444542766494,24,0.06286086547908923
1,138,0.25,201,0.15271605503886623,14,0.07349437585733883
2,190,0.25,138,0.17130327531862408,49,0.09624507030178324
3,201,0.25,190,0.17641351327511687,15,0.0977959962277092
4,25,0.2222,103,0.17823088028231773,25,0.120180208466829
5,49,0.2222,178,0.17823088028231773,61,0.12054814814814815
6,103,0.2222,25,0.20477536142851294,99,0.12134567901234569
7,178,0.2222,49,0.20488024749533898,12,0.12745351318396586
8,14,0.1875,105,0.2078051618802211,123,0.14003429355281208
9,15,0.1875,15,0.20783971401255352,138,0.14844038209705462
10,105,0.1875,14,0.2137848469300496,190,0.15256295705296294
11,152,0.1875,152,0.21652989195158392,185,0.16824507214865828
12,61,0.1429,61,0.22070183182520417,39,0.16927874702413087
13,12,0.0833,99,0.27570235174106034,152,0.1812914886287092
14,24,0.0833,24,0.281214848143982,21,0.1995744799977604
15,69,0.0833,69,0.28322995439997734,174,0.2214506172839506
16,99,0.0833,123,0.28322995439997734,180,0.2214506172839506
17,123,0.0833,12,0.2844221963081999,187,0.23743703703703706
18,21,0.0,174,0.28677946659019216,201,0.25157164203129806
19,39,0.0,180,0.28677946659019216,103,0.2554483318381819
20,174,0.0,21,0.2991593621922398,178,0.2554483318381819
21,180,0.0,39,0.2991593621922398,69,0.3072222222222223
22,187,0.0,192,0.3031681067151735,105,0.3562444444444445
23,192,0.0,187,0.3047758373716132,192,0.45256944444444436
