,NDR,TR,BC,CNC,DC,EC,PR,TC,PI,CC,TPN
NDR,1.0,-0.6666666666666669,0.0,-0.6666666666666669,0.0,-0.6666666666666669,0.3333333333333334,1.0,0.3333333333333334,0.3333333333333334,1.0
TR,-0.6666666666666669,1.0,-0.3333333333333334,1.0,-0.3333333333333334,0.3333333333333334,0.0,-0.6666666666666669,0.0,-0.6666666666666669,-0.6666666666666669
BC,0.0,-0.3333333333333334,1.0,-0.3333333333333334,0.3333333333333334,0.3333333333333334,0.6666666666666669,0.0,0.0,0.0,0.0
CNC,-0.6666666666666669,1.0,-0.3333333333333334,1.0,-0.3333333333333334,0.3333333333333334,0.0,-0.6666666666666669,0.0,-0.6666666666666669,-0.6666666666666669
DC,0.0,-0.3333333333333334,0.3333333333333334,-0.3333333333333334,1.0,0.3333333333333334,0.0,0.0,-0.6666666666666669,0.0,0.0
EC,-0.6666666666666669,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.3333333333333334,1.0,0.0,-0.6666666666666669,0.0,-0.6666666666666669,-0.6666666666666669
PR,0.3333333333333334,0.0,0.6666666666666669,0.0,0.0,0.0,1.0,0.3333333333333334,0.3333333333333334,-0.3333333333333334,0.3333333333333334
TC,1.0,-0.6666666666666669,0.0,-0.6666666666666669,0.0,-0.6666666666666669,0.3333333333333334,1.0,0.3333333333333334,0.3333333333333334,1.0
PI,0.3333333333333334,0.0,0.0,0.0,-0.6666666666666669,0.0,0.3333333333333334,0.3333333333333334,1.0,-0.3333333333333334,0.3333333333333334
CC,0.3333333333333334,-0.6666666666666669,0.0,-0.6666666666666669,0.0,-0.6666666666666669,-0.3333333333333334,0.3333333333333334,-0.3333333333333334,1.0,0.3333333333333334
TPN,1.0,-0.6666666666666669,0.0,-0.6666666666666669,0.0,-0.6666666666666669,0.3333333333333334,1.0,0.3333333333333334,0.3333333333333334,1.0
