,NDR,TR,BC,CNC,DC,EC,PR,TC,PI,CC,TPN
NDR,1.0,0.7966735506562534,-0.10631081389064057,0.6482436682537254,1.0,1.0,-0.12480782819248412,-0.6584078931043417,-0.6584078931043417,-0.9969497593608393,-0.6584078931043417
TR,0.7966735506562534,1.0,-0.6856796305659036,0.9766561553865117,0.7966735506562534,0.7966735506562534,-0.6991150144513473,-0.9794520547945206,-0.9794520547945206,-0.7470717374276159,-0.9794520547945206
BC,-0.10631081389064057,-0.6856796305659036,1.0,-0.826033187630902,-0.10631081389064057,-0.10631081389064057,0.9998266146497586,0.8183918171270463,0.8183918171270463,0.028382836222822408,0.8183918171270463
CNC,0.6482436682537254,0.9766561553865117,-0.826033187630902,1.0,0.6482436682537254,0.6482436682537254,-0.8363851459805852,-0.9999098733719048,-0.9999098733719048,-0.5868395765143264,-0.9999098733719048
DC,1.0,0.7966735506562534,-0.10631081389064057,0.6482436682537254,1.0,1.0,-0.12480782819248412,-0.6584078931043417,-0.6584078931043417,-0.9969497593608393,-0.6584078931043417
EC,1.0,0.7966735506562534,-0.10631081389064057,0.6482436682537254,1.0,1.0,-0.12480782819248412,-0.6584078931043417,-0.6584078931043417,-0.9969497593608393,-0.6584078931043417
PR,-0.12480782819248412,-0.6991150144513473,0.9998266146497586,-0.8363851459805852,-0.12480782819248412,-0.12480782819248412,1.0,0.8289506599923114,0.8289506599923114,0.046991386219814454,0.8289506599923114
TC,-0.6584078931043417,-0.9794520547945206,0.8183918171270463,-0.9999098733719048,-0.6584078931043417,-0.6584078931043417,0.8289506599923114,1.0,1.0,0.5976573899420927,1.0
PI,-0.6584078931043417,-0.9794520547945206,0.8183918171270463,-0.9999098733719048,-0.6584078931043417,-0.6584078931043417,0.8289506599923114,1.0,1.0,0.5976573899420927,1.0
CC,-0.9969497593608393,-0.7470717374276159,0.028382836222822408,-0.5868395765143264,-0.9969497593608393,-0.9969497593608393,0.046991386219814454,0.5976573899420927,0.5976573899420927,1.0,0.5976573899420927
TPN,-0.6584078931043417,-0.9794520547945206,0.8183918171270463,-0.9999098733719048,-0.6584078931043417,-0.6584078931043417,0.8289506599923114,1.0,1.0,0.5976573899420927,1.0
