,TR,TR_i,EC,EC_i,CNC,CNC_i,BC,BC_i,DC,DC_i,PR,PR_i
1,105,261,105,0.2291027978867199,333,0.3828204261075414,333,0.03948985782790017,105,0.0627208480565371,105,0.0022458838829781053
2,16,186,16,0.16529564953404918,23,0.38165879973027644,105,0.036931248533179424,333,0.045936395759717315,376,0.002010101188456896
3,196,146,196,0.15424720604912334,105,0.37821583695289007,23,0.03346297766608281,16,0.045053003533568906,355,0.0019825110352467766
4,299,140,204,0.13488283795659878,42,0.3775850567044696,578,0.03155662746086824,23,0.045053003533568906,21,0.0019695564555479495
5,3,138,42,0.13157010630952823,41,0.3749585955614442,76,0.03011750131508334,42,0.045053003533568906,14,0.0019544270281950005
6,42,131,49,0.1279242203849163,76,0.37433862433862436,233,0.027717031244654997,41,0.04328621908127209,24,0.0019393969947008704
7,205,121,56,0.12636984401482815,233,0.3733509234828496,135,0.02726446789182034,196,0.04151943462897526,41,0.0019120204277852178
8,204,116,116,0.12500972776484934,52,0.37322782723376197,41,0.02649935713940747,233,0.03975265017667844,23,0.0019088276048662884
9,49,113,333,0.1236567077220931,135,0.36993464052287583,355,0.02638776732648139,21,0.037985865724381625,460,0.0018680822447595987
10,552,112,3,0.12065276930745761,378,0.36860957342885053,42,0.026024417706048276,76,0.037985865724381625,578,0.0018452457395123382
11,434,110,128,0.11846414112498921,3,0.3666990605766116,378,0.024904274647499208,24,0.037102473498233215,58,0.0018356840026446178
12,389,108,23,0.11659280000009886,54,0.36658031088082904,429,0.023789414893834137,135,0.0353356890459364,454,0.0018030962335376236
13,46,108,21,0.11033324070292438,137,0.36516129032258066,52,0.022929092225047822,49,0.0353356890459364,72,0.0018000046032275482
14,215,103,206,0.10876467032664959,39,0.3642213642213642,564,0.019889550708775423,355,0.0353356890459364,196,0.0017971289083578094
15,116,102,210,0.10761443273501269,134,0.3642213642213642,196,0.019788766492296838,354,0.0353356890459364,233,0.0017911774310755838
16,56,101,274,0.10719046667960645,578,0.35982199618563254,21,0.019476237901143032,204,0.03445229681978799,612,0.0017822135373566116
17,1,99,205,0.10682112883734747,241,0.359023152553124,183,0.019401204406507482,134,0.03445229681978799,135,0.001781108570860362
18,140,97,201,0.10547428895195367,46,0.35879556259904916,58,0.01939226802077053,332,0.03445229681978799,483,0.0017770472673226507
19,354,97,41,0.10418012351390381,196,0.35800126502213786,468,0.019348846270921222,3,0.03356890459363958,287,0.0017378605380995106
20,333,94,390,0.102996631055615,21,0.3578880809358204,134,0.018893540920088922,116,0.03356890459363958,367,0.0017004604512703577
21,332,94,332,0.09316304514852336,355,0.3578880809358204,72,0.018273747668629582,52,0.03356890459363958,333,0.001683337121627321
22,726,93,214,0.09203377328389843,332,0.35664776307498425,16,0.01784292217216764,378,0.03268551236749116,598,0.001676213765990513
23,41,90,39,0.09042853510270171,128,0.354858934169279,376,0.01765505714847667,578,0.03268551236749116,116,0.0016598449617364266
24,198,90,198,0.09028562121623972,45,0.3547477279849577,460,0.01735043013483126,72,0.03268551236749116,69,0.0016297825748358024
25,24,88,446,0.08644730751130666,81,0.3547477279849577,24,0.017216188448430574,14,0.03180212014134275,10,0.0016262102336109558
26,128,87,194,0.08612258487203586,50,0.3543035993740219,454,0.01680550203414916,128,0.03180212014134275,270,0.0016239102647652708
27,21,86,40,0.08609546309522555,269,0.35308796007485965,354,0.016438272653142596,396,0.03180212014134275,106,0.0016079581156281417
28,212,86,54,0.08594463321595655,354,0.35286783042394015,137,0.016369148905017342,46,0.03180212014134275,564,0.0016037211578832792
29,219,85,439,0.08404275218153928,40,0.35242839352428396,69,0.016084189244457682,564,0.030918727915194347,42,0.0016036317660666213
30,146,83,354,0.08256604292284993,237,0.3518806341311781,396,0.015676979789924265,183,0.030918727915194347,76,0.0015988878657812974
31,274,81,76,0.08244385614432272,316,0.35133457479826197,356,0.015138932654828243,56,0.030918727915194347,120,0.001596139720598328
32,396,80,52,0.0806852979236837,429,0.3510077519379845,106,0.015060667061455535,434,0.030918727915194347,16,0.0015949803117789334
33,152,78,233,0.08005999261932248,49,0.3508989460632362,237,0.01475889879704819,140,0.030035335689045935,354,0.001593128318598018
34,756,78,1,0.07908316168576728,1,0.3497065183812172,46,0.01438186975288028,58,0.029151943462897525,183,0.0015793554615914384
35,23,77,218,0.07867606417995834,468,0.34895191122071517,13,0.014128171993531334,299,0.029151943462897525,182,0.0015768370886947531
36,57,77,50,0.07858913172247954,227,0.34884437596302004,49,0.013736140598631007,356,0.029151943462897525,152,0.0015748105106250705
