,TC,TC_i,PI,PI_i,CC,CC_i
0,105,4.6,105,0.0037482439477104974,23,0.026222063314364545
1,16,3.31,16,0.005233801776038295,333,0.026895402983000506
2,196,2.73,196,0.0066564246479417005,105,0.027566606936374503
3,42,2.64,299,0.006948010124640354,135,0.028365808880949018
4,3,2.44,3,0.007062097019088848,233,0.028909436555687746
5,299,2.31,42,0.007385338920588404,578,0.030488654532288145
6,333,2.27,205,0.0080040532525671,41,0.0308732727998677
7,49,2.25,204,0.00833397227120746,42,0.031143434874889905
8,41,2.2,49,0.008531731642912904,378,0.0321726266679514
9,204,2.16,552,0.008609482484007886,52,0.03294654934001411
10,205,2.06,434,0.008786311629386347,76,0.03456301964128026
11,354,2.03,389,0.008920025725354191,429,0.034992698719165084
12,116,2.02,46,0.008953737827393424,21,0.03570578118482734
13,46,2.02,215,0.00936016706026169,134,0.03605949690556636
14,23,1.95,116,0.0094369179780837,355,0.03624407877934542
15,434,1.95,56,0.00955717772718845,16,0.0364951410480359
16,24,1.94,1,0.009752272767168389,468,0.03835393409687717
17,332,1.94,354,0.009917102936553351,196,0.03865802298591429
18,21,1.92,140,0.009945063469395062,137,0.03907632095363906
19,552,1.91,333,0.010096879559372177,354,0.03994918395687902
20,56,1.89,332,0.010167385670289984,332,0.04004303221429945
21,140,1.88,726,0.010363091641855697,45,0.04014309904594447
22,128,1.87,41,0.010540873290270354,24,0.04114874802575819
23,1,1.78,198,0.010695633293795142,237,0.041489645192416685
24,389,1.78,24,0.010773853581175061,72,0.04184606483232247
25,76,1.77,128,0.011021287617032298,204,0.04186474147449076
26,215,1.76,21,0.01109006463289668,116,0.04243435809345051
27,396,1.74,212,0.011168567184515898,183,0.042457950221078955
28,198,1.72,219,0.011197129951650793,128,0.042989341238031574
29,219,1.64,146,0.011593611456343095,54,0.04317128873394226
30,564,1.59,274,0.01185574404871288,49,0.04365740925691623
31,212,1.53,396,0.011901404008630897,243,0.04476053925158123
32,134,1.52,152,0.012228721108117792,241,0.04482632173540651
33,58,1.52,756,0.012301575585801028,14,0.04526578332531576
34,201,1.51,23,0.012396796667741057,396,0.045338747836239604
35,274,1.51,57,0.012449610202704553,316,0.04546907327280072
36,39,1.51,206,0.012787233226346815,367,0.046274563405228085
37,143,1.51,39,0.012838206502551594,3,0.04716011198318541
38,152,1.51,381,0.012872580759353538,356,0.04722839528513275
39,726,1.51,210,0.01297129581948107,58,0.04766185712579872
40,146,1.5,2,0.012990032747872558,46,0.047827135049686005
41,206,1.48,573,0.013054762116124722,182,0.048038357749627156
42,14,1.47,143,0.013175786067396781,106,0.04824204117825229
43,504,1.47,201,0.013233307175496149,80,0.04831713952692363
44,54,1.47,76,0.01333436452418987,10,0.04845940696549683
45,341,1.47,564,0.013336783114565634,40,0.04939503384031308
46,355,1.46,504,0.013398647272571361,687,0.049923919367493796
47,57,1.44,58,0.013499484994647456,269,0.05010928498917894
48,233,1.43,303,0.013680994772491899,82,0.0502292725854381
49,573,1.43,588,0.014021194437511743,56,0.0504968260623564
50,72,1.43,72,0.014088316840610418,532,0.050969913639887614
51,588,1.4,384,0.014333752834499624,140,0.05100697958780425
52,120,1.39,54,0.014519836274326169,38,0.05103468799712802
53,185,1.37,390,0.014574285131314308,339,0.05104425699086199
54,303,1.36,62,0.014871392200252218,341,0.05128968104758606
55,52,1.36,50,0.014897601337208697,81,0.05202544133823963
56,210,1.35,393,0.014992189069494791,120,0.052149876853570344
57,381,1.35,446,0.015076998229960408,564,0.052291874103459535
58,62,1.34,571,0.015180219566695812,185,0.05264183199360583
59,50,1.34,282,0.015336411862407846,70,0.052684690588474435
60,19,1.33,886,0.01540457022789521,51,0.05311629301319074
61,390,1.32,888,0.01540457022789521,73,0.05339393919589397
62,356,1.32,185,0.015466994979413428,206,0.053411568712818186
63,756,1.3,4,0.015618557345095149,69,0.05351856558323445
64,393,1.3,64,0.015654645985835675,143,0.05378140797185287
65,10,1.29,341,0.0158049542209501,7,0.05379486771858415
66,2,1.29,19,0.01582741783591716,19,0.05407135198307214
67,446,1.27,193,0.015850724219589593,39,0.05409158242080396
68,384,1.27,327,0.016128642048982685,74,0.05416915011236375
69,69,1.23,59,0.01613499179535667,504,0.0553423806121409
70,590,1.22,788,0.016187227953400208,50,0.05546504212215297
71,454,1.2,590,0.01623105227535006,368,0.055515089743472926
72,327,1.2,216,0.016376985095305864,201,0.055643385011602174
73,106,1.19,401,0.016399141996890722,13,0.0556744277221898
74,183,1.18,14,0.016678647495117327,434,0.056805643811639175
75,282,1.17,10,0.01672800267648043,30,0.05692911209694344
76,4,1.16,134,0.016761227927557975,376,0.05703614630483322
77,460,1.16,69,0.016792611251049538,454,0.05730939829574355
78,452,1.16,120,0.017160341078939285,131,0.05768593196931955
79,378,1.16,85,0.017258459233793443,329,0.05837581867880395
80,193,1.15,150,0.017318536375853805,271,0.05847551012440328
81,182,1.14,885,0.017320696153419798,458,0.0585681653974732
82,30,1.12,887,0.017320696153419798,31,0.05870582800193222
83,218,1.11,356,0.017645709445748267,94,0.05922068318550413
84,40,1.11,594,0.017770006361662278,213,0.05933496978367935
85,216,1.1,355,0.017778947237418283,198,0.059383618364077344
86,137,1.1,542,0.018263339086285146,452,0.05945168091400031
87,59,1.08,18,0.01832001773377717,331,0.05961945799234083
88,150,1.07,142,0.01861656576488022,1,0.06015013290090625
89,401,1.07,382,0.018786575113423947,390,0.06045734183990703
90,64,1.07,233,0.01880084453393646,549,0.060812474659584594
91,268,1.06,218,0.018864721085098755,274,0.061054048178158155
92,142,1.06,452,0.018923445202433557,210,0.0611759270136062
93,591,1.06,22,0.01899118808872683,62,0.06149362409334776
94,45,1.05,289,0.019141650125090684,308,0.06156707641049525
95,289,1.04,52,0.019256654618419758,214,0.06172214315542576
96,85,1.04,30,0.019486491963770714,415,0.06180704217195397
97,376,1.04,454,0.019514746318055238,268,0.06190469847800603
98,316,1.04,13,0.01959174717242109,205,0.062176218875950436
99,7,1.03,439,0.01965014875162605,57,0.06228849140639304
100,724,1.03,214,0.019725655582163274,194,0.06266613140636004
101,241,1.03,385,0.019986648918522427,25,0.06271815407198644
102,594,1.02,410,0.020212596085628642,598,0.06274410769965971
103,660,1.01,460,0.020261166435351682,543,0.06285559350521992
104,194,1.01,183,0.020355073909273363,287,0.06293199554139148
105,439,1.0,194,0.020432056261710123,219,0.06305416944097235
106,214,1.0,6,0.020479758830360014,322,0.06332968836860067
107,571,1.0,9,0.02053236311073514,725,0.06360063912495685
108,410,0.98,724,0.020571052415041553,585,0.06373350572347322
109,18,0.95,7,0.020768561382521592,313,0.06383683913024102
110,200,0.93,591,0.020870770277518633,483,0.0640783063643654
111,147,0.93,207,0.02089619605646988,351,0.06446710989154106
112,382,0.93,66,0.021022491964152446,775,0.06461628659546338
113,886,0.93,40,0.021248159378193864,259,0.0646253787397851
114,888,0.93,106,0.021299390624434235,446,0.0649454010727074
115,9,0.92,147,0.02133783988511707,568,0.06500848657863459
116,176,0.92,12,0.02141946815460572,239,0.06544064298985555
117,243,0.92,660,0.021544805655080587,218,0.0656786629871127
118,542,0.92,176,0.021739603034848582,212,0.06573343834795395
119,13,0.91,145,0.02190642887968332,466,0.06586362424194749
120,11,0.9,268,0.02193627074622806,327,0.06607950960321224
121,22,0.9,654,0.022156540389157476,284,0.06622436930130068
122,483,0.9,386,0.022354211421660785,299,0.06651252968533924
123,335,0.9,45,0.022542628109755547,460,0.06653818412297886
124,80,0.9,335,0.022717050054748094,554,0.06722075059295944
125,788,0.9,11,0.022987131803616334,90,0.06749064575113829
126,6,0.89,68,0.02320530194738894,545,0.06771999014840666
127,367,0.89,241,0.023760870598298723,660,0.06781556785951279
128,554,0.88,182,0.023887157070001313,392,0.06830763997206477
129,207,0.88,730,0.024455498329689466,200,0.06850447622599902
130,12,0.87,378,0.024714852390544096,314,0.06947079963860361
131,329,0.87,222,0.024726646918317996,27,0.0696649881913991
132,322,0.87,267,0.024920130980208434,588,0.0697747878723317
133,135,0.86,137,0.024964986606284684,439,0.06994754871976026
134,213,0.86,213,0.02505016295131,413,0.06998221741188951
135,145,0.86,780,0.02510336309755418,107,0.07060354957149557
136,94,0.86,34,0.025114648369808174,270,0.07078122769624769
137,27,0.85,65,0.025789480470915914,591,0.07115933347962733
138,271,0.85,84,0.02604471878214895,227,0.07132064645721184
139,368,0.85,200,0.026090586516384885,238,0.07138081007874583
140,269,0.84,329,0.026118253002293184,303,0.07150039562556111
141,81,0.84,483,0.026138392332041224,11,0.07153821215569427
142,730,0.84,316,0.026458526260087312,501,0.07159851646744592
143,34,0.83,361,0.026560707152267223,573,0.07170050977063852
144,415,0.83,376,0.02663002375398119,470,0.07190545304895377
145,267,0.83,387,0.027244541556099237,404,0.07209656239395638
146,885,0.83,467,0.027501993894557358,358,0.07222127250061366
147,887,0.83,331,0.027708352960083345,6,0.07278085781324742
148,331,0.82,485,0.027818578359371522,4,0.073227600693702
149,654,0.82,27,0.027985648959213717,15,0.07328422743109891
150,66,0.82,698,0.02801081217349897,146,0.07337824836473725
151,237,0.81,322,0.028332303926290676,393,0.0735859405996655
152,385,0.81,321,0.028419667546729036,186,0.07408319790929704
153,68,0.8,729,0.028703546897290096,335,0.07475593424612459
154,15,0.79,415,0.029066556601305672,85,0.07476683369809123
155,31,0.79,367,0.02911106453340786,410,0.07526017869186817
156,112,0.78,81,0.029123103357893813,340,0.0753982641289288
157,321,0.78,189,0.02945785758893327,147,0.07542034840368125
158,532,0.78,243,0.02983961208504289,401,0.07542425853078724
159,585,0.77,153,0.029854310962502982,142,0.07565034394511548
160,239,0.77,383,0.02989617059950791,133,0.07575268627264974
161,467,0.76,271,0.03016664052224488,711,0.07582525220808488
162,65,0.76,554,0.03017665413329632,384,0.0759696032067889
163,386,0.76,15,0.0303983706473333,34,0.0761622312498562
164,361,0.75,31,0.03057748640830729,104,0.07623736466656345
165,543,0.74,20,0.03073310754743655,155,0.07624611862449661
166,44,0.74,149,0.030783912327417694,344,0.07641873288899854
167,780,0.74,211,0.03089194307232731,389,0.07664467630079418
168,468,0.73,80,0.031009482699809604,2,0.0766794739638761
169,84,0.73,112,0.03112627306456834,362,0.07680684900054398
170,698,0.73,90,0.031212252681912814,152,0.07723414311415606
171,38,0.72,199,0.03129968825510498,467,0.07729907264299184
172,189,0.71,352,0.03142954125441585,372,0.07742171930427821
173,20,0.7,725,0.03148624523376963,730,0.0774557309176059
174,485,0.7,420,0.031500329178439916,20,0.07750733074424973
175,70,0.69,769,0.03162445329226371,215,0.07752109589338065
176,93,0.69,584,0.0316743371353096,552,0.07760930417081309
177,725,0.69,371,0.031699137149486786,122,0.07824905136702318
178,578,0.68,197,0.03175177730573469,150,0.07855284387809952
179,155,0.67,585,0.031787102700950115,698,0.07865649454148002
180,775,0.67,426,0.03205395321404989,44,0.07931836285658042
181,420,0.66,44,0.03232333680270481,305,0.07950805359773992
182,549,0.66,543,0.03247438582817802,240,0.0795460605963948
183,255,0.66,251,0.032790110502672394,112,0.08031729926342589
184,729,0.66,239,0.03283198886338937,612,0.08037683092269761
185,371,0.66,124,0.03299099675698502,276,0.0805548998857829
186,222,0.66,368,0.03302902590796793,321,0.0805876300261441
187,584,0.66,165,0.033337000403377705,92,0.08087233553761235
188,90,0.66,489,0.03337939690105679,203,0.08120462877116146
189,124,0.65,202,0.033558961417262057,361,0.08174638757128397
190,429,0.65,592,0.03382526544377057,136,0.08187799193751576
191,153,0.65,55,0.033954819716884715,381,0.08205752364771762
