,TR,TR_i,EC,EC_i,CNC,CNC_i,BC,BC_i,DC,DC_i,PR,PR_i
1,53,3832,53,0.1822265338624606,53,0.40100495458817237,53,0.06957277661528863,53,0.08236895847515316,331,0.0028450102097834855
2,59,3317,59,0.16901624871222393,65,0.3936359661193277,65,0.06674991267599807,65,0.0742001361470388,137,0.0023676027896563367
3,65,3294,65,0.16581406017509126,57,0.3921302547735161,1576,0.05790075442536772,59,0.07181756296800544,13,0.0022609984691068885
4,223,2592,223,0.14515763325026715,59,0.3877862016944255,308,0.05167183828766072,56,0.0585432266848196,241,0.002205139061754813
5,57,2577,57,0.14315716805220016,308,0.3852360038843293,312,0.049999547245291105,259,0.05786249149081007,297,0.0020993416754655028
6,366,2536,218,0.14148290118626003,69,0.38338366033686894,134,0.04939113647619898,297,0.05752212389380531,1686,0.002079724637785234
7,220,2435,366,0.13832288023809444,51,0.37698889741819513,69,0.047850675426865746,411,0.05718175629680054,1113,0.001998667086119706
8,218,2410,220,0.13428324421422022,223,0.37516579073874495,59,0.044174625667850825,308,0.05650102110279101,314,0.0019391757824380855
9,297,2238,225,0.13164516107370386,134,0.37384650494166943,51,0.04254761839100511,366,0.05445881552076242,18,0.0018226079257500304
10,225,2153,297,0.12731682884786938,297,0.37089978872491763,259,0.04247349812789198,57,0.054118447923757654,227,0.0018030497145886744
11,308,2079,56,0.12462725549607999,218,0.37042114659209413,57,0.042066066262181775,223,0.054118447923757654,259,0.0017491068245015918
12,291,2046,373,0.1245493968001245,67,0.37018228848879775,623,0.0404365013434368,331,0.054118447923757654,243,0.0017349370104793932
13,411,2002,45,0.11835746214740468,366,0.36999142368421467,331,0.039979767521562834,218,0.050714771953710006,411,0.0017029809974810877
14,56,1984,405,0.1167574819613311,623,0.36738685075414534,68,0.03771221474674829,69,0.04901293396868618,343,0.001630588952752845
15,373,1981,217,0.11530259582358791,225,0.3669641351242825,411,0.03315192115755151,220,0.048672566371681415,63,0.0015546752561539378
16,69,1929,291,0.11505068232480103,259,0.3669172267598284,12,0.032276375071258995,58,0.04731109598366235,1451,0.0015444243541840397
17,45,1871,293,0.11350035214631005,12,0.3661683205692228,15,0.031679678058961824,137,0.04731109598366235,323,0.0014623801609898002
18,259,1839,308,0.11083237014681693,268,0.3654689922258897,16,0.03145987194972742,623,0.04628999319264806,65,0.0014259164558187043
19,405,1771,69,0.11062775231524857,267,0.3645870017708799,83,0.029926916893451398,291,0.044588155207624235,53,0.0014189763539784032
20,293,1736,55,0.10642672360625063,411,0.3632489831614955,366,0.02926360104766859,260,0.042886317222600404,623,0.0013687367447496347
21,217,1715,481,0.10375151979232265,14,0.3623776625353033,18,0.028706784091000213,55,0.04220558202859088,2,0.0013358489053368078
22,267,1618,379,0.09790064755170849,378,0.3617383068610129,268,0.028076164763177723,225,0.04186521443158611,19,0.00131473632844765
23,623,1545,63,0.09775468875124065,373,0.3603758273624781,314,0.02792208439185873,405,0.041524846834581346,374,0.0012966502020733532
24,481,1525,451,0.0935379966735423,412,0.3598788195764967,297,0.027254357571367283,268,0.04118447923757658,1576,0.0012790598002566846
25,134,1518,67,0.09111850720949498,220,0.359428182437032,620,0.025946545865446896,217,0.04084411164057181,1457,0.0012606035785281036
26,239,1447,448,0.09069426069966242,15,0.35870950574133187,13,0.025262390707433136,51,0.04050374404356705,308,0.0012470518383629146
27,55,1432,243,0.0890149308603666,379,0.35458844532947964,137,0.02516918662723828,134,0.04016337644656229,1503,0.001219250114437974
28,67,1427,473,0.0884541379954221,292,0.3540635826991658,14,0.023803126735122263,373,0.04016337644656229,15,0.0012120223316047884
29,14,1417,224,0.08798489439165788,45,0.3536709542806971,241,0.02268122165418373,379,0.04016337644656229,620,0.0012109447420507583
30,379,1391,411,0.08643677714169791,260,0.3529316937098411,237,0.022124531565349197,343,0.03982300884955752,1427,0.0011979118036223577
31,260,1372,61,0.08631083551536285,307,0.35228196673320294,227,0.021423633026631066,621,0.039482641252552755,59,0.001196329297036804
32,268,1340,221,0.08592810663988559,217,0.3520227452712948,267,0.021010658425183716,45,0.03914227365554799,54,0.0011902705847635783
33,63,1293,62,0.08495976465589973,237,0.3506466485392301,2,0.02047936400548416,241,0.03880190605854322,556,0.0011879980167032302
34,51,1255,54,0.08448179585660029,135,0.3506038188520994,260,0.020420450325658278,267,0.03880190605854322,58,0.001177923689941625
35,137,1236,51,0.08343548802248427,405,0.3506038188520994,406,0.01961628980657954,15,0.03846153846153846,379,0.0011761875315616775
36,378,1214,222,0.08315045453827165,620,0.3506038188520994,63,0.01948381054529933,293,0.03846153846153846,621,0.0011729800000596729
37,237,1194,296,0.08272479378129093,262,0.3504326046810081,61,0.019453055211087672,14,0.03812117086453369,260,0.0011669763630675657
38,621,1191,267,0.0822624491497712,293,0.3502615576500473,91,0.019303350841552578,138,0.03812117086453369,176,0.0011564326527898005
39,138,1176,292,0.08179784922844995,331,0.3485602264653476,223,0.018728923211609787,67,0.03675970047651463,138,0.0011502745245880548
40,241,1174,623,0.08160925350578861,239,0.3483487214735604,45,0.018645171357192025,620,0.036419332879509866,315,0.0011444259160799403
41,451,1171,322,0.08133919498135006,258,0.34771574378463205,258,0.018165530098101585,239,0.0360789652825051,934,0.0011290396591295542
42,448,1162,259,0.08128485216648844,323,0.34674963335855735,67,0.0180403560063886,63,0.03573859768550034,2504,0.0011147905791488567
43,58,1153,380,0.08110726171896794,56,0.34583053794483587,323,0.017833218224313836,237,0.03573859768550034,56,0.0011047853936596427
44,221,1145,378,0.08094959615991063,406,0.3457472253604117,374,0.017804293531706407,481,0.035398230088495575,16,0.001104030472682562
45,133,1139,488,0.07855645056348338,238,0.3452897227164848,1340,0.01761422362525535,380,0.03403675970047651,91,0.0010970199281776845
46,243,1135,505,0.0759498098025518,68,0.34446099423282583,1686,0.01709119954860437,374,0.03369639210347175,397,0.0010931522842693173
47,238,1126,58,0.07539999711535335,312,0.34380087015716104,379,0.016542289376952797,243,0.033356024506466984,1422,0.001090171532369073
48,473,1117,445,0.07507263663745443,55,0.34297926454082184,2410,0.01647746240148753,176,0.03301565690946222,2123,0.0010895098145136375
49,15,1080,360,0.07467520325074906,451,0.3424473234242588,113,0.01634503180302622,221,0.03301565690946222,61,0.0010708599715236427
50,61,1073,364,0.07458767054267787,63,0.34236563274596105,1113,0.0161464454948184,323,0.03165418652144315,486,0.0010630115915086786
51,66,1061,541,0.07327206924761093,54,0.34232480202052923,343,0.015474546321253365,378,0.031313818924438394,66,0.001062362264064421
52,135,1058,134,0.07294549133703612,322,0.3414696008734401,56,0.015473864813950878,554,0.031313818924438394,2410,0.0010618815479666443
53,62,1046,331,0.07282322816237778,91,0.34094232865448837,243,0.015070781541848578,61,0.030973451327433628,268,0.0010603538019041537
54,380,1040,497,0.07210446833020802,621,0.3409018366914653,397,0.014652517728698019,64,0.030973451327433628,2423,0.0010589478576912463
55,330,1035,503,0.07172032030577478,227,0.34017462253402914,19,0.014133352452988692,135,0.03063308373042886,1340,0.0010580635678578653
56,322,1016,268,0.07129670234274789,243,0.3397317392522355,73,0.01391630850991139,133,0.030292716133424095,406,0.0010529883534550787
57,224,988,52,0.07051318740286622,364,0.33900950335917535,313,0.01342528762954785,238,0.030292716133424095,51,0.001034175822211024
58,296,987,64,0.06893116013693008,137,0.3389294444376122,914,0.013246289097538588,12,0.02995234853641933,134,0.001033728326376278
59,505,978,444,0.06849788221040155,132,0.3381309300202777,265,0.013131906475279691,505,0.02995234853641933,554,0.0010259117064987766
60,176,974,554,0.06792420674447383,233,0.33805128547192764,54,0.013042326864641124,66,0.029611980939414567,232,0.0010213813026890694
61,364,974,506,0.06675695501381125,83,0.3379318889736446,1457,0.012770452561662217,451,0.029611980939414567,216,0.001005069456126298
62,12,971,12,0.06670735730728786,138,0.3378921088807696,2423,0.012741939708231844,219,0.028931245745405034,223,0.000994329478527375
63,222,953,233,0.0667004178991413,481,0.33765362486085604,218,0.012685788214470667,503,0.028931245745405034,45,0.0009874778238057268
64,620,951,219,0.0664606381717799,224,0.33658459954762404,216,0.012447321027539128,529,0.028931245745405034,69,0.0009711585397633491
65,54,949,237,0.06615447702824652,628,0.33438880066893495,315,0.012430322686488898,296,0.028250510551395505,219,0.0009501547215480071
66,292,932,412,0.06585332557837748,330,0.33392199452560933,122,0.012428424335419418,312,0.028250510551395505,1410,0.0009484232415111292
67,773,924,14,0.06533532580446458,222,0.3338831528372848,1349,0.012337647731110329,364,0.028250510551395505,70,0.00094730212145118
68,262,912,289,0.06358413955604901,291,0.3334952323622793,621,0.012078064908777577,54,0.02791014295439074,312,0.0009322787318155365
69,497,910,323,0.06336572334561691,626,0.3333403164489766,410,0.01198519510286095,360,0.02791014295439074,1349,0.0009287615471480948
70,328,904,307,0.06307352431675091,66,0.33326291245119444,1563,0.011674135240496165,448,0.02791014295439074,366,0.0009271000107825735
