,TR,TR_i,EC,EC_i,CNC,CNC_i,BC,BC_i,DC,DC_i,PR,PR_i
1,0,18,33,0.373371213013235,0,0.5689655172413793,0,0.43763528138528146,33,0.5151515151515151,33,0.0636336459066375
2,33,15,0,0.3554834941851943,2,0.559322033898305,33,0.30407497594997596,0,0.48484848484848486,0,0.0606376426470952
3,32,13,2,0.31718938996844476,33,0.55,32,0.145247113997114,32,0.36363636363636365,32,0.04916045404936609
4,1,12,32,0.3086510477336959,31,0.5409836065573771,2,0.14365680615680618,2,0.30303030303030304,1,0.0392678925742952
5,2,11,1,0.2659538704545025,8,0.515625,31,0.13827561327561325,1,0.2727272727272727,2,0.03893277112904348
6,3,10,8,0.2274050914716605,13,0.515625,8,0.05592682780182781,3,0.18181818181818182,31,0.03188015094553734
7,7,6,13,0.22646969838808148,32,0.515625,1,0.053936688311688304,31,0.18181818181818182,3,0.031240711998370276
8,13,6,3,0.2111740783205706,19,0.5,13,0.04586339586339586,8,0.15151515151515152,5,0.030449948865522845
9,8,5,31,0.19103626979791702,1,0.4852941176470588,19,0.03247504810004811,13,0.15151515151515152,6,0.030449948865522845
10,23,4,30,0.17476027834493085,3,0.4647887323943662,5,0.02998737373737374,23,0.15151515151515152,23,0.02978033660402666
11,29,4,7,0.17095511498035434,27,0.4583333333333333,6,0.029987373737373736,5,0.12121212121212122,29,0.028302001560873515
12,5,3,23,0.15012328691726787,30,0.4583333333333333,27,0.02233345358345358,6,0.12121212121212122,27,0.02735589603715775
13,6,3,19,0.14791134007618667,28,0.4520547945205479,23,0.017613636363636363,7,0.12121212121212122,8,0.027185996434815958
14,30,3,29,0.13496528673866567,7,0.44,30,0.014411976911976909,27,0.12121212121212122,24,0.02689990111143566
15,31,3,27,0.13347932684333308,9,0.4342105263157895,3,0.011909271284271283,29,0.12121212121212122,13,0.026886907799867327
16,4,2,28,0.13107925627221215,23,0.39285714285714285,25,0.0038404882154882154,30,0.12121212121212122,4,0.0266765908636498
17,10,2,9,0.10267519030637758,5,0.38372093023255816,29,0.0029220779220779218,4,0.09090909090909091,10,0.0266765908636498
18,12,1,14,0.10140627846270832,6,0.38372093023255816,24,0.0022095959595959595,10,0.09090909090909091,25,0.02665910957410943
19,14,1,15,0.10140627846270832,29,0.38372093023255816,28,0.0017947330447330447,19,0.09090909090909091,30,0.025880133438816698
20,15,1,18,0.10140627846270832,4,0.3793103448275862,9,0.0008477633477633478,24,0.09090909090909091,7,0.02576403422993095
21,16,1,20,0.10140627846270832,10,0.3793103448275862,4,0.0006313131313131313,25,0.09090909090909091,16,0.025155765071474784
22,17,1,22,0.10140627846270832,17,0.375,10,0.0006313131313131313,28,0.09090909090909091,28,0.0244731363471689
23,18,1,17,0.09239675666845953,21,0.375,7,0.0,9,0.06060606060606061,19,0.024156910864807823
24,19,1,21,0.09239675666845953,24,0.375,11,0.0,12,0.06060606060606061,26,0.02383378704029183
25,20,1,12,0.08425192086558088,25,0.375,12,0.0,14,0.06060606060606061,12,0.023287179377103277
26,21,1,5,0.07948057788594247,12,0.3707865168539326,14,0.0,15,0.06060606060606061,17,0.023034037294871447
27,22,1,6,0.07948057788594247,14,0.3707865168539326,15,0.0,16,0.06060606060606061,21,0.023034037294871447
28,24,1,4,0.07596645881657382,15,0.3707865168539326,16,0.0,17,0.06060606060606061,14,0.022940049905472305
29,25,1,10,0.07596645881657381,18,0.3707865168539326,17,0.0,18,0.06060606060606061,15,0.022940049905472305
30,26,1,26,0.07558192219009324,20,0.3707865168539326,18,0.0,20,0.06060606060606061,18,0.022940049905472305
31,27,1,25,0.05920820250279008,22,0.3707865168539326,20,0.0,21,0.06060606060606061,20,0.022940049905472305
32,28,1,24,0.05705373563802805,11,0.36666666666666664,21,0.0,22,0.06060606060606061,22,0.022940049905472305
33,9,0,11,0.05285416945233648,26,0.3626373626373626,22,0.0,26,0.06060606060606061,9,0.022879079052167434
34,11,0,16,0.023634794260596875,16,0.28448275862068967,26,0.0,11,0.030303030303030304,11,0.02172515263015718
