,nodes,nodes_tr,nodes_bc,nodes_cnc,nodes_dc,nodes_ec,nodes_pr,nodes_TC,nodes_PI,nodes_CC,nodes_TPN
nodes,1.0,1.0,1.0,0.5236,-0.5454,-0.9996,-0.5454,1.0,1.0,0.5682,1.0
nodes_tr,1.0,1.0,1.0,0.5236,-0.5454,-0.9996,-0.5454,1.0,1.0,0.5682,1.0
nodes_bc,1.0,1.0,1.0,0.5236,-0.5454,-0.9996,-0.5454,1.0,1.0,0.5682,1.0
nodes_cnc,0.5236,0.5236,0.5236,1.0,0.4285,-0.5,0.4285,0.5236,0.5236,-0.4036,0.5236
nodes_dc,-0.5454,-0.5454,-0.5454,0.4285,1.0,0.5682,1.0,-0.5454,-0.5454,-0.9996,-0.5454
nodes_ec,-0.9996,-0.9996,-0.9996,-0.5,0.5682,1.0,0.5682,-0.9996,-0.9996,-0.5906,-0.9996
nodes_pr,-0.5454,-0.5454,-0.5454,0.4285,1.0,0.5682,1.0,-0.5454,-0.5454,-0.9996,-0.5454
nodes_TC,1.0,1.0,1.0,0.5236,-0.5454,-0.9996,-0.5454,1.0,1.0,0.5682,1.0
nodes_PI,1.0,1.0,1.0,0.5236,-0.5454,-0.9996,-0.5454,1.0,1.0,0.5682,1.0
nodes_CC,0.5682,0.5682,0.5682,-0.4036,-0.9996,-0.5906,-0.9996,0.5682,0.5682,1.0,0.5682
nodes_TPN,1.0,1.0,1.0,0.5236,-0.5454,-0.9996,-0.5454,1.0,1.0,0.5682,1.0
