,DS,DS_i
1,1,0.081996435
2,2,0.103386809
3,3,0.106951872
4,4,0.110516934
5,5,0.130124777
6,6,0.126559715
7,7,0.126559715
8,8,0.121212121
9,9,0.121212121
10,10,0.139037433
11,11,0.130124777
12,12,0.139037433
13,13,0.13368984
14,14,0.121212121
15,15,0.13368984
16,16,0.13368984
17,17,0.13368984
18,18,0.13368984
19,19,0.13368984
20,20,0.13368984
21,21,0.13368984
22,22,0.13368984
23,23,0.13368984
24,24,0.124777184
25,25,0.13368984
26,26,0.13368984
27,27,0.13368984
28,28,0.13368984
29,29,0.13368984
30,30,0.124777184
31,31,0.128342246
32,32,0.124777184
33,33,0.094474153
34,34,0.087344029
