,TC,TC_i,PI,PI_i,CC,CC_i
0,0,0.4219,0,0.04786292059541473,0,0.15542329764660495
1,33,0.4138,33,0.05478821615047036,33,0.1564186851211073
2,32,0.4,32,0.06268177715374586,2,0.18517663966049389
3,1,0.375,1,0.06987876035079138,31,0.24457540369088812
4,2,0.3611,2,0.0766442099131621,32,0.2492233622751933
5,3,0.3438,3,0.08324384619866976,1,0.27953510802469134
6,7,0.25,7,0.13178529539673964,8,0.3036007136678201
7,8,0.25,13,0.13178529539673964,23,0.30582372164552096
8,13,0.25,8,0.15140274644582052,13,0.32333541666666676
9,23,0.1875,23,0.17917293771948686,30,0.3460064638600538
10,29,0.1875,29,0.17917293771948686,3,0.39665964720507535
11,31,0.1875,31,0.21007079385753,7,0.4427115885416667
12,5,0.1429,5,0.22716430794393586,29,0.4494090013456363
13,6,0.1429,6,0.22716430794393586,5,0.4774848090277778
14,30,0.0833,30,0.23219634522952606,6,0.4774848090277778
15,4,0.0,4,0.31517902168431666,4,0.5294174382716048
16,10,0.0,10,0.31517902168431666,10,0.5294174382716048
