,TR,TR_i,EC,EC_i,CNC,CNC_i,BC,BC_i,DC,DC_i,PR,PR_i
1,4384,21,4381,0.2865344997425943,1308,0.08182330142114155,4164,0.28841562147939614,2553,0.003846153846153846,831,0.0006604164524036695
2,4345,20,4345,0.27451470848011433,2594,0.0809437981320662,2543,0.28169812331624505,4458,0.0036437246963562753,4458,0.0006296821048496219
3,4352,19,4336,0.24822112815712566,2605,0.08035786905246035,1243,0.2796951897344531,831,0.0028340080971659917,3468,0.0005799933772081997
4,4381,18,4332,0.24290464678318444,1131,0.07987194619153098,4219,0.27764988777849725,3468,0.0028340080971659917,2553,0.0005234538861743054
5,4373,15,4352,0.23627243283037458,2606,0.0796260477111541,2528,0.26730447500467747,4345,0.0028340080971659917,1224,0.000512765048596162
6,4395,15,4384,0.22130755705306215,1243,0.07932684587468285,1267,0.24827101665302162,2382,0.002631578947368421,597,0.0005089218594895962
7,4332,14,4402,0.2147571103970849,1476,0.07918570169111165,1308,0.2365166910499439,2542,0.002631578947368421,2575,0.0004916820929335648
8,4336,14,4347,0.21411168520513027,2557,0.07911468426194328,1244,0.20523301004236522,2575,0.002631578947368421,2439,0.0004867403241554003
9,4347,14,4395,0.19782989883696156,2528,0.07877280265339967,426,0.20495396256691528,2585,0.002631578947368421,2382,0.0004727986292827579
10,4361,13,4373,0.1947891980144054,2532,0.07803121248499399,2606,0.20311626353593562,3895,0.002631578947368421,2647,0.00046275711148245733
