,TR,TR_i,EC,EC_i,CNC,CNC_i,BC,BC_i,DC,DC_i,PR,PR_i
1,4384,21,4381,0.2865344997425943,1308,0.08182330142114155,4164,0.28841562147939614,2553,0.003846153846153846,831,0.0006604164524036695
2,4345,20,4345,0.27451470848011433,2594,0.0809437981320662,2543,0.28169812331624505,4458,0.0036437246963562753,4458,0.0006296821048496219
3,4352,19,4336,0.24822112815712566,2605,0.08035786905246035,1243,0.2796951897344531,831,0.0028340080971659917,3468,0.0005799933772081997
4,4381,18,4332,0.24290464678318444,1131,0.07987194619153098,4219,0.27764988777849725,3468,0.0028340080971659917,2553,0.0005234538861743054
5,4373,15,4352,0.23627243283037458,2606,0.0796260477111541,2528,0.26730447500467747,4345,0.0028340080971659917,1224,0.000512765048596162
6,4395,15,4384,0.22130755705306215,1243,0.07932684587468285,1267,0.24827101665302162,2382,0.002631578947368421,597,0.0005089218594895962
7,4332,14,4402,0.2147571103970849,1476,0.07918570169111165,1308,0.2365166910499439,2542,0.002631578947368421,2575,0.0004916820929335648
8,4336,14,4347,0.21411168520513027,2557,0.07911468426194328,1244,0.20523301004236522,2575,0.002631578947368421,2439,0.0004867403241554003
9,4347,14,4395,0.19782989883696156,2528,0.07877280265339967,426,0.20495396256691528,2585,0.002631578947368421,2382,0.0004727986292827579
10,4361,13,4373,0.1947891980144054,2532,0.07803121248499399,2606,0.20311626353593562,3895,0.002631578947368421,2647,0.00046275711148245733
11,4392,13,4361,0.18065940192182384,2612,0.07802751496580373,2594,0.19230583355335729,1224,0.00242914979757085,3355,0.0004504189841275005
12,4401,13,4398,0.1803043116593664,2543,0.07802628253727571,2605,0.1862957329429391,2434,0.00242914979757085,1030,0.00044483499589028085
13,4402,13,4401,0.17698912166903252,4219,0.07729377894605081,69,0.18412340121277274,2439,0.00242914979757085,4224,0.00044139639792923843
14,4413,13,4413,0.1723877793332045,1125,0.07720680170042511,108,0.1774156421178842,2617,0.00242914979757085,1005,0.00043537981742990394
15,313,12,4408,0.16525008645918923,2618,0.07718388200553099,1167,0.1711203394550913,2662,0.00242914979757085,4520,0.00042839906205727587
16,4344,12,4335,0.1549072119454909,4164,0.07683812664292047,4120,0.15707883204186773,1005,0.002226720647773279,4878,0.0004193969563066406
17,2585,11,4392,0.14788656065923894,1267,0.07680706500614146,2235,0.15365409555455403,1309,0.002226720647773279,3895,0.0004111459206607416
18,2662,11,4344,0.14375527851707465,1383,0.07676171237666071,70,0.14786129147940552,1334,0.002226720647773279,848,0.00040573382581123924
19,2553,11,4346,0.13732144304754507,427,0.0758192003683524,2223,0.13277801717515134,2282,0.002226720647773279,2321,0.0004041388111337716
20,4359,11,4372,0.13059913888887548,426,0.07577965607694549,393,0.13164241799743606,490,0.002226720647773279,129,0.00040108329870017223
21,4374,11,4342,0.12817131145492777,1307,0.07572041692213366,1476,0.1310109821542514,4332,0.002226720647773279,274,0.00040078488713761164
22,4398,11,4374,0.12048782966754451,2909,0.07557445766912461,1125,0.1304940621877346,4352,0.002226720647773279,2717,0.00039745283670569276
23,4408,11,4391,0.11439991519650229,2486,0.07547746371275783,427,0.13040384929336846,4373,0.002226720647773279,2548,0.0003969200165816572
24,2851,10,4365,0.11435143586313366,4120,0.07544057909043707,1131,0.12390473132713056,4381,0.002226720647773279,4209,0.0003952459754697264
25,2883,10,4376,0.11067875985500042,2953,0.07505659632009967,2557,0.11575596560229205,4384,0.002226720647773279,98,0.00039326720760431453
26,4335,10,4385,0.10423045075224506,2607,0.07479635405626382,4207,0.11564829740073079,4395,0.002226720647773279,4203,0.00039292830871438594
27,2533,9,4368,0.09909914538218502,393,0.07477031588188106,2312,0.11384652493904854,725,0.0020242914979757085,1326,0.0003913630959609102
28,2819,9,4343,0.09065917248452487,2558,0.07458517657361134,4206,0.10875962587388299,1030,0.0020242914979757085,396,0.00038893971960755235
29,4372,9,4340,0.08420032933891206,384,0.07455140878016389,4199,0.10811291908931799,1050,0.0020242914979757085,1554,0.00038732527268480084
30,4376,9,4333,0.08190570619528395,447,0.07452778951179771,1166,0.1067770660876473,1091,0.0020242914979757085,3838,0.00038596208436552894
