
"CountryName","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Population, female","SP.POP.TOTL.FE.IN","27637","28254","28655","28907","29094","29268","29458","29631","29804","29988","30178","30401","30634","30889","31065","31150","31111","30989","30834","30753","30805","31047","31457","31912","32227","32303","32055","31571","31104","30993","31491","32693","34482","36633","38785","40708","42294","43615","44757","45856","47012","48252","49506","50707","51712","52456","52896","53083","53104","53112","53202","53404","53701","54060","54417","54743","55023","55282","",
"Afghanistan","AFG","Population, female","SP.POP.TOTL.FE.IN","4346990","4437679","4532368","4631212","4734371","4842015","4952722","5066254","5185164","5313009","5451441","5599707","5753953","5908686","6056668","6191328","6315722","6427910","6510970","6543069","6511413","6411284","6255675","6072080","5898422","5764972","5674753","5627943","5647569","5760223","5981147","6327356","6785762","7304033","7809329","8250185","8603315","8885666","9134961","9408613","9746770","10162500","10637846","11144964","11642547","12101551","12511524","12884170","13239157","13606016","14005473","14444001","14912657","15398276","15881092","16346869","16791609","17220190","",
"Angola","AGO","Population, female","SP.POP.TOTL.FE.IN","2900597","2956543","3014082","3072260","3129657","3185518","3239546","3292896","3348020","3408200","3475917","3552328","3637187","3729918","3829313","3934592","4045039","4161240","4285197","4419637","4566089","4726261","4898495","5076921","5253511","5422852","5581981","5733487","5884261","6044247","6220388","6416266","6629273","6852909","7077584","7296962","7508648","7716678","7928906","8156453","8407379","8684468","8985544","9307609","9645607","9995796","10357453","10731777","11119158","11520427","11936016","12366067","12809782","13265577","13731363","14205741","14688058","15178929","",
"Albania","ALB","Population, female","SP.POP.TOTL.FE.IN","780595","805305","830317","855238","880256","904823","928927","953600","981013","1009808","1035954","1061521","1088570","1114865","1141014","1167738","1193877","1220603","1246195","1271298","1297791","1324521","1353597","1383430","1413336","1442682","1469816","1497724","1525329","1568794","1603298","1604803","1610619","1617772","1621629","1618647","1607089","1588481","1566199","1544994","1528046","1511707","1509000","1507666","1505935","1501423","1493529","1482744","1470945","1460006","1451422","1445814","1441287","1436444","1431651","1426369","1423809","1422948","",
"Andorra","AND","Population, female","SP.POP.TOTL.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population, female","SP.POP.TOTL.FE.IN","45909546","47174491","48482890","49837622","51242480","52699695","54215933","55790717","57411074","59058941","60724221","62398727","64094688","65847194","67704063","69698805","71842855","74123776","76521599","79005258","81550074","84149697","86805054","89506982","92246331","95015336","97806638","100615528","103440246","106280987","110113892","113029317","115137501","118134381","121111744","124723010","127619185","130509484","133371678","136236749","139113662","141998877","144904104","147871961","150957572","154198970","157610509","161177796","164879183","168667331","172508052","176400834","180343747","184306583","188253495","192160815","196007048","199801802","",
"United Arab Emirates","ARE","Population, female","SP.POP.TOTL.FE.IN","46279","48813","51956","55467","58973","62273","65311","68427","72367","78112","86423","97494","111248","127811","147239","169511","194658","222529","252605","284247","316877","350416","384741","419221","453100","485900","517265","547415","577136","607593","639611","673767","709910","747318","784908","822065","859345","897751","937784","980067","1025573","1072376","1121532","1180382","1258639","1362160","1495108","1652493","1819780","1976795","2109194","2211378","2287859","2346768","2400876","2459582","2524948","2594101","",
"Argentina","ARG","Population, female","SP.POP.TOTL.FE.IN","10148066","10325494","10504134","10683293","10861895","11039448","11215455","11391088","11569574","11755215","11951008","12158165","12375602","12601072","12831143","13063209","13296654","13531869","13768476","14006283","14245108","14484323","14723643","14963677","15205407","15449378","15695670","15943539","16191720","16438494","16682535","16923558","17161591","17396009","17626209","17851861","18072582","18288725","18501768","18713730","18926129","19139683","19354161","19569048","19783381","19996580","20208300","20419085","20630231","20843519","21060096","21280453","21503827","21728482","21951996","22172551","22389522","22603175","",
"Armenia","ARM","Population, female","SP.POP.TOTL.FE.IN","971118","1004446","1038032","1071562","1104755","1137405","1169235","1200280","1230898","1261649","1292908","1324772","1357022","1389271","1420978","1451736","1481470","1510252","1538031","1564792","1590545","1614580","1636817","1658628","1681883","1707571","1737049","1768934","1798145","1817820","1823350","1812578","1787881","1754804","1721339","1693329","1672642","1657794","1647237","1638215","1628670","1618678","1609088","1599553","1589708","1579388","1568169","1556308","1545072","1536225","1530960","1529747","1532013","1536577","1541734","1546192","1549566","1552108","",
"American Samoa","ASM","Population, female","SP.POP.TOTL.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
