
"CountryName","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Population, male","SP.POP.TOTL.MA.IN","26574","27184","27570","27788","27938","28092","28257","28424","28582","28738","28885","29039","29206","29354","29463","29507","29475","29377","29269","29227","29291","29520","29888","30289","30609","30723","30589","30262","29975","30039","30658","31929","33753","35871","37915","39616","40906","41836","42520","43149","43841","44646","45486","46310","47025","47575","47936","48137","48249","48341","48467","48649","48876","49127","49378","49598","49799","49982","",
"Afghanistan","AFG","Population, male","SP.POP.TOTL.MA.IN","4649361","4729085","4813500","4902742","4996990","5096399","5199609","5306376","5419182","5541419","5674682","5818118","5967987","6119136","6264873","6398958","6524577","6639628","6726764","6763626","6736957","6642670","6493970","6317189","6148693","6018078","5926288","5874818","5893319","6017386","6267967","6666301","7195469","7791066","8363390","8849356","9219569","9495939","9729038","9995063","10346986","10803963","11342077","11919887","12476432","12969247","13381926","13732622","14054874","14398315","14797694","15264598","15784301","16333412","16876928","17389625","17864423","18309891","",
"Angola","AGO","Population, male","SP.POP.TOTL.MA.IN","2742585","2796481","2851979","2908157","2963664","3017781","3070224","3122099","3175771","3234432","3300464","3374941","3457647","3548042","3645025","3747887","3855958","3969748","4090950","4221884","4363811","4518246","4683661","4854641","5023810","5186190","5339056","5484781","5629707","5782990","5951053","6137180","6339072","6550825","6763717","6972032","7173636","7372303","7575412","7793313","8033545","8298798","8587105","8895760","9220109","9556746","9904946","10265910","10640262","11029120","11433115","11852498","12286368","12732763","13189103","13653564","14125405","14605264","",
"Albania","ALB","Population, male","SP.POP.TOTL.MA.IN","828205","854495","881002","907383","933879","959968","985646","1011998","1041259","1071887","1099525","1126332","1154556","1181887","1209110","1237093","1264649","1292943","1320071","1346534","1374206","1401535","1430681","1460530","1491093","1522080","1552819","1585881","1617007","1659149","1683244","1661987","1636420","1609515","1585907","1569137","1560944","1559800","1562331","1563784","1560981","1548466","1542010","1531950","1521004","1510064","1499018","1487273","1476369","1467513","1461599","1459381","1459114","1458648","1457453","1454334","1452292","1450509","",
"Andorra","AND","Population, male","SP.POP.TOTL.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population, male","SP.POP.TOTL.MA.IN","46581386","47870006","49199404","50573454","51997422","53475293","55014660","56616215","58269091","59957601","61674153","63408692","65174687","67016222","68992698","71144493","73489523","76009278","78662125","81387230","84139416","86902253","89685030","92498845","95364425","98294965","101287129","104327021","107404525","110506415","114621554","117800551","119899678","123151710","126324186","130306661","133224277","136065591","138863468","141726120","144718354","147851480","151122471","154562558","158204457","162065758","166162755","170476001","174946300","179477763","184000856","188495044","192963246","197395503","201789533","206144145","210445642","214690084","",
"United Arab Emirates","ARE","Population, male","SP.POP.TOTL.MA.IN","46355","52265","60516","70099","79556","88089","95170","101856","110827","125708","149076","181314","221512","269363","324125","384813","452285","525588","599657","667793","725507","770484","804804","833839","865378","905152","954953","1013303","1078713","1148450","1220563","1296259","1376729","1460087","1543778","1626755","1711675","1802259","1900361","2008095","2129352","2253656","2385700","2561550","2829292","3217402","3746924","4391574","5074498","5689598","6161490","6461097","6612594","6659495","6669991","6694720","6744664","6806044","",
"Argentina","ARG","Population, male","SP.POP.TOTL.MA.IN","10471009","10627583","10783548","10938547","11092034","11243942","11393293","11541115","11691704","11850772","12022050","12208274","12407347","12612316","12813363","13003766","13180498","13346696","13509265","13678251","13860780","14059041","14270344","14491061","14715497","14939405","15161574","15382934","15603797","15825067","16047204","16270360","16493560","16714908","16931906","17142953","17347100","17545244","17739822","17934338","18131323","18331826","18535209","18740331","18945315","19148908","19350590","19551139","19752158","19955888","20163793","20376426","20592912","20811443","21029519","21245214","21457908","21667866","",
"Armenia","ARM","Population, male","SP.POP.TOTL.MA.IN","903002","937045","971494","1006013","1040243","1073911","1106796","1138844","1170242","1201276","1232157","1262934","1293462","1323510","1352769","1381021","1408109","1434127","1459380","1484313","1509206","1533512","1556869","1579966","1603712","1628364","1655207","1683008","1706506","1718649","1714815","1692673","1654929","1608294","1562321","1524013","1495573","1475292","1461447","1450802","1440918","1431977","1424809","1418253","1410904","1401871","1390331","1376748","1363148","1352359","1346351","1345834","1349909","1356932","1364486","1370758","1375250","1378342","",
"American Samoa","ASM","Population, male","SP.POP.TOTL.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Population, male","SP.POP.TOTL.MA.IN","26066","26371","26879","27517","28205","28892","29554","30217","30859","31479","32057","32586","33056","33480","33901","34319","34753","35185","35561","35794","35836","35682","35360","34912","34402","33889","33367","32848","32430","32203","32250","32600","33233","34048","34933","35781","36559","37290","37992","38686","39389","40103","40812","41504","42160","42782","43343","43876","44378","44873","45370","45874","46390","46911","47425","47939","48454","48966","",
