,TR,BC,CNC,DC,EC,PR,TC
1,0,0,0,33,33,33,0
2,33,33,2,0,0,0,33
3,32,32,33,32,2,32,32
4,1,2,31,2,32,1,1
5,2,31,8,1,1,2,2
6,3,8,13,3,8,31,3
7,7,1,32,31,13,3,7
8,13,13,19,8,3,5,8
9,8,19,1,13,31,6,13
10,23,5,3,23,30,23,23
11,29,6,27,5,7,29,29
12,5,27,30,6,23,27,31
13,6,23,28,7,19,8,5
14,30,30,7,27,29,24,6
15,31,3,9,29,27,13,30
16,4,25,23,30,28,4,4
17,10,29,5,4,9,10,10
18,12,24,6,10,14,25,
19,14,28,29,19,15,30,
20,15,9,4,24,18,7,
21,16,4,10,25,20,16,
22,17,10,17,28,22,28,
23,18,7,21,9,17,19,
24,19,11,24,12,21,26,
25,20,12,25,14,12,12,
26,21,14,12,15,5,17,
27,22,15,14,16,6,21,
28,24,16,15,17,4,14,
29,25,17,18,18,10,15,
30,26,18,20,20,26,18,
31,27,20,22,21,25,20,
32,28,21,11,22,24,22,
33,9,22,26,26,11,9,
34,11,26,16,11,16,11,
