,TR,TR_i,EC,EC_i,CNC,CNC_i,BC,BC_i,DC,DC_i,PR,PR_i
1,18,137,18,0.4009759281963072,18,0.6166666666666667,18,0.24468528792139319,18,0.44144144144144143,18,0.0254250262979372
2,3,70,3,0.28327271308807134,3,0.5467980295566502,3,0.1286726954331421,3,0.2972972972972973,3,0.020681444335046442
3,52,49,52,0.24214273052290805,52,0.5260663507109005,44,0.09745558823854306,52,0.25225225225225223,44,0.016488011592784728
4,44,33,44,0.2199029084675191,44,0.511520737327189,52,0.09487912032531584,44,0.25225225225225223,52,0.016033404420167034
5,51,31,105,0.18840019160686636,28,0.4889867841409692,10,0.07084394438217559,105,0.1891891891891892,10,0.014808120011609836
6,105,30,51,0.16124709774394372,105,0.4889867841409692,80,0.0531274771465839,10,0.15315315315315314,80,0.013812746914417286
7,55,24,25,0.1497358265768873,10,0.4847161572052402,105,0.0497647212755189,25,0.13513513513513514,105,0.013578295086311521
8,26,20,26,0.14910383223672113,27,0.4826086956521739,28,0.043367259560991786,28,0.13513513513513514,2,0.012421526948296794
9,19,17,55,0.1446591372289283,25,0.47844827586206895,2,0.036504118057547295,51,0.13513513513513514,28,0.011100669678748003
10,25,17,32,0.14195754142933634,26,0.47639484978540775,29,0.033891942804989195,2,0.12612612612612611,29,0.011031785203605964
