,TR,TR_i,EC,EC_i,CNC,CNC_i,BC,BC_i,DC,DC_i,PR,PR_i
1,15,17,15,0.31578107648046766,37,0.4178082191780822,37,0.2482371960289381,15,0.19672131147540983,52,0.025953515752699358
2,46,17,38,0.30056092847049554,41,0.40397350993377484,2,0.21332443553281097,38,0.18032786885245902,18,0.02483665839259177
3,34,15,46,0.2850031047324043,38,0.39869281045751637,41,0.1431495183426175,46,0.18032786885245902,58,0.02280823202940177
4,14,14,34,0.28109701716058694,21,0.391025641025641,38,0.13856978865859435,52,0.1639344262295082,34,0.021331483192373785
5,58,13,51,0.21769051331081501,15,0.3765432098765432,8,0.11823861926938346,34,0.1639344262295082,30,0.021217324325941155
6,38,13,30,0.21176109464474224,2,0.3719512195121951,18,0.11430016291546972,18,0.14754098360655737,15,0.0210620451817617
7,52,11,52,0.2106802089208981,29,0.3652694610778443,21,0.10264573972090968,58,0.14754098360655737,39,0.020404438347741742
8,10,11,17,0.20799316926734238,8,0.3652694610778443,55,0.09912164676351941,21,0.14754098360655737,46,0.020062821007569072
9,19,11,41,0.20787263130203712,34,0.3652694610778443,52,0.08467725475022556,30,0.14754098360655737,38,0.02003024153652118
10,30,9,22,0.20734961722376985,9,0.3630952380952381,58,0.08420468343495603,41,0.13114754098360656,2,0.018986878366866827
