,TR,TR_i,EC,EC_i,CNC,CNC_i,BC,BC_i,DC,DC_i,PR,PR_i
1,105,261,105,0.22910279786580828,333,0.3828204261075414,333,0.03948985782790013,105,0.0627208480565371,105,0.002245883882978105
2,16,186,16,0.16529564951464812,23,0.38165879973027644,105,0.03693124853317947,333,0.045936395759717315,376,0.002010101188456896
3,196,146,196,0.15424720603711609,105,0.37821583695289007,23,0.03346297766608285,16,0.045053003533568906,355,0.0019825110352467766
4,299,140,204,0.13488283794100261,42,0.3775850567044696,578,0.03155662746086827,23,0.045053003533568906,21,0.00196955645554795
5,3,138,42,0.13157010631132712,41,0.3749585955614442,76,0.030117501315083384,42,0.045053003533568906,14,0.0019544270281950005
6,42,131,49,0.12792422037794068,76,0.37433862433862436,233,0.027717031244654997,41,0.04328621908127209,24,0.0019393969947008706
7,205,121,56,0.12636984400269408,233,0.3733509234828496,135,0.027264467891820313,196,0.04151943462897526,41,0.0019120204277852178
8,204,116,116,0.1250097277553245,52,0.37322782723376197,41,0.026499357139407435,233,0.03975265017667844,23,0.0019088276048662889
9,49,113,333,0.12365670771741143,135,0.36993464052287583,355,0.026387767326481314,21,0.037985865724381625,460,0.0018680822447595987
10,552,112,3,0.12065276930477893,378,0.36860957342885053,42,0.02602441770604824,76,0.037985865724381625,578,0.001845245739512338
