,TR,TR_i,EC,EC_i,CNC,CNC_i,BC,BC_i,DC,DC_i,PR,PR_i
1,1,18,34,0.373371213013235,1,0.5689655172413793,1,0.43763528138528146,34,0.5151515151515151,34,0.0636336459066375
2,34,15,1,0.3554834941851943,3,0.559322033898305,34,0.30407497594997596,1,0.48484848484848486,1,0.0606376426470952
3,33,13,3,0.31718938996844476,34,0.55,33,0.145247113997114,33,0.36363636363636365,33,0.04916045404936609
4,2,12,33,0.3086510477336959,32,0.5409836065573771,3,0.14365680615680618,3,0.30303030303030304,2,0.0392678925742952
5,3,11,2,0.2659538704545025,9,0.515625,32,0.13827561327561325,2,0.2727272727272727,3,0.03893277112904348
6,4,10,9,0.2274050914716605,14,0.515625,9,0.05592682780182781,4,0.18181818181818182,32,0.03188015094553734
7,8,6,14,0.22646969838808148,33,0.515625,2,0.053936688311688304,32,0.18181818181818182,4,0.031240711998370276
8,14,6,4,0.2111740783205706,20,0.5,14,0.04586339586339586,9,0.15151515151515152,6,0.030449948865522845
9,9,5,32,0.19103626979791702,2,0.4852941176470588,20,0.03247504810004811,14,0.15151515151515152,7,0.030449948865522845
10,24,4,31,0.17476027834493085,4,0.4647887323943662,6,0.02998737373737374,24,0.15151515151515152,24,0.02978033660402666
