,TR,TR_i,EC,EC_i,CNC,CNC_i,BC,BC_i,DC,DC_i,PR,PR_i
1,4363,21,4361,0.2865344997425943,1268,0.08182330142114155,4148,0.28841562147939614,2682,0.003846153846153846,818,0.0006604164524036695
2,4327,20,4327,0.27451470848011433,2554,0.0809437981320662,2504,0.28169812331624505,4447,0.0036437246963562753,4447,0.0006296821048496219
3,4333,19,4319,0.24822112815712566,2570,0.08035786905246035,1200,0.2796951897344531,818,0.0028340080971659917,3413,0.0005799933772081997
4,4361,18,4317,0.24290464678318444,1202,0.07987194619153098,4205,0.27764988777849725,3413,0.0028340080971659917,2682,0.0005234538861743054
5,4353,15,4333,0.23627243283037458,2571,0.0796260477111541,2490,0.26730447500467747,4327,0.0028340080971659917,1179,0.000512765048596162
6,4373,15,4363,0.22130755705306215,1200,0.07932684587468285,1223,0.24827101665302162,2365,0.002631578947368421,581,0.0005089218594895962
7,4317,14,4384,0.2147571103970849,1444,0.07918570169111165,1268,0.2365166910499439,2503,0.002631578947368421,2532,0.0004916820929335648
8,4319,14,4330,0.21411168520513027,2520,0.07911468426194328,1203,0.20523301004236522,2532,0.002631578947368421,2419,0.0004867403241554003
9,4330,14,4373,0.19782989883696156,2490,0.07877280265339967,414,0.20495396256691528,2544,0.002631578947368421,2365,0.0004727986292827579
10,4341,13,4353,0.1947891980144054,2521,0.07803121248499399,2571,0.20311626353593562,3876,0.002631578947368421,2615,0.00046275711148245733
