,TR,TR_i,EC,EC_i,CNC,CNC_i,BC,BC_i,DC,DC_i,PR,PR_i
1,1,1413,1,0.21124923323535413,1,0.6073394495412844,1,0.20830586985886998,1,0.4199395770392749,47,0.020574048113518498
2,47,1256,47,0.1945817485838633,47,0.5544388609715243,206,0.17006973867446312,47,0.3564954682779456,1,0.019831895048309196
3,110,1213,110,0.19181585454120978,55,0.5399673735725938,47,0.1531955411430336,110,0.30513595166163143,206,0.012849062897883796
4,4,1075,4,0.17945225934953368,110,0.5355987055016181,2,0.09422863574735517,4,0.283987915407855,2,0.012305596778939927
5,5,1062,5,0.17873266446923206,2,0.533011272141707,7,0.0928183810356096,5,0.283987915407855,5,0.012229656076985644
6,113,1014,113,0.17303107246048688,4,0.5287539936102237,4,0.08154651640084319,113,0.2628398791540785,4,0.0121924094401236
7,53,968,53,0.16814016051469446,7,0.5262321144674086,110,0.07149967942367398,111,0.256797583081571,110,0.011346313418100867
8,111,939,55,0.1640682261809103,48,0.5245641838351822,5,0.06930486445174282,55,0.23564954682779457,55,0.010021960687163083
9,55,933,111,0.16167119852181228,111,0.5245641838351822,54,0.06812667347801998,53,0.21148036253776434,113,0.009853616081934004
10,52,926,52,0.1615821805048525,53,0.5237341772151899,209,0.06529952088864475,2,0.2054380664652568,111,0.009799258721297005
