,nodes,Efficiency,Density
1,1,0.3584595959595959,0.11742424242424243
2,2,0.4851957070707049,0.13068181818181818
3,3,0.4747474747474728,0.12878787878787878
4,4,0.48929924242424033,0.13636363636363635
5,5,0.4949810606060585,0.14204545454545456
6,6,0.4937184343434323,0.14015151515151514
7,7,0.4937184343434322,0.14015151515151514
8,8,0.49166666666666453,0.14015151515151514
9,9,0.4877209595959574,0.13825757575757575
10,10,0.49324494949494735,0.14393939393939395
11,11,0.4949810606060586,0.14204545454545456
12,12,0.4971906565656545,0.14583333333333334
13,13,0.4962436868686848,0.14393939393939395
14,14,0.48724747474747254,0.13825757575757575
15,15,0.49586489898989683,0.14393939393939395
16,16,0.49586489898989683,0.14393939393939395
17,17,0.5017361111111094,0.14393939393939395
18,18,0.4959280303030282,0.14393939393939395
19,19,0.49586489898989683,0.14393939393939395
20,20,0.4896148989898966,0.14204545454545456
21,21,0.49586489898989683,0.14393939393939395
22,22,0.49592803030302807,0.14393939393939395
23,23,0.49586489898989683,0.14393939393939395
24,24,0.4920770202020178,0.13825757575757575
25,25,0.49640151515151326,0.14204545454545456
26,26,0.49640151515151326,0.14204545454545456
27,27,0.4963383838383817,0.14393939393939395
28,28,0.4904040404040382,0.14015151515151514
29,29,0.49166666666666436,0.14204545454545456
30,30,0.49365530303030075,0.14015151515151514
31,31,0.49071969696969464,0.14015151515151514
32,32,0.480397727272725,0.13636363636363635
33,33,0.480303030303028,0.125
34,34,0.4582386363636335,0.11553030303030302
