,nodes,TC_i,nodes,PI_i,nodes,CC_i
0,1312,0.513,32,-1.2235,75,0.07852263478169809
1,1314,0.513,33,-0.4686,32,0.09550726789217862
2,1315,0.513,75,-0.2616,33,0.1071098168129647
3,1313,0.5132,52,-0.2117,143,0.12839130493123846
4,1316,0.5132,205,-0.0415,205,0.13895730868524694
5,1317,0.5132,61,-0.0402,277,0.14848084289347818
6,1318,0.5132,277,0.0352,144,0.1495772403524855
7,1319,0.5132,208,0.1569,265,0.15351742167455218
8,1320,0.5132,93,0.2191,208,0.1644938896599396
9,1321,0.5132,51,0.2916,708,0.16477067382760613
10,1322,0.5132,599,0.2992,494,0.16588040104673218
11,1323,0.5132,855,0.3183,51,0.16590399810121298
12,1324,0.5132,482,0.3408,44,0.16736304012345676
13,1325,0.5132,345,0.3488,52,0.16903972849696916
14,1326,0.5132,558,0.3529,61,0.1731679676076853
15,1327,0.5132,559,0.3529,495,0.17651927437641723
16,1328,0.5132,265,0.3561,69,0.18063627930511048
17,1329,0.5132,708,0.359,30,0.18173580584981514
18,1330,0.5132,560,0.3775,93,0.18345208538811228
19,1331,0.5132,309,0.3961,618,0.18484605304916962
20,32,0.5234,956,0.4019,1312,0.189273364881502
21,33,0.5275000000000001,1299,0.4019,1314,0.189273364881502
22,52,0.5316000000000001,1300,0.4019,1315,0.189273364881502
23,61,0.5342,1431,0.4022,309,0.19017352537722912
24,855,0.5373,1432,0.4022,345,0.19025008407145214
25,851,0.5403,1433,0.4022,933,0.19129048465450996
26,277,0.5409999999999999,271,0.4161,284,0.19473273337112623
27,208,0.5424,272,0.4161,49,0.19639469833328582
28,1108,0.5431,128,0.4223,1313,0.19806163243069044
29,51,0.5446,1188,0.4237,1316,0.19806163243069044
30,205,0.5509999999999999,627,0.4283,1317,0.19806163243069044
31,132,0.5556,240,0.4295,1318,0.19806163243069044
32,133,0.5556,241,0.4295,1319,0.19806163243069044
33,134,0.5556,480,0.4422,1320,0.19806163243069044
34,135,0.5556,640,0.4436,1321,0.19806163243069044
35,136,0.5556,656,0.4452,1322,0.19806163243069044
36,137,0.5556,14,0.447,1323,0.19806163243069044
37,138,0.5556,1210,0.4548,1324,0.19806163243069044
38,139,0.5556,1062,0.4663,1325,0.19806163243069044
39,140,0.5556,618,0.4686,1326,0.19806163243069044
40,141,0.5556,146,0.4771,1327,0.19806163243069044
41,773,0.5556,147,0.4771,1328,0.19806163243069044
42,774,0.5556,148,0.4771,1329,0.19806163243069044
43,775,0.5556,149,0.4771,1330,0.19806163243069044
44,776,0.5556,217,0.4771,1331,0.19806163243069044
