,nodes_tr,TR
0,1312,173
1,1314,173
2,1315,173
3,1313,171
4,1316,171
5,1316,171
6,1317,171
7,1318,171
8,1319,171
9,1320,171
10,1321,171
11,1322,171
12,1323,171
13,1324,171
14,1325,171
15,1326,171
16,1327,171
17,1328,171
18,1329,171
19,1330,171
20,31,75
21,32,64
22,51,58
23,60,54
24,854,51
25,850,48
26,1107,44
27,207,41
28,276,41
29,50,40
30,131,36
31,132,36
32,133,36
33,134,36
34,135,36
35,136,36
36,137,36
37,138,36
38,139,36
39,140,36
40,772,36
41,773,36
42,774,36
43,775,36
44,776,36
45,777,36
46,778,36
47,779,36
48,780,36
49,781,36
50,987,36
51,988,36
52,989,36
53,990,36
54,991,36
55,992,36
56,993,36
57,994,36
58,995,36
59,996,36
60,124,33
61,249,33
62,250,33
63,252,33
64,204,31
65,657,31
66,1026,31
67,754,30
68,1061,29
69,125,28
70,126,28
71,246,28
72,534,28
73,535,28
74,753,28
75,755,28
76,852,28
77,853,28
78,1024,28
79,1025,28
80,1027,28
81,1028,28
82,1029,28
83,1030,28
84,1031,28
85,1032,28
86,1067,28
87,1068,28
88,1069,28
89,1070,28
90,1071,28
91,1072,28
92,1073,28
93,1074,28
94,1075,28
95,308,27
96,998,27
97,59,24
98,277,24
99,324,24
100,264,23
101,932,23
102,74,22
103,92,22
104,384,22
105,694,22
106,247,21
107,248,21
108,251,21
109,253,21
110,367,21
111,368,21
112,369,21
113,370,21
114,371,21
115,372,21
116,373,21
117,374,21
118,431,21
119,432,21
120,433,21
121,434,21
122,435,21
123,436,21
124,437,21
125,438,21
126,617,21
127,997,21
128,999,21
129,1000,21
130,1108,21
131,1109,21
132,1110,21
133,1111,21
134,1112,21
135,1113,21
136,1114,21
137,1276,21
138,1277,21
139,1278,21
140,1279,21
141,1435,21
142,1436,21
143,1437,21
144,1438,21
145,1439,21
146,1440,21
147,118,20
148,707,20
149,397,19
150,712,19
151,867,19
152,93,18
153,142,18
154,143,18
155,259,18
156,261,18
157,91,17
158,266,17
159,344,17
160,385,17
161,493,17
162,695,17
163,868,17
164,67,16
165,206,16
166,655,16
167,262,15
168,263,15
169,265,15
170,267,15
171,268,15
172,283,15
173,383,15
174,386,15
175,387,15
176,494,15
177,1286,15
178,1287,15
179,1288,15
180,1289,15
181,1290,15
182,598,14
183,696,13
184,715,13
185,716,13
186,726,13
187,786,13
188,29,12
189,69,12
190,238,12
191,289,12
192,507,12
193,508,12
194,509,12
195,615,12
196,618,12
197,1187,12
198,1209,12
199,119,11
200,183,11
201,208,11
202,359,11
203,804,11
204,948,11
205,1384,11
206,33,10
207,34,10
208,35,10
209,36,10
210,37,10
211,38,10
212,68,10
213,318,10
214,330,10
215,331,10
216,332,10
217,333,10
218,334,10
219,335,10
220,357,10
221,358,10
222,620,10
223,626,10
224,653,10
225,654,10
226,656,10
227,658,10
228,721,10
229,722,10
230,723,10
231,724,10
232,747,10
233,748,10
234,749,10
