,nodes_tr,TR,nodes_ec,EC,nodes_cnc,CnC,nodes_bc,BC,nodes_dc,DC
0,1312,173,1312,0.2249711265573941,75,0.0664397511369026,75,0.026571553488706785,32,0.023287671232876714
1,1314,173,1314,0.2249711265573941,265,0.06447019329687584,143,0.023090282944817454,33,0.018493150684931507
2,1315,173,1315,0.2249711265573941,143,0.06396454472199839,494,0.0191346916061958,75,0.018493150684931507
3,1313,171,1313,0.22319937164635859,708,0.06293617583579263,265,0.018073839576191818,52,0.014383561643835616
4,1316,171,1316,0.22319937164635859,284,0.06029929354569164,205,0.017088078717830756,277,0.0136986301369863
5,1316,171,1316,0.22319937164635859,143,0.0597106488252944,32,0.016766975422096438,1311,0.0136986301369863
6,1317,171,1317,0.22319937164635859,32,0.059456715324822315,707,0.01549760699049088,1313,0.0136986301369863
7,1318,171,1318,0.22319937164635859,123,0.057568090249798545,283,0.014821572838409864,1314,0.0136986301369863
8,1319,171,1319,0.22319937164635859,710,0.05703132483954402,123,0.011699305444404494,60,0.013013698630136987
9,1320,171,1320,0.22319937164635859,1042,0.056931793731621605,192,0.011686473736942381,204,0.013013698630136987
10,1321,171,1321,0.22319937164635859,708,0.05689869385154508,143,0.010462876991399838,1312,0.013013698630136987
11,1322,171,1322,0.22319937164635859,709,0.05689869385154508,31,0.010172545861183276,1315,0.013013698630136987
12,1323,171,1323,0.22319937164635859,1089,0.05647187156644982,43,0.009929775605327864,1316,0.013013698630136987
13,1324,171,1324,0.22319937164635859,1232,0.05647187156644982,207,0.008367368654955385,1317,0.013013698630136987
14,1325,171,1325,0.22319937164635859,192,0.05608352631785532,29,0.0061187060651870795,1318,0.013013698630136987
15,1326,171,1326,0.22319937164635859,43,0.0560193207925916,289,0.005824030345423305,1319,0.013013698630136987
16,1327,171,1327,0.22319937164635859,493,0.05589134975708597,69,0.004839181039546771,1320,0.013013698630136987
17,1328,171,1328,0.22319937164635859,68,0.05544801893748302,617,0.0046832325327467615,1321,0.013013698630136987
18,1329,171,1329,0.22319937164635859,31,0.055228980487955714,68,0.0044735010550375365,1322,0.013013698630136987
19,1330,171,1330,0.22319937164635859,67,0.055166715571960276,308,0.004320554040815604,1323,0.013013698630136987
20,31,75,1331,0.03547729075165179,69,0.05501166578114532,50,0.0037087477574487826,1324,0.013013698630136987
21,32,64,31,6.702250472621598e-05,29,0.05482675261885576,118,0.0031326579473649617,1325,0.013013698630136987
22,51,58,32,5.774199960691228e-05,712,0.05482675261885576,173,0.003118104913292084,1326,0.013013698630136987
23,60,54,51,5.6054172447778776e-05,713,0.0544303411705548,657,0.003118104913292084,1327,0.013013698630136987
24,854,51,50,4.13685313258522e-05,714,0.0544303411705548,567,0.0030510727970617445,1328,0.013013698630136987
25,850,48,124,3.833329402739359e-05,494,0.05436986301369862,384,0.0030404940050315467,1329,0.013013698630136987
26,1107,44,125,3.5309404988496044e-05,213,0.05430951910358354,52,0.0028652352228225215,1330,0.013013698630136987
27,207,41,126,3.5309404988496044e-05,711,0.05430951910358354,48,0.002817432800529744,207,0.012328767123287671
28,276,41,534,3.5309404988496044e-05,289,0.05406947703019753,67,0.002805483947426296,264,0.011643835616438357
29,50,40,535,3.5309404988496044e-05,290,0.05374286294599535,183,0.0027929306680938033,50,0.010958904109589041
30,131,36,786,2.3809833491699845e-05,287,0.05365447007930786,451,0.0027849499719893216,854,0.010958904109589041
31,132,36,29,2.2576696833436218e-05,288,0.05356636750118091,708,0.002683790627023026,92,0.010273972602739725
32,133,36,1097,2.1823316120011045e-05,113,0.053507793015121666,709,0.002683790627023026,142,0.010273972602739725
33,134,36,1098,2.1823316120011045e-05,291,0.05330378726833199,53,0.002511267877953173,308,0.010273972602739725
34,135,36,48,1.9565961434034104e-05,353,0.053159018698890566,92,0.002490214146443313,143,0.009589041095890411
35,136,36,1425,1.875867117244811e-05,469,0.05310133121251087,422,0.0024486653459397036,493,0.009589041095890411
36,137,36,49,1.7727779471683086e-05,352,0.05298633103663104,175,0.0024383373862750806,617,0.009589041095890411
37,138,36,785,1.7425518954394326e-05,75,0.05295765877957659,113,0.0021286997903558315,707,0.009589041095890411
38,139,36,1132,1.7208245749744337e-05,76,0.05295765877957659,494,0.001999635908957804,850,0.009589041095890411
39,140,36,1133,1.7208245749744337e-05,77,0.05295765877957659,127,0.001755753142985907,1107,0.009589041095890411
40,772,36,123,1.4352844846720781e-05,1101,0.05295765877957659,285,0.0017548142375618503,43,0.008219178082191782
41,773,36,1426,1.3832582140701901e-05,1102,0.05295765877957659,560,0.0017516845528149953,67,0.008219178082191782
42,774,36,467,1.3121578606481136e-05,1103,0.05295765877957659,210,0.0014372294778746937,118,0.008219178082191782
43,775,36,468,1.3121578606481136e-05,610,0.052929017536321,41,0.0014055414198127821,283,0.008219178082191782
44,776,36,617,1.2246265378605175e-05,799,0.052929017536321,312,0.0014046025143887256,344,0.008219178082191782
45,777,36,1404,1.1857655840057523e-05,1040,0.052929017536321,655,0.0014046025143887256,384,0.008219178082191782
46,778,36,707,1.0840614816147665e-05,1041,0.052929017536321,1209,0.0014046025143887256,494,0.008219178082191782
47,779,36,712,1.0102036633662655e-05,607,0.052900407256571635,521,0.0012383252089562472,657,0.008219178082191782
48,780,36,359,9.99743643308145e-06,937,0.052900407256571635,290,0.0010730124154593908,932,0.008219178082191782
49,781,36,620,9.811841142160054e-06,1085,0.052900407256571635,51,0.0010622281815255029,1061,0.008219178082191782
50,987,36,357,9.81033007517376e-06,141,0.052729393008974966,324,0.0010606501607093115,68,0.007534246575342466
51,988,36,358,9.81033007517376e-06,285,0.052418721705761936,479,0.0010567380547757423,93,0.007534246575342466
52,989,36,615,9.579797826948882e-06,284,0.05233462749981686,1076,0.0010562686020637144,249,0.007534246575342466
53,990,36,618,9.579797826948882e-06,92,0.05230665602600616,44,0.0010562686020637142,250,0.007534246575342466
54,991,36,1194,9.309344861878324e-06,298,0.05225080268267888,442,0.0010562686020637142,252,0.007534246575342466
55,992,36,179,9.080748784407298e-06,91,0.05213945307653572,639,0.0010562686020637142,598,0.007534246575342466
56,993,36,485,9.080748784407298e-06,299,0.052111689789487506,93,0.000992756121104493,694,0.007534246575342466
