,nodes_tr,TR,nodes_ec,EC,nodes_cnc,CnC,nodes_bc,BC,nodes_dc,DC,nodes_pr,pr
0,1312,173,1312,0.224971127,75,0.066439751,75,0.026571553,32,0.023287671,75,0.002515627
1,1314,173,1314,0.224971127,265,0.064470193,143,0.023090283,33,0.018493151,32,0.002363583
2,1315,173,1315,0.224971127,143,0.063964545,494,0.019134692,75,0.018493151,265,0.001689627
3,1313,171,1313,0.223199372,708,0.062936176,265,0.01807384,52,0.014383562,205,0.00151925
4,1316,171,1316,0.223199372,284,0.060299294,205,0.017088079,277,0.01369863,33,0.00143717
5,1316,171,1316,0.223199372,143,0.059710649,32,0.016766975,1311,0.01369863,276,0.001426924
6,1317,171,1317,0.223199372,32,0.059456715,707,0.015497607,1313,0.01369863,43,0.001400922
7,1318,171,1318,0.223199372,123,0.05756809,283,0.014821573,1314,0.01369863,493,0.001378837
8,1319,171,1319,0.223199372,710,0.057031325,123,0.011699305,60,0.013013699,308,0.001304771
9,1320,171,1320,0.223199372,1042,0.056931794,192,0.011686474,204,0.013013699,207,0.00130459
10,1321,171,1321,0.223199372,708,0.056898694,143,0.010462877,1312,0.013013699,92,0.001296244
11,1322,171,1322,0.223199372,709,0.056898694,31,0.010172546,1315,0.013013699,60,0.001260236
12,1323,171,1323,0.223199372,1089,0.056471872,43,0.009929776,1316,0.013013699,617,0.001257942
13,1324,171,1324,0.223199372,1232,0.056471872,207,0.008367369,1317,0.013013699,142,0.001248105
14,1325,171,1325,0.223199372,192,0.056083526,29,0.006118706,1318,0.013013699,67,0.001244583
15,1326,171,1326,0.223199372,43,0.056019321,289,0.00582403,1319,0.013013699,231,0.001228009
16,1327,171,1327,0.223199372,493,0.05589135,69,0.004839181,1320,0.013013699,143,0.001219643
17,1328,171,1328,0.223199372,68,0.055448019,617,0.004683233,1321,0.013013699,598,0.001214214
18,1329,171,1329,0.223199372,31,0.05522898,68,0.004473501,1322,0.013013699,51,0.00117607
19,1330,171,1330,0.223199372,67,0.055166716,308,0.004320554,1323,0.013013699,461,0.001165662
20,31,75,1331,0.035477291,69,0.055011666,50,0.003708748,1324,0.013013699,395,0.001155858
21,32,64,31,6.70E-05,29,0.054826753,118,0.003132658,1325,0.013013699,113,0.001148992
22,51,58,32,5.77E-05,712,0.054826753,173,0.003118105,1326,0.013013699,68,0.0011478
23,60,54,51,5.61E-05,713,0.054430341,657,0.003118105,1327,0.013013699,50,0.001134296
24,854,51,50,4.14E-05,714,0.054430341,567,0.003051073,1328,0.013013699,9,0.00113371
25,850,48,124,3.83E-05,494,0.054369863,384,0.003040494,1329,0.013013699,494,0.001127151
26,1107,44,125,3.53E-05,213,0.054309519,52,0.002865235,1330,0.013013699,183,0.00111488
