,nodes_tr,nodes_bc,nodes_cnc,nodes_dc,nodes_ec,nodes_pr,nodes_TC,nodes_PI,nodes_CC,nodes_TPN
nodes_tr,1.0,-0.2614,0.249,-0.9678,1.0,-0.0632,0.3334,0.8464,0.014,0.3334
nodes_bc,-0.2614,1.0,0.8697,0.0102,-0.2614,-0.9468,-0.9972,-0.7353,0.9615,-0.9972
nodes_cnc,0.249,0.8697,1.0,-0.4847,0.249,-0.9823,-0.8301,-0.3049,0.9719,-0.8301
nodes_dc,-0.9678,0.0102,-0.4847,1.0,-0.9678,0.3123,-0.0854,-0.6852,-0.2651,-0.0854
nodes_ec,1.0,-0.2614,0.249,-0.9678,1.0,-0.0632,0.3334,0.8464,0.014,0.3334
nodes_pr,-0.0632,-0.9468,-0.9823,0.3123,-0.0632,1.0,0.9198,0.4779,-0.9988,0.9198
nodes_TC,0.3334,-0.9972,-0.8301,-0.0854,0.3334,0.9198,1.0,0.7842,-0.938,1.0
nodes_PI,0.8464,-0.7353,-0.3049,-0.6852,0.8464,0.4779,0.7842,1.0,-0.5206,0.7842
nodes_CC,0.014,0.9615,0.9719,-0.2651,0.014,-0.9988,-0.938,-0.5206,1.0,-0.938
nodes_TPN,0.3334,-0.9972,-0.8301,-0.0854,0.3334,0.9198,1.0,0.7842,-0.938,1.0
