,nodes_tr,nodes_bc,nodes_cnc,nodes_dc,nodes_ec,nodes_pr,nodes_TC,nodes_PI,nodes_CC,nodes_TPN
nodes_tr,1.0,0.482,-0.0943,0.7807,1.0,-0.0356,1.0,0.66,0.3156,-0.2873
nodes_bc,0.482,1.0,0.0715,0.0579,0.482,0.8468,0.482,0.3834,-0.1854,0.0092
nodes_cnc,-0.0943,0.0715,1.0,-0.0098,-0.0943,0.2524,-0.0943,0.4636,0.4633,-0.7444
nodes_dc,0.7807,0.0579,-0.0098,1.0,0.7807,-0.3176,0.7807,0.8124,0.7807,-0.6206
nodes_ec,1.0,0.482,-0.0943,0.7807,1.0,-0.0356,1.0,0.66,0.3156,-0.2873
nodes_pr,-0.0356,0.8468,0.2524,-0.3176,-0.0356,1.0,-0.0356,0.1714,-0.2513,0.0262
nodes_TC,1.0,0.482,-0.0943,0.7807,1.0,-0.0356,1.0,0.66,0.3156,-0.2873
nodes_PI,0.66,0.3834,0.4636,0.8124,0.66,0.1714,0.66,1.0,0.8256,-0.8604
nodes_CC,0.3156,-0.1854,0.4633,0.7807,0.3156,-0.2513,0.3156,0.8256,1.0,-0.9284
nodes_TPN,-0.2873,0.0092,-0.7444,-0.6206,-0.2873,0.0262,-0.2873,-0.8604,-0.9284,1.0
