,nodes,TC_i,nodes,PI_i,nodes,CC_i
0,1312,0.513,32,-1.2235,75,0.078522635
1,1314,0.513,33,-0.4686,32,0.095507268
2,1315,0.513,75,-0.2616,33,0.107109817
3,1313,0.5132,52,-0.2117,143,0.128391305
4,1316,0.5132,205,-0.0415,205,0.138957309
5,1317,0.5132,61,-0.0402,277,0.148480843
6,1318,0.5132,277,0.0352,144,0.14957724
7,1319,0.5132,208,0.1569,265,0.153517422
8,1320,0.5132,93,0.2191,208,0.16449389
9,1321,0.5132,51,0.2916,708,0.164770674
10,1322,0.5132,599,0.2992,494,0.165880401
11,1323,0.5132,855,0.3183,51,0.165903998
12,1324,0.5132,482,0.3408,44,0.16736304
13,1325,0.5132,345,0.3488,52,0.169039728
14,1326,0.5132,558,0.3529,61,0.173167968
15,1327,0.5132,559,0.3529,495,0.176519274
16,1328,0.5132,265,0.3561,69,0.180636279
17,1329,0.5132,708,0.359,30,0.181735806
18,1330,0.5132,560,0.3775,93,0.183452085
19,1331,0.5132,309,0.3961,618,0.184846053
20,32,0.5234,956,0.4019,1312,0.189273365
21,33,0.5275,1299,0.4019,1314,0.189273365
22,52,0.5316,1300,0.4019,1315,0.189273365
23,61,0.5342,1431,0.4022,309,0.190173525
24,855,0.5373,1432,0.4022,345,0.190250084
25,851,0.5403,1433,0.4022,933,0.191290485
26,277,0.541,271,0.4161,284,0.194732733
27,208,0.5424,272,0.4161,49,0.196394698
28,1108,0.5431,128,0.4223,1313,0.198061632
29,51,0.5446,1188,0.4237,1316,0.198061632
30,205,0.551,627,0.4283,1317,0.198061632
31,132,0.5556,240,0.4295,1318,0.198061632
32,133,0.5556,241,0.4295,1319,0.198061632
33,134,0.5556,480,0.4422,1320,0.198061632
34,135,0.5556,640,0.4436,1321,0.198061632
35,136,0.5556,656,0.4452,1322,0.198061632
36,137,0.5556,14,0.447,1323,0.198061632
37,138,0.5556,1210,0.4548,1324,0.198061632
38,139,0.5556,1062,0.4663,1325,0.198061632
39,140,0.5556,618,0.4686,1326,0.198061632
40,141,0.5556,146,0.4771,1327,0.198061632
41,773,0.5556,147,0.4771,1328,0.198061632
42,774,0.5556,148,0.4771,1329,0.198061632
43,775,0.5556,149,0.4771,1330,0.198061632
44,776,0.5556,217,0.4771,1331,0.198061632
45,777,0.5556,218,0.4771,695,0.208107712
46,778,0.5556,219,0.4771,68,0.211200754
47,779,0.5556,220,0.4771,1246,0.21183614
48,780,0.5556,243,0.4771,385,0.211864662
49,781,0.5556,244,0.4771,868,0.213292365
50,782,0.5556,280,0.4771,290,0.213716571
51,988,0.5556,281,0.4771,855,0.21923896
52,989,0.5556,282,0.4771,70,0.220570914
53,990,0.5556,283,0.4771,53,0.226552438
54,991,0.5556,315,0.4771,522,0.227505358
55,992,0.5556,316,0.4771,1108,0.23571746
56,993,0.5556,317,0.4771,119,0.237096049
57,994,0.5556,318,0.4771,114,0.238051496
58,995,0.5556,321,0.4771,658,0.243473263
59,996,0.5556,322,0.4771,851,0.245705762
60,997,0.5556,323,0.4771,94,0.249004438
61,250,0.5568,324,0.4771,214,0.252484865
62,251,0.5568,376,0.4771,423,0.254166667
63,253,0.5568,377,0.4771,599,0.254839302
64,75,0.5581,378,0.4771,291,0.255269505
65,125,0.5581,379,0.4771,1062,0.258833835
66,658,0.5581,380,0.4771,713,0.260753208
67,309,0.5595,381,0.4771,184,0.2611
68,1027,0.5595,382,0.4771,325,0.263016975
69,1062,0.561,383,0.4771,462,0.264025363
70,755,0.5625,427,0.4771,54,0.267590752
71,265,0.5658,428,0.4771,125,0.275874513
72,93,0.5676,429,0.4771,207,0.278767387
73,247,0.5676,430,0.4771,292,0.282597807
74,754,0.5676,537,0.4771,286,0.283038549
75,756,0.5676,538,0.4771,500,0.287274837
76,853,0.5676,539,0.4771,396,0.291666667
77,854,0.5676,540,0.4771,1027,0.292470156
78,126,0.5694,593,0.4771,232,0.293209877
79,127,0.5694,594,0.4771,210,0.293336843
80,535,0.5694,595,0.4771,452,0.293370487
81,536,0.5694,596,0.4771,124,0.294108575
82,999,0.5694,622,0.4771,697,0.300586056
83,1025,0.5694,623,0.4771,92,0.305077203
84,1026,0.5694,624,0.4771,398,0.306714678
85,1028,0.5694,625,0.4771,726,0.307340955
86,1029,0.5694,645,0.4771,126,0.308351242
87,1030,0.5694,646,0.4771,127,0.308351242
88,1031,0.5694,647,0.4771,535,0.308351242
89,1032,0.5694,648,0.4771,536,0.308351242
90,1033,0.5694,664,0.4771,193,0.308779289
91,1068,0.5694,665,0.4771,250,0.310067466
92,1069,0.5694,666,0.4771,251,0.310067466
93,1070,0.5694,667,0.4771,253,0.310067466
94,1071,0.5694,681,0.4771,142,0.311641953
95,1072,0.5694,682,0.4771,501,0.312457215
96,1073,0.5694,683,0.4771,907,0.314814815
97,1074,0.5694,684,0.4771,128,0.318956461
98,1075,0.5694,718,0.4771,278,0.319007577
99,1076,0.5694,719,0.4771,755,0.319735017
