,nodes,TC_i,nodes,PI_i,nodes,CC_i
0,24,0.4875,24,-1.7525,24,0.05715823235316252
1,108,0.4803,40,-0.4366,222,0.0802695615029931
2,57,0.4784,65,-0.4069,85,0.08576674502185776
3,229,0.4742,108,-0.3315,108,0.08991288257187496
4,40,0.474,57,-0.0155,65,0.0954378765432099
5,111,0.4653,229,0.0426,40,0.09939934298339563
6,192,0.4621,85,0.0485,57,0.10872812795249308
7,25,0.4615,222,0.0639,229,0.117043817804309
8,131,0.4583,245,0.2146,111,0.12128347045765202
9,248,0.4583,123,0.3489,186,0.13283607681755832
10,251,0.4583,82,0.3508,245,0.1398744475003543
11,45,0.4569,3,0.3591,192,0.14420894935280965
12,197,0.4561,352,0.3979,41,0.14907368990437067
13,222,0.4561,418,0.4022,82,0.14948800343386684
14,247,0.4545,419,0.4022,45,0.15137898943784453
15,250,0.4545,420,0.4022,21,0.15623326225073775
16,255,0.4545,61,0.42,78,0.16355818153707766
17,256,0.4545,5,0.4244,179,0.17335519533375376
18,21,0.4519,449,0.4304,3,0.17565334467120183
19,130,0.4479,111,0.4424,197,0.1776158765330742
20,179,0.4479,131,0.4447,269,0.17856334980025648
21,41,0.4444,288,0.4514,107,0.18302211934156376
22,65,0.4444,25,0.4529,87,0.18574331275720163
23,85,0.4444,253,0.4565,39,0.1974878329377983
24,128,0.4444,31,0.467,25,0.19984145041354448
25,129,0.4444,303,0.4771,61,0.20078353104327132
26,132,0.4444,304,0.4771,89,0.20825138888888892
27,133,0.4444,305,0.4771,59,0.20917426215277776
28,134,0.4444,306,0.4771,199,0.2107941994035298
29,135,0.4444,17,0.4793,84,0.2158878483349263
30,136,0.4444,64,0.4822,202,0.2173285526072485
31,137,0.4444,378,0.4839,281,0.22441178410021417
32,199,0.4405,379,0.4839,173,0.22986858068597618
33,269,0.4405,380,0.4839,46,0.2310204475308642
34,123,0.4342,381,0.4839,131,0.23324604658208553
35,154,0.4342,257,0.4849,239,0.23434066161186687
36,155,0.4342,258,0.4849,248,0.2344407219952056
37,150,0.4306,259,0.4849,251,0.2344407219952056
38,151,0.4306,260,0.4849,282,0.23716338734567904
39,152,0.4306,18,0.4881,221,0.2372942386831276
40,153,0.4306,19,0.4881,43,0.24079451517551728
41,156,0.4306,62,0.4897,64,0.24135487528344665
42,195,0.4306,161,0.5072,254,0.24522030852528648
43,196,0.4306,7,0.5115,232,0.24823676215277776
44,198,0.4306,188,0.5169,29,0.25064661281179135
45,200,0.4306,189,0.5169,95,0.2515852864583333
46,201,0.4306,190,0.5169,5,0.2522750867258443
47,82,0.4265,433,0.5169,20,0.25640612707668103
48,239,0.4265,437,0.5169,161,0.2571013374485597
49,120,0.4194,438,0.5169,247,0.2598271443428887
50,122,0.4194,341,0.5177,250,0.2598271443428887
51,266,0.4194,186,0.5188,255,0.2598271443428887
52,268,0.4194,84,0.5203,256,0.2598271443428887
53,22,0.4107,275,0.5211,123,0.2619799924101872
54,23,0.4107,276,0.5211,128,0.26448638962752946
55,26,0.4107,277,0.5211,80,0.2690263956822398
56,27,0.4107,401,0.5211,318,0.27292655612224187
57,28,0.4107,402,0.5211,266,0.27382382861447435
58,51,0.4107,403,0.5211,268,0.2738238286144744
59,121,0.4107,287,0.5238,51,0.2743878228251113
60,124,0.4107,292,0.5238,122,0.27816404615105916
61,125,0.4107,327,0.5249,174,0.27896770624480416
62,126,0.4107,63,0.5276,130,0.27946572847050477
63,127,0.4107,263,0.5369,226,0.2798546717775652
64,267,0.4107,185,0.5402,195,0.2814560555514971
65,3,0.4074,243,0.5485,15,0.283210749979004
66,245,0.4038,244,0.5485,228,0.28740718447303804
67,318,0.4038,309,0.5485,75,0.2932098765432099
68,235,0.3958,91,0.5544,73,0.2956591673044098
69,61,0.3864,94,0.5544,288,0.2967588824202393
70,186,0.3864,254,0.5568,272,0.29792233560090703
71,15,0.381,434,0.5583,359,0.301669921875
72,47,0.381,72,0.5584,185,0.30234489795918373
73,48,0.381,86,0.5597,146,0.30263197987528345
74,49,0.381,93,0.5597,153,0.3055418804721502
75,50,0.381,29,0.561,44,0.30700356023067654
76,146,0.381,301,0.5619,136,0.30738004660082585
77,236,0.381,20,0.5629,172,0.3086822656059669
78,237,0.381,299,0.563,263,0.30911593967013884
79,238,0.381,300,0.563,100,0.3100839095968966
80,240,0.381,302,0.563,267,0.31028790478696006
81,241,0.381,96,0.5639,72,0.31989926072469804
82,89,0.375,97,0.5639,435,0.3207360946745563
83,95,0.375,98,0.5639,326,0.32298397760155995
84,162,0.375,486,0.5671,162,0.3258076533564815
85,254,0.375,487,0.5671,231,0.32760536459323725
86,39,0.3684,347,0.5719,120,0.3281423594843508
87,84,0.3684,348,0.5719,391,0.3307412229938272
88,226,0.3684,350,0.5719,249,0.3325475568796192
89,13,0.3611,351,0.5719,154,0.3326947535097969
90,43,0.3611,232,0.5726,155,0.3326947535097969
91,44,0.3611,261,0.5744,196,0.3355859932465
92,263,0.3611,262,0.5744,198,0.3355859932465
93,341,0.3611,87,0.5788,200,0.3355859932465
94,5,0.3529,21,0.5792,201,0.3355859932465
95,78,0.3529,375,0.5806,327,0.3449352107741244
96,212,0.3529,376,0.5806,31,0.34571428571428575
97,228,0.3529,377,0.5806,246,0.34741236303647693
98,288,0.3529,75,0.582,278,0.3616425736961451
99,161,0.3438,77,0.582,235,0.3620876736111111
100,221,0.3438,13,0.5867,129,0.3631561451571071
101,278,0.3438,239,0.5893,132,0.36315614515710715
102,281,0.3438,278,0.5913,133,0.36315614515710715
103,11,0.3333,100,0.5917,134,0.36315614515710715
104,12,0.3333,45,0.5938,135,0.36315614515710715
105,14,0.3333,294,0.5939,137,0.36315614515710715
106,16,0.3333,112,0.5949,150,0.3658542443629973
107,33,0.3333,115,0.5949,151,0.3658542443629973
108,34,0.3333,214,0.5986,152,0.3658542443629973
109,35,0.3333,51,0.5992,156,0.3658542443629973
110,36,0.3333,46,0.6005,139,0.36736111111111114
111,37,0.3333,33,0.6021,13,0.3680715339801831
112,38,0.3333,34,0.6021,292,0.3690704392408939
113,83,0.3333,35,0.6021,214,0.37250000000000005
114,92,0.3333,36,0.6021,22,0.37580537738905073
115,145,0.3333,37,0.6021,23,0.37580537738905073
116,147,0.3333,38,0.6021,26,0.3758053773890508
117,148,0.3333,293,0.6027,27,0.3758053773890508
118,149,0.3333,295,0.6027,28,0.3758053773890508
119,173,0.3333,116,0.6038,445,0.3797388747165532
120,208,0.3333,89,0.604,426,0.3837773232360127
121,209,0.3333,184,0.6084,67,0.38822499999999993
122,210,0.3333,215,0.6095,253,0.3900868055555556
123,211,0.3333,117,0.6198,180,0.39961179138322
