,nodes_name,new_name
0,1,1
1,2,2
2,3,3
3,4,4
4,10,5
5,15,6
6,18,7
7,19,8
8,20,9
9,29,10
10,42,11
11,46,12
12,47,13
13,52,14
14,92,15
15,103,16
16,12,17
17,22,18
18,23,19
19,24,20
20,25,21
21,26,22
22,27,23
23,28,24
24,32,25
25,35,26
26,37,27
27,43,28
28,51,29
29,55,30
30,67,31
31,74,32
32,84,33
33,94,34
34,98,35
35,99,36
36,105,37
37,106,38
38,112,39
39,11,40
40,44,41
41,86,42
42,5,43
43,6,44
44,90,45
45,7,46
46,33,47
47,40,48
48,8,49
49,53,50
50,56,51
51,16,52
52,38,53
53,39,54
54,71,55
55,76,56
56,88,57
57,107,58
58,9,59
59,13,60
60,41,61
61,60,62
62,61,63
63,62,64
64,63,65
65,64,66
66,70,67
67,89,68
68,14,69
69,17,70
70,69,71
71,72,72
72,49,73
73,77,74
74,80,75
75,36,76
76,45,77
77,66,78
78,68,79
79,73,80
80,78,81
81,81,82
82,83,83
83,85,84
84,87,85
85,104,86
86,30,87
87,54,88
88,21,89
89,95,90
90,109,91
91,48,92
92,50,93
93,31,94
94,57,95
95,97,96
96,34,97
97,93,98
98,59,99
99,75,100
100,101,101
101,108,102
102,58,103
103,91,104
104,82,105
105,100,106
106,79,107
107,102,108
108,65,109
109,110,110
110,111,111
111,96,112
