,TR,TR_i,EC,EC_i,CNC,CNC_i,BC,BC_i,DC,DC_i,PR,PR_i
1,7,137,7,0.4009759281963072,7,0.6166666666666667,7,0.24468528792139319,7,0.44144144144144143,7,0.0254250262979372
2,3,70,3,0.28327271308807134,3,0.5467980295566502,3,0.1286726954331421,3,0.2972972972972973,3,0.020681444335046442
3,14,49,14,0.24214273052290805,14,0.5260663507109005,41,0.09745558823854306,14,0.25225225225225223,41,0.016488011592784728
4,41,33,41,0.2199029084675191,41,0.511520737327189,14,0.09487912032531584,41,0.25225225225225223,14,0.016033404420167034
5,29,31,37,0.18840019160686636,24,0.4889867841409692,5,0.07084394438217559,37,0.1891891891891892,5,0.014808120011609836
6,37,30,29,0.16124709774394372,37,0.4889867841409692,75,0.053127477146583904,5,0.15315315315315314,75,0.013812746914417286
7,30,24,21,0.1497358265768873,5,0.4847161572052402,37,0.04976472127551891,21,0.13513513513513514,37,0.013578295086311521
8,22,20,22,0.14910383223672113,23,0.4826086956521739,24,0.043367259560991786,24,0.13513513513513514,2,0.012421526948296794
9,8,17,30,0.1446591372289283,21,0.47844827586206895,2,0.036504118057547295,29,0.13513513513513514,24,0.011100669678748003
10,21,17,25,0.14195754142933634,22,0.47639484978540775,10,0.033891942804989195,2,0.12612612612612611,10,0.011031785203605964
11,49,16,5,0.141728261493262,25,0.4723404255319149,21,0.029643593563897987,8,0.12612612612612611,29,0.010862568017927872
12,6,15,24,0.14032546946548816,29,0.4723404255319149,8,0.028769397398990745,22,0.12612612612612611,8,0.010801613273689614
13,18,15,2,0.13993375408673772,52,0.4703389830508475,28,0.02547657021277985,10,0.11711711711711711,22,0.01078378404974182
14,25,15,23,0.13927369933299494,2,0.46835443037974683,87,0.024666416340468664,30,0.11711711711711711,21,0.010758490483755802
15,52,15,18,0.13836800472724223,18,0.46835443037974683,29,0.023067367797593216,62,0.11711711711711711,74,0.010663048651786357
16,2,14,8,0.1229464715352421,30,0.46835443037974683,45,0.022319505123142003,75,0.11711711711711711,98,0.010376543461554812
17,5,14,55,0.12041213872412354,8,0.4605809128630705,74,0.021466300866663214,6,0.10810810810810811,53,0.010340741969035104
18,16,14,52,0.11926490458721284,62,0.4567901234567901,98,0.02125501961954725,25,0.10810810810810811,87,0.010189503958452743
19,24,14,6,0.11897198207341188,47,0.45121951219512196,23,0.02050977810101833,52,0.10810810810810811,6,0.010173675185049878
20,47,12,62,0.11893060248927285,6,0.4493927125506073,53,0.020392765238029773,55,0.10810810810810811,25,0.010173129539505575
21,55,12,60,0.11841565989917491,10,0.4475806451612903,66,0.01981692097300083,71,0.10810810810810811,62,0.010107343264952861
22,60,12,16,0.11711303559484629,27,0.4457831325301205,25,0.019585986104144196,74,0.10810810810810811,28,0.010102072396873038
23,10,11,49,0.11218745482468942,55,0.4457831325301205,22,0.01924465400836693,23,0.0990990990990991,71,0.010075799284112594
24,23,11,31,0.10771210171965472,60,0.4457831325301205,62,0.0190461274409625,49,0.0990990990990991,30,0.010041939033542087
25,57,11,10,0.10487235907469451,31,0.444,6,0.018315379857100914,16,0.09009009009009009,45,0.009927172142190311
26,62,11,57,0.10238503551910252,54,0.444,20,0.016821790519645573,18,0.09009009009009009,4,0.00987039801186949
27,71,10,47,0.10236644542773755,49,0.44223107569721115,30,0.016646916493238444,47,0.09009009009009009,17,0.009861811335916144
28,73,10,71,0.1002343177446856,26,0.44047619047619047,52,0.016198583578651594,53,0.09009009009009009,55,0.009769460329779897
