,nodes,TC_i,nodes,PI_i,nodes,CC_i
0,15,0.6471,15,0.2772,30,0.12769742883379245
1,5,0.6923,53,0.3182,8,0.145066551882461
2,9,0.6923,22,0.4513,12,0.15613611111111117
3,22,0.7273000000000001,39,0.4561,15,0.16494212962962962
4,53,0.7273000000000001,80,0.4761,29,0.2082638888888889
5,4,0.75,81,0.4761,31,0.2650945216049383
6,7,0.75,16,0.4774,22,0.3276643990929705
7,10,0.75,6,0.4925,16,0.33600661157024797
8,30,0.75,8,0.5077,69,0.3495138888888889
9,8,0.7778,30,0.5306,53,0.3701862211061345
10,12,0.7778,67,0.5416,61,0.37211805555555555
11,29,0.7778,69,0.5609,5,0.39356481481481476
12,16,0.8125,61,0.5781,39,0.39918402777777773
13,6,0.8571,57,0.5787,6,0.41994203397612495
14,69,0.8571,58,0.5787,9,0.42843364197530864
15,31,0.9167,59,0.5787,78,0.5300694444444444
16,57,0.9167,9,0.6011,67,0.6010802469135801
17,58,0.9167,29,0.6053,4,0.6605902777777777
18,59,0.9167,31,0.6154,7,0.6605902777777777
19,61,0.9167,78,0.6233,10,0.6605902777777777
20,80,0.9167,12,0.6341,80,0.6826656588561351
21,81,0.9167,4,0.6691,81,0.6826656588561351
22,39,1.0,7,0.6691,57,0.7546296296296297
23,67,1.0,10,0.6691,58,0.7546296296296297
24,78,1.0,5,0.6792,59,0.7546296296296297
