,NDR,TR,BC,CNC,DC,EC,PR,TC,PI,CC,TPN
NDR,1.0,-1.0,1.0,0.33333333333333337,1.0,-0.33333333333333337,1.0,1.0,-1.0,1.0,-1.0
TR,-1.0,1.0,-1.0,-0.33333333333333337,-1.0,0.33333333333333337,-1.0,-1.0,1.0,-1.0,1.0
BC,1.0,-1.0,1.0,0.33333333333333337,1.0,-0.33333333333333337,1.0,1.0,-1.0,1.0,-1.0
CNC,0.33333333333333337,-0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,-0.33333333333333337,0.33333333333333337,-0.33333333333333337
DC,1.0,-1.0,1.0,0.33333333333333337,1.0,-0.33333333333333337,1.0,1.0,-1.0,1.0,-1.0
EC,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,1.0,-0.33333333333333337,-0.33333333333333337,0.33333333333333337,-0.33333333333333337,0.33333333333333337
PR,1.0,-1.0,1.0,0.33333333333333337,1.0,-0.33333333333333337,1.0,1.0,-1.0,1.0,-1.0
TC,1.0,-1.0,1.0,0.33333333333333337,1.0,-0.33333333333333337,1.0,1.0,-1.0,1.0,-1.0
PI,-1.0,1.0,-1.0,-0.33333333333333337,-1.0,0.33333333333333337,-1.0,-1.0,1.0,-1.0,1.0
CC,1.0,-1.0,1.0,0.33333333333333337,1.0,-0.33333333333333337,1.0,1.0,-1.0,1.0,-1.0
TPN,-1.0,1.0,-1.0,-0.33333333333333337,-1.0,0.33333333333333337,-1.0,-1.0,1.0,-1.0,1.0
