,NDR,TR,BC,CNC,DC,EC,PR,TC,PI,CC,TPN
NDR,1.0,-0.9953330998831745,0.9964687564557905,0.5755368717039804,1.0,-0.41720330038527065,0.8743194802733903,0.7580146444128858,-0.9999965910126088,0.9994999687167831,-0.9859875927675794
TR,-0.9953330998831745,1.0,-0.9837158733995558,-0.49393650432976394,-0.9953330998831745,0.5029556449110243,-0.8234033393856711,-0.6915369202368116,0.99558167706376,-0.9917841279375316,0.9974838897426227
BC,0.9964687564557905,-0.9837158733995558,1.0,0.6421685529011177,0.9964687564557905,-0.3394221166510653,0.9119842292168544,0.8101026312859719,-0.9962461181804914,0.9986254289035239,-0.9684990043912404
CNC,0.5755368717039804,-0.49393650432976394,0.6421685529011177,1.0,0.5755368717039804,0.50308957537695,0.9001112921004728,0.9696494671517137,-0.5733995964506364,0.6011070036023656,-0.4310519425363368
DC,1.0,-0.9953330998831745,0.9964687564557905,0.5755368717039804,1.0,-0.41720330038527065,0.8743194802733903,0.7580146444128858,-0.9999965910126088,0.9994999687167831,-0.9859875927675794
EC,-0.41720330038527065,0.5029556449110243,-0.3394221166510653,0.50308957537695,-0.41720330038527065,1.0,0.07632427820889633,0.27651585826534797,0.41957490112803764,-0.3882581832665593,0.5629642799531143
PR,0.8743194802733903,-0.8234033393856711,0.9119842292168544,0.9001112921004728,0.8743194802733903,0.07632427820889633,1.0,0.9793110099698189,-0.8730491889798353,0.8892289959602828,-0.7811025791361282
TC,0.7580146444128858,-0.6915369202368116,0.8101026312859719,0.9696494671517137,0.7580146444128858,0.27651585826534797,0.9793110099698189,1.0,-0.7563089879478028,0.7782592417857902,-0.6385876402499852
PI,-0.9999965910126088,0.99558167706376,-0.9962461181804914,-0.5733995964506364,-0.9999965910126088,0.41957490112803764,-0.8730491889798353,-0.7563089879478028,1.0,-0.9994139982155905,0.9864198155955549
CC,0.9994999687167831,-0.9917841279375316,0.9986254289035239,0.6011070036023656,0.9994999687167831,-0.3882581832665593,0.8892289959602828,0.7782592417857902,-0.9994139982155905,1.0,-0.9802197932449733
TPN,-0.9859875927675794,0.9974838897426227,-0.9684990043912404,-0.4310519425363368,-0.9859875927675794,0.5629642799531143,-0.7811025791361282,-0.6385876402499852,0.9864198155955549,-0.9802197932449733,1.0
