,nodes_tr,TR,nodes_ec,EC,nodes_cnc,CnC,nodes_bc,BC,nodes_dc,DC
0,4363,21,4361,0.2865344997425943,1268,0.08182330142114155,4148,0.28841562147939614,2682,0.003846153846153846
1,4327,20,4327,0.27451470848011433,2554,0.0809437981320662,2504,0.28169812331624505,4447,0.0036437246963562753
2,4333,19,4319,0.24822112815712566,2570,0.08035786905246035,1200,0.2796951897344531,818,0.0028340080971659917
3,4361,18,4317,0.24290464678318444,1202,0.07987194619153098,4205,0.27764988777849725,3413,0.0028340080971659917
4,4353,15,4333,0.23627243283037458,2571,0.0796260477111541,2490,0.26730447500467747,4327,0.0028340080971659917
5,4372,15,4362,0.22130755705306215,1199,0.07932684587468285,1222,0.24827101665302162,2364,0.002631578947368421
6,4316,14,4383,0.2147571103970849,1443,0.07918570169111165,1267,0.2365166910499439,2502,0.002631578947368421
7,4318,14,4329,0.21411168520513027,2519,0.07911468426194328,1202,0.20523301004236522,2531,0.002631578947368421
8,4329,14,4372,0.19782989883696156,2489,0.07877280265339967,413,0.20495396256691528,2543,0.002631578947368421
9,4340,13,4352,0.1947891980144054,2520,0.07803121248499399,2570,0.20311626353593562,3875,0.002631578947368421
10,4371,13,4340,0.18065940192182384,2577,0.07802751496580373,2553,0.19230583355335729,1178,0.00242914979757085
11,4381,13,4378,0.1803043116593664,2503,0.07802628253727571,2569,0.1862957329429391,2417,0.00242914979757085
12,4383,13,4381,0.17698912166903252,4204,0.07729377894605081,45,0.18412340121277274,2418,0.00242914979757085
13,4396,13,4396,0.1723877793332045,1093,0.07720680170042511,89,0.1774156421178842,2582,0.00242914979757085
14,298,12,4391,0.16525008645918923,2583,0.07718388200553099,1124,0.1711203394550913,2624,0.00242914979757085
15,4333,12,4315,0.1549072119454909,4147,0.07683812664292047,4098,0.15707883204186773,985,0.002226720647773279
16,2543,11,4371,0.14788656065923894,1222,0.07680706500614146,2210,0.15365409555455403,1268,0.002226720647773279
17,2624,11,4333,0.14375527851707465,1342,0.07676171237666071,47,0.14786129147940552,1293,0.002226720647773279
18,2681,11,4328,0.13732144304754507,414,0.0758192003683524,2199,0.13277801717515134,2247,0.002226720647773279
19,4337,11,4351,0.13059913888887548,413,0.07577965607694549,382,0.13164241799743606,2413,0.002226720647773279
20,4353,11,4323,0.12817131145492777,1266,0.07572041692213366,1443,0.1310109821542514,4316,0.002226720647773279
21,4378,11,4353,0.12048782966754451,2867,0.07557445766912461,1093,0.1304940621877346,4332,0.002226720647773279
22,4391,11,4368,0.11439991519650229,2451,0.07547746371275783,414,0.13040384929336846,4352,0.002226720647773279
23,2809,10,4344,0.11435143586313366,4098,0.07544057909043707,1201,0.12390473132713056,4360,0.002226720647773279
24,2838,10,4355,0.11067875985500042,2908,0.07505659632009967,2519,0.11575596560229205,4362,0.002226720647773279
25,4315,10,4363,0.10423045075224506,2571,0.07479635405626382,4191,0.11564829740073079,4372,0.002226720647773279
26,2494,9,4347,0.09909914538218502,382,0.07477031588188106,2282,0.11384652493904854,711,0.0020242914979757085
27,2774,9,4327,0.09065917248452487,2521,0.07458517657361134,4190,0.10875962587388299,1013,0.0020242914979757085
28,4351,9,4319,0.08420032933891206,373,0.07455140878016389,4182,0.10811291908931799,1035,0.0020242914979757085
29,4355,9,4320,0.08190570619528395,436,0.07452778951179771,1123,0.1067770660876473,1066,0.0020242914979757085
30,2502,8,4354,0.07569257893145409,1290,0.07446151063412869,4826,0.1064961855581352,1080,0.0020242914979757085
31,2749,8,4361,0.07234297100529971,2916,0.07442673335944798,385,0.10343301355652045,1123,0.0020242914979757085
32,2754,8,4345,0.07139136106782945,1200,0.0744121590070345,4823,0.09904553808424105,1126,0.0020242914979757085
