,nodes_tr,nodes_bc,nodes_cnc,nodes_dc,nodes_ec,nodes_TC,nodes_PI,nodes_CC,nodes_TPN
nodes_tr,1,0.8462,0.5236,0.7691,1,1,0.7842,-0.938,1
nodes_bc,0.8462,1,-0.0109,0.9914,0.8462,0.8462,0.9942,-0.6092,0.8462
nodes_cnc,0.5236,-0.0109,1,-0.1418,0.5236,0.5236,-0.118,-0.7864,0.5236
nodes_dc,0.7691,0.9914,-0.1418,1,0.7691,0.7691,0.9997,-0.5,0.7691
nodes_ec,1,0.8462,0.5236,0.7691,1,1,0.7842,-0.938,1
nodes_TC,1,0.8462,0.5236,0.7691,1,1,0.7842,-0.938,1
nodes_PI,0.7842,0.9942,-0.118,0.9997,0.7842,0.7842,1,-0.5206,0.7842
nodes_CC,-0.938,-0.6092,-0.7864,-0.5,-0.938,-0.938,-0.5206,1,-0.938
nodes_TPN,1,0.8462,0.5236,0.7691,1,1,0.7842,-0.938,1
,,,,,,,,,
,,,,,,,,,
