,nodes_tr,nodes_bc,nodes_cnc,nodes_dc,nodes_ec,nodes_pr,nodes_TC,nodes_PI,nodes_CC,nodes_TPN
nodes_tr,1.0,0.8178,-0.9861,-0.14,0.9439,-0.9923,-0.7419,0.6324,0.4097,-0.9866
nodes_bc,0.8178,1.0,-0.902,0.4554,0.9619,-0.7403,-0.2208,0.0713,0.8601,-0.9008
nodes_cnc,-0.9861,-0.902,1.0,-0.0265,-0.9856,0.958,0.6203,-0.4949,-0.5555,1.0
nodes_dc,-0.14,0.4554,-0.0265,1.0,0.1948,0.2614,0.7677,-0.8555,0.8459,-0.0237
nodes_ec,0.9439,0.9619,-0.9856,0.1948,1.0,-0.8958,-0.4789,0.3411,0.6879,-0.9852
nodes_pr,-0.9923,-0.7403,0.958,0.2614,-0.8958,1.0,0.8192,-0.7234,-0.2937,0.9588
nodes_TC,-0.7419,-0.2208,0.6203,0.7677,-0.4789,0.8192,1.0,-0.9886,0.3076,0.6224
nodes_PI,0.6324,0.0713,-0.4949,-0.8555,0.3411,-0.7234,-0.9886,1.0,-0.4475,-0.4974
nodes_CC,0.4097,0.8601,-0.5555,0.8459,0.6879,-0.2937,0.3076,-0.4475,1.0,-0.5532
nodes_TPN,-0.9866,-0.9008,1.0,-0.0237,-0.9852,0.9588,0.6224,-0.4974,-0.5532,1.0
