,TR,TR_i,EC,EC_i,CNC,CNC_i,BC,BC_i,DC,DC_i,PR,PR_i
1,10,17,10,0.31578107648046755,34,0.4178082191780822,34,0.24823719602893804,10,0.19672131147540983,49,0.025953515752699354
2,44,17,36,0.30056092847049554,39,0.40397350993377484,14,0.213324435532811,36,0.18032786885245902,13,0.02483665839259177
3,30,15,44,0.2850031047324043,36,0.39869281045751637,39,0.14314951834261747,44,0.18032786885245902,57,0.022808232029401774
4,9,14,30,0.28109701716058694,18,0.391025641025641,36,0.13856978865859435,30,0.1639344262295082,30,0.021331483192373782
5,36,13,48,0.21769051331081501,10,0.3765432098765432,17,0.11823861926938342,49,0.1639344262295082,26,0.021217324325941155
6,57,13,26,0.21176109464474216,14,0.3719512195121951,13,0.11430016291546968,13,0.14754098360655737,10,0.0210620451817617
7,3,11,49,0.210680208920898,17,0.3652694610778443,18,0.10264573972090967,18,0.14754098360655737,37,0.020404438347741742
8,15,11,12,0.20799316926734232,25,0.3652694610778443,54,0.09912164676351938,26,0.14754098360655737,44,0.020062821007569072
9,49,11,39,0.2078726313020371,30,0.3652694610778443,49,0.08467725475022554,57,0.14754098360655737,36,0.020030241536521175
10,12,9,19,0.20734961722376982,1,0.3630952380952381,57,0.08420468343495603,9,0.13114754098360656,14,0.018986878366866827
11,26,9,15,0.20249300124247616,48,0.3505747126436782,38,0.070516778539934,14,0.13114754098360656,9,0.018985105817946085
12,5,8,37,0.19661653892836548,7,0.3465909090909091,25,0.06675695466395656,37,0.13114754098360656,42,0.018652455470793604
13,13,8,21,0.19321180983300903,44,0.3465909090909091,26,0.06552928249649563,39,0.13114754098360656,18,0.018612936158278186
14,19,8,42,0.19033796034550668,52,0.34269662921348315,42,0.06283060442896508,3,0.11475409836065574,3,0.01817779939204686
15,21,8,18,0.18447787335323973,60,0.34269662921348315,10,0.061972004848854116,11,0.11475409836065574,34,0.01801183647835246
16,37,8,11,0.16417491138339663,11,0.3388888888888889,30,0.057166440117259784,15,0.11475409836065574,11,0.0175920329311892
17,54,8,1,0.14310221675120957,46,0.3388888888888889,9,0.0528463284386915,34,0.11475409836065574,39,0.017308657082936607
18,39,7,32,0.1388272511035687,15,0.3370165745856354,37,0.04535223883584539,42,0.11475409836065574,54,0.01727136861387677
19,40,6,34,0.1327655063001752,42,0.3370165745856354,35,0.04218278563875618,48,0.11475409836065574,5,0.01710636205364907
20,46,6,52,0.1295635910153738,38,0.33516483516483514,44,0.040670440596470174,54,0.11475409836065574,24,0.016676596755628163
21,7,5,7,0.12850351911087213,19,0.3333333333333333,48,0.03341103492742837,1,0.09836065573770492,29,0.01666830401164156
22,11,5,60,0.11181865699755932,35,0.3333333333333333,11,0.03329222098223321,5,0.09836065573770492,41,0.016648744521693945
23,18,5,35,0.08736202260403907,12,0.32972972972972975,27,0.03305046077177225,7,0.09836065573770492,46,0.01633603089531911
24,41,5,41,0.08095068341031325,37,0.32972972972972975,29,0.03278688524590164,12,0.09836065573770492,32,0.016275952551289614
25,42,5,46,0.08037195763313357,41,0.32972972972972975,32,0.032694759702956426,19,0.09836065573770492,15,0.01622302660020905
26,48,5,2,0.07933447607445519,49,0.32972972972972975,5,0.029372536747686685,21,0.09836065573770492,1,0.01620400378173997
27,1,4,43,0.07780212964010047,54,0.324468085106383,24,0.029236860493157976,41,0.09836065573770492,48,0.01598930798375608
28,6,4,6,0.07525346435103511,26,0.32275132275132273,41,0.029157951944837193,46,0.09836065573770492,27,0.0158936759909204
29,14,4,25,0.06822697202643724,27,0.32275132275132273,40,0.023251600670186168,6,0.0819672131147541,7,0.015805940979487936
30,24,4,55,0.05210934393071285,16,0.3160621761658031,46,0.0232014761195089,17,0.0819672131147541,17,0.01573175712764426
31,4,3,62,0.051991172011567534,24,0.3160621761658031,1,0.022365737598409232,24,0.0819672131147541,8,0.015676809972761753
32,16,3,17,0.042908020056302676,32,0.3160621761658031,3,0.02089438036159347,25,0.0819672131147541,6,0.015612879959340605
33,25,3,14,0.04209144143572482,6,0.3128205128205128,60,0.020332774690384588,27,0.0819672131147541,4,0.015538200692056062
34,27,3,27,0.04075065098782637,21,0.3128205128205128,52,0.0192343448900826,32,0.0819672131147541,60,0.015529547811713795
35,32,3,8,0.03975713309801051,43,0.3112244897959184,7,0.01908259621374376,40,0.0819672131147541,21,0.015299288380267572
36,60,3,31,0.03907586116163527,13,0.3096446700507614,6,0.016092020911693046,60,0.0819672131147541,19,0.015204968265525068
37,17,2,53,0.03368665459890722,2,0.30808080808080807,15,0.0148548997169549,4,0.06557377049180328,25,0.015203316993487424
38,22,2,45,0.029716244849600233,57,0.30198019801980197,62,0.014194982613015397,8,0.06557377049180328,12,0.015073955920657137
39,23,2,33,0.029437314009677574,62,0.30198019801980197,16,0.013314394166853183,16,0.06557377049180328,62,0.015051647038197221
40,52,2,50,0.029287057142628192,40,0.2975609756097561,19,0.012700653930162124,43,0.06557377049180328,40,0.014993720707506108
41,2,1,51,0.029287057142628192,8,0.2824074074074074,43,0.012037805849281259,52,0.06557377049180328,43,0.014828253120856824
42,8,1,59,0.027332062086978554,23,0.2772727272727273,8,0.00907281243346817,2,0.04918032786885246,16,0.014640008445088086
43,29,1,47,0.02342956700211971,9,0.27111111111111114,21,0.0073830434896008665,22,0.04918032786885246,22,0.014564852966102887
44,34,1,54,0.023022376520473405,55,0.27111111111111114,4,0.004380300179480508,23,0.04918032786885246,23,0.01445933074905535
45,35,1,38,0.020875970745552554,31,0.2687224669603524,23,0.00436247723132969,29,0.04918032786885246,47,0.014404482868104791
46,43,1,16,0.020682545955984937,5,0.2675438596491228,12,0.0033047098620869104,35,0.04918032786885246,45,0.01425039753746446
47,20,0,13,0.017534968338682348,53,0.25957446808510637,45,0.003008466942893172,62,0.04918032786885246,52,0.013938376193677956
48,28,0,57,0.017401973681970623,45,0.25630252100840334,2,0.0023737965131407756,38,0.03278688524590164,53,0.013594858696640014
49,31,0,24,0.016326687320731035,22,0.25523012552301255,22,0.0016441148408361526,45,0.03278688524590164,2,0.01355881209882107
50,33,0,40,0.015262103099078312,3,0.25206611570247933,53,0.0011930783242258653,47,0.03278688524590164,35,0.013388192247800553
51,38,0,9,0.01503041548748069,50,0.24897959183673468,47,0.0009289617486338798,53,0.03278688524590164,56,0.01331101649149076
52,45,0,3,0.012220169764468434,51,0.24897959183673468,55,0.0008774695250105086,55,0.03278688524590164,61,0.012957296269714086
53,47,0,5,0.012211980286547349,59,0.24897959183673468,56,0.0001366120218579235,56,0.03278688524590164,55,0.012823034726148432
54,50,0,23,0.00894919228768804,47,0.24696356275303644,20,0.0,20,0.01639344262295082,38,0.012822593960673135
55,51,0,4,0.006572752164517535,33,0.24497991967871485,28,0.0,28,0.01639344262295082,20,0.012118281189138255
56,53,0,22,0.005952326426510386,4,0.23828125,31,0.0,31,0.01639344262295082,28,0.012118281189138255
57,55,0,29,0.0038643437589662884,20,0.23735408560311283,33,0.0,33,0.01639344262295082,50,0.012069036699554508
58,56,0,56,0.002612314190108687,28,0.23735408560311283,50,0.0,50,0.01639344262295082,51,0.012069036699554508
59,58,0,20,0.002438237539825344,58,0.23282442748091603,51,0.0,51,0.01639344262295082,59,0.012055500518613848
60,59,0,28,0.002438237539825344,29,0.21631205673758866,58,0.0,58,0.01639344262295082,58,0.01205061443599207
61,61,0,58,0.0024198473930088908,56,0.21328671328671328,59,0.0,59,0.01639344262295082,33,0.011997585649584036
62,62,0,61,0.0005374384753918985,61,0.1783625730994152,61,0.0,61,0.01639344262295082,31,0.011930288173406006
