,NDR,TR,BC,CNC,DC,EC,PR,TC,PI,CC,TPN
NDR,1.0,-1.0,0.33333333333333337,-1.0,-0.33333333333333337,-0.33333333333333337,0.33333333333333337,1.0,1.0,0.33333333333333337,1.0
TR,-1.0,1.0,-0.33333333333333337,1.0,0.33333333333333337,0.33333333333333337,-0.33333333333333337,-1.0,-1.0,-0.33333333333333337,-1.0
BC,0.33333333333333337,-0.33333333333333337,1.0,-0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,0.33333333333333337,-0.33333333333333337,0.33333333333333337
CNC,-1.0,1.0,-0.33333333333333337,1.0,0.33333333333333337,0.33333333333333337,-0.33333333333333337,-1.0,-1.0,-0.33333333333333337,-1.0
DC,-0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,1.0,0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-1.0,-0.33333333333333337
EC,-0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,1.0,0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-1.0,-0.33333333333333337
PR,0.33333333333333337,-0.33333333333333337,1.0,-0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,0.33333333333333337,-0.33333333333333337,0.33333333333333337
TC,1.0,-1.0,0.33333333333333337,-1.0,-0.33333333333333337,-0.33333333333333337,0.33333333333333337,1.0,1.0,0.33333333333333337,1.0
PI,1.0,-1.0,0.33333333333333337,-1.0,-0.33333333333333337,-0.33333333333333337,0.33333333333333337,1.0,1.0,0.33333333333333337,1.0
CC,0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-1.0,-1.0,-0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337
TPN,1.0,-1.0,0.33333333333333337,-1.0,-0.33333333333333337,-0.33333333333333337,0.33333333333333337,1.0,1.0,0.33333333333333337,1.0
