,NDR,TR,BC,CNC,DC,EC,PR,TC,PI,CC,TPN
NDR,1.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,1.0,0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-1.0,-0.33333333333333337
TR,0.33333333333333337,1.0,-0.33333333333333337,1.0,0.33333333333333337,0.33333333333333337,-0.33333333333333337,-1.0,-1.0,-0.33333333333333337,-1.0
BC,0.33333333333333337,-0.33333333333333337,1.0,-0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,0.33333333333333337,-0.33333333333333337,0.33333333333333337
CNC,0.33333333333333337,1.0,-0.33333333333333337,1.0,0.33333333333333337,0.33333333333333337,-0.33333333333333337,-1.0,-1.0,-0.33333333333333337,-1.0
DC,1.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,1.0,0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-1.0,-0.33333333333333337
EC,1.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,1.0,0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-1.0,-0.33333333333333337
PR,0.33333333333333337,-0.33333333333333337,1.0,-0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,0.33333333333333337,-0.33333333333333337,0.33333333333333337
TC,-0.33333333333333337,-1.0,0.33333333333333337,-1.0,-0.33333333333333337,-0.33333333333333337,0.33333333333333337,1.0,1.0,0.33333333333333337,1.0
PI,-0.33333333333333337,-1.0,0.33333333333333337,-1.0,-0.33333333333333337,-0.33333333333333337,0.33333333333333337,1.0,1.0,0.33333333333333337,1.0
CC,-1.0,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-1.0,-1.0,-0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337
TPN,-0.33333333333333337,-1.0,0.33333333333333337,-1.0,-0.33333333333333337,-0.33333333333333337,0.33333333333333337,1.0,1.0,0.33333333333333337,1.0
