,TC,TC_i,PI,PI_i,CC,CC_i
0,46,0.4107,46,0.050755753164621206,38,0.15844105150540966
1,15,0.4074,15,0.05184705119896305,21,0.15924592676576804
2,34,0.3958,34,0.058022141249100656,15,0.16687879653315257
3,38,0.3913,14,0.06007088364269839,52,0.1806866646260586
4,14,0.3864,58,0.06449449217036865,2,0.18251819767258753
5,58,0.375,38,0.06521413059781794,30,0.18297971816009334
6,52,0.3611,10,0.07418617763138373,18,0.18459428627418045
7,10,0.3611,52,0.07547340694506291,41,0.18672303464257603
8,19,0.3529,19,0.07619279825670879,44,0.18816741159273623
9,18,0.3333,30,0.09080260421868899,51,0.19599437999870895
10,55,0.3333,17,0.09319925067802455,46,0.19648973692693059
11,17,0.3333,18,0.09581756335936377,34,0.1974264143053916
12,39,0.3333,55,0.09748108866879826,39,0.2060165304547745
13,41,0.3214,7,0.09911392154141971,16,0.2081460569976008
14,30,0.3214,39,0.10034518744481015,58,0.24300485008818343
15,22,0.3214,22,0.10036230793163319,35,0.24789550045913686
16,7,0.3077,25,0.10078511605406114,9,0.24998786971850942
17,25,0.3077,41,0.11423218834603216,1,0.26522573381204334
18,48,0.2917,42,0.12475361161705631,55,0.2695941987906273
19,21,0.2917,48,0.1264558226583543,8,0.277130612244898
20,1,0.2727,16,0.14601737606775206,22,0.27719171374294027
21,16,0.2727,43,0.1464900972694246,19,0.2835109393294745
22,42,0.2727,21,0.1471518754506526,29,0.2836987654320988
23,51,0.2727,51,0.1497970250310829,25,0.28994342691673136
24,43,0.25,1,0.15095706780991486,60,0.29178051385843595
25,2,0.25,44,0.15368301341652707,17,0.2935156232828641
26,9,0.25,2,0.16816049237392167,43,0.29528549382716046
27,44,0.2222,9,0.17242271151956137,7,0.3009543580806808
28,11,0.1875,28,0.17360508315683482,31,0.3037
29,28,0.1875,11,0.18145527127563055,53,0.30685763888888884
30,31,0.1875,31,0.21466137168616506,48,0.30907750342935525
31,20,0.1429,20,0.2164689583513724,14,0.31372317098135555
32,29,0.1429,6,0.21689621516104543,10,0.33174886621315186
33,60,0.1429,29,0.21944743136781586,11,0.3369444444444445
34,6,0.0833,60,0.22034197073858627,42,0.34511810279667426
35,35,0.0833,35,0.2342688469287354,6,0.3567417997291509
36,27,0.0,27,0.28503021320259947,28,0.37705246913580254
37,8,0.0,26,0.2869852202611565,20,0.39406329719387756
38,53,0.0,8,0.2939533789940915,26,0.551824417009602
39,26,0.0,53,0.31686682087518614,27,0.5563040123456789
