,nodes_name,new_name
0,9,1
1,4,2
2,10,3
3,6,4
4,7,5
5,11,6
6,1,7
7,3,8
8,14,9
9,15,10
10,16,11
11,17,12
12,18,13
13,2,14
14,19,15
15,20,16
16,8,17
17,21,18
18,22,19
19,23,20
20,25,21
21,26,22
22,27,23
23,28,24
24,29,25
25,30,26
26,31,27
27,32,28
28,33,29
29,34,30
30,13,31
31,35,32
32,36,33
33,37,34
34,24,35
35,38,36
36,39,37
37,40,38
38,41,39
39,42,40
40,43,41
41,44,42
42,45,43
43,46,44
44,47,45
45,48,46
46,50,47
47,51,48
48,52,49
49,5,50
50,12,51
51,53,52
52,54,53
53,55,54
54,56,55
55,57,56
56,58,57
57,49,58
58,59,59
59,60,60
60,61,61
61,62,62
