,nodes,Density
1,1,0.008469943
2,2,0.008480878
3,3,0.008457446
4,4,0.00848244
5,5,0.008501186
6,6,0.008484002
7,7,0.008476191
8,8,0.00850431
9,9,0.008490251
10,10,0.008466819
11,11,0.008485564
12,12,0.008488689
13,13,0.008477754
14,14,0.00846057
15,15,0.008487126
16,16,0.008437138
17,17,0.008505872
18,18,0.008488689
19,19,0.008473067
20,20,0.008490251
21,21,0.008449635
22,22,0.008493375
23,23,0.008437138
24,24,0.008451197
25,25,0.008485564
26,26,0.008512121
27,27,0.008484002
28,28,0.008498061
29,29,0.008502748
30,30,0.008476191
31,31,0.00848244
32,32,0.008512121
33,33,0.00850431
34,34,0.008487126
35,35,0.008515245
36,36,0.008515245
37,37,0.008515245
38,38,0.008477754
39,39,0.008473067
40,40,0.008474629
41,41,0.008440262
42,42,0.008437138
43,43,0.008501186
44,44,0.008488689
45,45,0.008468381
46,46,0.00846057
47,47,0.008505872
48,48,0.008505872
49,49,0.008454321
50,50,0.008476191
51,51,0.00848244
52,52,0.008457446
53,53,0.008513683
54,54,0.008466819
55,55,0.008493375
56,56,0.008462132
57,57,0.008473067
58,58,0.008465256
59,59,0.008487126
60,60,0.008512121
61,61,0.008501186
62,62,0.008476191
63,63,0.008501186
64,64,0.008490251
65,65,0.008488689
66,66,0.008494937
67,67,0.008494937
68,68,0.008491813
69,69,0.008469943
70,70,0.008480878
71,71,0.008496499
72,72,0.008459008
73,73,0.008484002
74,74,0.008484002
75,75,0.008498061
76,76,0.008449635
77,77,0.00850431
78,78,0.008498061
79,79,0.008498061
80,80,0.008476191
81,81,0.008479316
82,82,0.008480878
83,83,0.008507434
84,84,0.008493375
85,85,0.00848244
86,86,0.008499624
87,87,0.008507434
88,88,0.008498061
89,89,0.00850431
90,90,0.00848244
91,91,0.008498061
92,92,0.008496499
93,93,0.008487126
94,94,0.008479316
95,95,0.008508996
96,96,0.008505872
97,97,0.008513683
98,98,0.008508996
99,99,0.008508996
100,100,0.008512121
101,101,0.008496499
102,102,0.008512121
103,103,0.008507434
104,104,0.008491813
105,105,0.008405895
106,106,0.008468381
107,107,0.008491813
108,108,0.008505872
109,109,0.008513683
110,110,0.008501186
111,111,0.008515245
112,112,0.008487126
113,113,0.008496499
114,114,0.008507434
115,115,0.008496499
116,116,0.008457446
117,117,0.008491813
118,118,0.008502748
119,119,0.008502748
120,120,0.008466819
121,121,0.008498061
122,122,0.008494937
123,123,0.008512121
124,124,0.008490251
125,125,0.008499624
126,126,0.008512121
127,127,0.008493375
128,128,0.00846057
129,129,0.008505872
130,130,0.008499624
131,131,0.008484002
132,132,0.008498061
133,133,0.008494937
134,134,0.008455884
135,135,0.008454321
136,136,0.008494937
137,137,0.008466819
138,138,0.008510559
139,139,0.008512121
140,140,0.008463694
141,141,0.00850431
142,142,0.008484002
143,143,0.008471505
144,144,0.00850431
145,145,0.008488689
146,146,0.008476191
147,147,0.008484002
148,148,0.008498061
149,149,0.008496499
150,150,0.008485564
151,151,0.008513683
152,152,0.008474629
153,153,0.008494937
154,154,0.008512121
155,155,0.008488689
156,156,0.008507434
157,157,0.008496499
158,158,0.008498061
159,159,0.008512121
160,160,0.008510559
161,161,0.008502748
162,162,0.008498061
163,163,0.008501186
164,164,0.008505872
165,165,0.008496499
166,166,0.008502748
167,167,0.00850431
168,168,0.008493375
169,169,0.008507434
170,170,0.008508996
171,171,0.008512121
172,172,0.008507434
173,173,0.008513683
174,174,0.008508996
175,175,0.008515245
176,176,0.008487126
177,177,0.008512121
178,178,0.008507434
179,179,0.008507434
180,180,0.008513683
181,181,0.008501186
182,182,0.008471505
183,183,0.008462132
184,184,0.008501186
185,185,0.008469943
186,186,0.008494937
187,187,0.008502748
188,188,0.008496499
189,189,0.008491813
190,190,0.00850431
191,191,0.008496499
192,192,0.008498061
193,193,0.008484002
194,194,0.008480878
195,195,0.008505872
196,196,0.008443386
197,197,0.008494937
198,198,0.008471505
199,199,0.008491813
200,200,0.008479316
201,201,0.008473067
202,202,0.008493375
203,203,0.008493375
204,204,0.008455884
205,205,0.008468381
206,206,0.008473067
207,207,0.008491813
208,208,0.008498061
209,209,0.008507434
210,210,0.008477754
211,211,0.008494937
212,212,0.008474629
213,213,0.008480878
214,214,0.00848244
215,215,0.008476191
216,216,0.008485564
217,217,0.008496499
218,218,0.008480878
219,219,0.008469943
220,220,0.008507434
221,221,0.008498061
222,222,0.008494937
223,223,0.008507434
224,224,0.00850431
225,225,0.008512121
226,226,0.008513683
227,227,0.008491813
228,228,0.008498061
229,229,0.008512121
230,230,0.008494937
231,231,0.008498061
232,232,0.008513683
233,233,0.008446511
234,234,0.008505872
235,235,0.008494937
236,236,0.008513683
237,237,0.008469943
238,238,0.008490251
239,239,0.008484002
240,240,0.008490251
241,241,0.008471505
242,242,0.008510559
243,243,0.008474629
244,244,0.00850431
245,245,0.008499624
246,246,0.008498061
247,247,0.008513683
248,248,0.008493375
249,249,0.008513683
250,250,0.008499624
251,251,0.008494937
252,252,0.00850431
253,253,0.008515245
254,254,0.008493375
255,255,0.008488689
256,256,0.008494937
257,257,0.008498061
258,258,0.008508996
259,259,0.008488689
260,260,0.008501186
261,261,0.008515245
262,262,0.008510559
263,263,0.008496499
264,264,0.008507434
265,265,0.00850431
266,266,0.008510559
267,267,0.008487126
268,268,0.008479316
269,269,0.008477754
270,270,0.008491813
271,271,0.00848244
272,272,0.008512121
273,273,0.008508996
274,274,0.008476191
275,275,0.008499624
276,276,0.008494937
277,277,0.008505872
278,278,0.008499624
279,279,0.008501186
280,280,0.008501186
281,281,0.008513683
282,282,0.008484002
283,283,0.008512121
284,284,0.008488689
285,285,0.00850431
286,286,0.008507434
287,287,0.00848244
288,288,0.008512121
289,289,0.008485564
290,290,0.008499624
291,291,0.008496499
292,292,0.008513683
293,293,0.008496499
294,294,0.008515245
295,295,0.008510559
296,296,0.008507434
297,297,0.008499624
298,298,0.008505872
299,299,0.008465256
300,300,0.008499624
301,301,0.008507434
302,302,0.008512121
303,303,0.008476191
304,304,0.008512121
305,305,0.008493375
306,306,0.008496499
307,307,0.008502748
308,308,0.008485564
309,309,0.008512121
310,310,0.008508996
311,311,0.00850431
312,312,0.008498061
313,313,0.008485564
314,314,0.008487126
315,315,0.008502748
316,316,0.008471505
317,317,0.008501186
318,318,0.008515245
319,319,0.008513683
320,320,0.008507434
321,321,0.008485564
322,322,0.008480878
323,323,0.008501186
324,324,0.008502748
325,325,0.008501186
326,326,0.008507434
327,327,0.008479316
328,328,0.00850431
329,329,0.008480878
330,330,0.008498061
331,331,0.00848244
332,332,0.008455884
333,333,0.008435576
334,334,0.008493375
335,335,0.008487126
336,336,0.008498061
337,337,0.008498061
338,338,0.008498061
339,339,0.008479316
340,340,0.008490251
341,341,0.008465256
342,342,0.008513683
343,343,0.008508996
344,344,0.008491813
345,345,0.008513683
346,346,0.008499624
347,347,0.008496499
348,348,0.008505872
349,349,0.00850431
350,350,0.008505872
351,351,0.008488689
352,352,0.008494937
353,353,0.008498061
354,354,0.008454321
355,355,0.008454321
356,356,0.008465256
357,357,0.00850431
358,358,0.008488689
359,359,0.008508996
360,360,0.008508996
361,361,0.008490251
362,362,0.008491813
363,363,0.008498061
364,364,0.008499624
365,365,0.008502748
366,366,0.008510559
367,367,0.008471505
368,368,0.008480878
369,369,0.008499624
370,370,0.008507434
371,371,0.008494937
372,372,0.008494937
373,373,0.008501186
374,374,0.008515245
375,375,0.008508996
376,376,0.008471505
377,377,0.008501186
378,378,0.008459008
379,379,0.008508996
380,380,0.008502748
381,381,0.008480878
382,382,0.008490251
383,383,0.008496499
384,384,0.008479316
385,385,0.008494937
386,386,0.008496499
387,387,0.008496499
388,388,0.008501186
389,389,0.008473067
390,390,0.008477754
391,391,0.008498061
392,392,0.008491813
393,393,0.008476191
394,394,0.008513683
395,395,0.008501186
396,396,0.00846057
397,397,0.008505872
398,398,0.00850431
399,399,0.008494937
400,400,0.008498061
401,401,0.00848244
402,402,0.00850431
403,403,0.008505872
404,404,0.008491813
405,405,0.008508996
406,406,0.008510559
407,407,0.008496499
408,408,0.008501186
409,409,0.008491813
410,410,0.008484002
411,411,0.00850431
412,412,0.008498061
413,413,0.008488689
414,414,0.008501186
415,415,0.008479316
416,416,0.008501186
417,417,0.00850431
418,418,0.008496499
419,419,0.008505872
420,420,0.008491813
421,421,0.008510559
422,422,0.00850431
423,423,0.008507434
424,424,0.008515245
425,425,0.008499624
426,426,0.008502748
427,427,0.008490251
428,428,0.008512121
429,429,0.008466819
430,430,0.008496499
431,431,0.008498061
432,432,0.008499624
433,433,0.008502748
434,434,0.008462132
435,435,0.008507434
436,436,0.008512121
437,437,0.00850431
438,438,0.008498061
439,439,0.008485564
440,440,0.008510559
441,441,0.008496499
442,442,0.008512121
443,443,0.008493375
444,444,0.008501186
445,445,0.008499624
446,446,0.008479316
447,447,0.008494937
448,448,0.008512121
449,449,0.008513683
450,450,0.008512121
451,451,0.008498061
452,452,0.008474629
453,453,0.008508996
454,454,0.008468381
455,455,0.008502748
456,456,0.008502748
457,457,0.008496499
458,458,0.008488689
459,459,0.008499624
460,460,0.008471505
461,461,0.008512121
462,462,0.008507434
463,463,0.008515245
464,464,0.008494937
465,465,0.008510559
466,466,0.008488689
467,467,0.008485564
468,468,0.008469943
469,469,0.008512121
470,470,0.008490251
471,471,0.00850431
472,472,0.008499624
473,473,0.008512121
474,474,0.008510559
475,475,0.008498061
476,476,0.008501186
477,477,0.008499624
478,478,0.008513683
479,479,0.008502748
480,480,0.008499624
481,481,0.008493375
482,482,0.008507434
483,483,0.008477754
484,484,0.008491813
485,485,0.008493375
486,486,0.008493375
487,487,0.008499624
488,488,0.008515245
489,489,0.008490251
490,490,0.008510559
491,491,0.008501186
492,492,0.008512121
493,493,0.008515245
494,494,0.008515245
495,495,0.008487126
496,496,0.008513683
497,497,0.008507434
498,498,0.008507434
499,499,0.00850431
500,500,0.008490251
501,501,0.008490251
502,502,0.008515245
503,503,0.008494937
504,504,0.008471505
505,505,0.008501186
506,506,0.008505872
507,507,0.008491813
508,508,0.008498061
509,509,0.008502748
510,510,0.00850431
511,511,0.008508996
512,512,0.008493375
513,513,0.008498061
514,514,0.008513683
515,515,0.008507434
516,516,0.008515245
517,517,0.008505872
518,518,0.008496499
519,519,0.008515245
520,520,0.008508996
521,521,0.008502748
522,522,0.008510559
523,523,0.008498061
524,524,0.008512121
525,525,0.008513683
526,526,0.008515245
527,527,0.008505872
528,528,0.008505872
529,529,0.008508996
530,530,0.008513683
531,531,0.008513683
532,532,0.008479316
533,533,0.008508996
534,534,0.008512121
535,535,0.008512121
536,536,0.008513683
537,537,0.008513683
538,538,0.008502748
539,539,0.008512121
