,nodes,TR
0,105,261
1,16,186
2,196,146
3,299,140
4,3,138
5,41,131
6,204,121
7,203,116
8,48,113
9,551,112
10,433,110
11,45,108
12,388,108
13,214,103
14,115,102
15,55,101
16,0,99
17,139,97
18,353,97
19,331,94
20,332,94
21,725,93
22,40,90
23,197,90
24,23,88
25,127,87
26,20,86
27,211,86
28,218,85
29,145,83
30,273,81
31,395,80
32,151,78
33,755,78
34,22,77
35,56,77
36,38,75
37,205,75
38,1,74
39,209,74
40,380,74
41,572,73
42,142,72
43,200,72
44,75,71
45,503,71
46,563,71
47,57,70
48,302,69
49,71,67
50,587,67
51,383,66
52,53,65
53,389,65
54,49,64
55,61,64
56,392,63
57,445,63
58,570,63
59,281,62
60,885,62
61,887,62
62,3,61
63,63,61
64,184,61
65,18,60
66,192,60
67,58,59
68,326,59
69,340,59
70,787,59
71,215,58
72,400,58
73,589,58
74,9,56
75,13,56
76,68,56
77,84,55
78,133,55
79,149,55
80,884,55
81,886,55
82,119,54
83,355,53
84,593,53
85,17,52
86,354,52
87,541,52
88,141,51
89,21,50
90,217,50
91,381,50
92,232,49
93,288,49
94,451,49
95,12,48
96,29,48
97,51,48
98,213,48
99,438,48
100,384,47
101,453,47
102,5,46
103,8,46
104,193,46
105,409,46
106,459,46
107,6,45
108,65,45
109,182,45
110,206,45
111,590,45
112,723,45
113,11,44
114,39,44
115,146,44
116,105,43
117,144,43
118,175,43
119,659,43
120,267,42
121,385,42
122,653,42
123,10,41
124,44,41
125,334,41
126,67,40
127,240,39
128,181,38
129,221,38
130,729,38
131,33,37
132,136,37
133,212,37
134,266,37
135,377,37
136,779,37
137,64,36
138,83,36
139,199,35
140,328,35
141,360,35
142,482,35
143,315,34
144,375,34
145,386,34
146,26,33
147,330,33
148,466,33
149,484,33
150,697,33
151,80,32
152,320,32
153,321,32
154,728,32
155,152,31
156,188,31
157,242,31
158,366,31
159,382,31
160,414,31
161,14,30
162,19,30
163,30,30
164,148,30
165,210,30
166,270,30
167,553,30
168,79,29
169,89,29
170,111,29
171,196,29
172,198,29
173,351,29
174,370,29
175,419,29
176,425,29
177,583,29
178,724,29
179,768,29
180,43,28
181,123,28
182,238,28
183,250,28
184,542,28
185,584,28
186,54,27
187,164,27
188,201,27
189,367,27
190,488,27
191,591,27
192,92,26
193,126,26
194,220,26
195,485,26
196,512,26
197,847,26
198,116,25
199,134,25
200,167,25
201,187,25
202,743,25
203,154,24
204,357,24
205,429,24
206,774,24
207,785,24
208,944,24
209,1068,24
210,37,23
211,69,23
212,161,23
213,190,23
214,254,23
215,268,23
216,412,23
217,480,23
218,517,23
219,531,23
220,598,23
221,756,23
222,1004,23
223,1066,23
224,93,22
225,244,22
226,247,22
227,509,22
228,742,22
229,894,22
230,87,21
231,207,21
232,262,21
233,324,21
234,379,21
235,408,21
236,494,21
237,561,21
238,708,21
239,745,21
240,747,21
241,109,20
242,229,20
243,236,20
244,245,20
245,411,20
246,511,20
247,548,20
248,640,20
249,980,20
250,313,19
251,499,19
252,895,19
253,994,19
254,24,18
255,70,18
256,239,18
257,258,18
258,286,18
259,346,18
260,467,18
261,471,18
262,483,18
263,567,18
264,693,18
265,694,18
266,705,18
267,27,17
268,50,17
269,81,17
270,118,17
271,130,17
272,339,17
273,362,17
274,399,17
275,426,17
276,440,17
277,463,17
278,568,17
279,808,17
280,848,17
281,891,17
282,893,17
283,1034,17
284,103,16
285,112,16
286,226,16
287,227,16
288,283,16
289,333,16
290,442,16
291,502,16
292,577,16
293,597,16
294,744,16
295,832,16
296,833,16
297,919,16
298,982,16
299,42,15
300,62,15
301,147,15
302,189,15
303,202,15
304,237,15
305,253,15
306,290,15
307,292,15
308,343,15
309,641,15
310,823,15
311,890,15
312,1104,15
313,32,14
314,60,14
315,73,14
316,140,14
317,372,14
318,465,14
319,476,14
320,486,14
321,522,14
322,655,14
323,783,14
324,807,14
325,867,14
326,911,14
327,7,13
328,77,13
329,85,13
330,216,13
331,249,13
332,277,13
333,289,13
334,316,13
335,338,13
336,406,13
337,415,13
338,428,13
339,430,13
340,436,13
341,454,13
342,456,13
343,506,13
344,507,13
345,557,13
346,611,13
347,621,13
348,647,13
349,662,13
350,764,13
351,769,13
352,883,13
353,888,13
354,889,13
355,1042,13
356,1097,13
357,66,12
358,78,12
359,106,12
360,107,12
361,120,12
362,156,12
363,165,12
364,180,12
365,186,12
366,234,12
367,361,12
368,403,12
369,418,12
370,431,12
371,446,12
372,470,12
373,474,12
374,478,12
375,490,12
376,504,12
377,642,12
378,698,12
379,956,12
380,72,11
381,114,11
382,299,11
383,307,11
384,312,11
385,364,11
386,421,11
387,469,11
388,602,11
389,606,11
390,791,11
391,846,11
392,906,11
393,1003,11
394,1038,11
395,160,10
396,230,10
397,296,10
398,327,10
399,350,10
400,363,10
401,371,10
402,475,10
403,479,10
404,526,10
405,600,10
406,601,10
407,622,10
408,633,10
409,868,10
410,939,10
411,975,10
412,995,10
413,128,9
414,166,9
415,219,9
416,255,9
417,275,9
418,356,9
419,368,9
420,398,9
421,500,9
422,562,9
423,566,9
424,661,9
425,676,9
426,690,9
427,792,9
428,901,9
429,1025,9
430,88,8
431,129,8
432,131,8
433,171,8
434,304,8
435,311,8
436,335,8
437,391,8
438,437,8
439,444,8
440,455,8
441,508,8
442,649,8
443,656,8
444,871,8
445,909,8
446,945,8
447,952,8
448,1069,8
449,46,7
450,74,7
451,90,7
452,121,7
453,124,7
454,157,7
455,163,7
456,269,7
457,278,7
458,306,7
459,314,7
460,319,7
