,nodes_tr,TR,nodes_ec,EC,nodes_cnc,CnC,nodes_bc,BC,nodes_dc,DC,nodes_pr,pr
0,105,261,105,0.229102798,333,0.382820426,333,0.039489858,105,0.062720848,105,0.002245884
1,16,186,16,0.16529565,23,0.3816588,105,0.036931249,333,0.045936396,376,0.002010101
2,196,146,196,0.154247206,105,0.378215837,23,0.033462978,16,0.045053004,355,0.001982511
3,299,140,204,0.134882838,42,0.377585057,578,0.031556627,23,0.045053004,21,0.001969556
4,3,138,42,0.131570106,41,0.374958596,76,0.030117501,42,0.045053004,14,0.001954427
5,41,131,48,0.12792422,75,0.374338624,232,0.027717031,40,0.043286219,23,0.001939397
6,204,121,55,0.126369844,232,0.373350923,134,0.027264468,195,0.041519435,40,0.00191202
7,203,116,115,0.125009728,51,0.373227827,40,0.026499357,232,0.03975265,22,0.001908828
8,48,113,332,0.123656708,134,0.369934641,354,0.026387767,20,0.037985866,459,0.001868082
9,551,112,2,0.120652769,377,0.368609573,41,0.026024418,75,0.037985866,577,0.001845246
10,433,110,127,0.118464141,2,0.366699061,377,0.024904275,23,0.037102473,57,0.001835684
11,45,108,22,0.1165928,53,0.366580311,428,0.023789415,48,0.035335689,453,0.001803096
12,388,108,20,0.110333241,136,0.36516129,51,0.022929092,134,0.035335689,71,0.001800005
13,214,103,205,0.10876467,38,0.364221364,563,0.019889551,353,0.035335689,195,0.001797129
14,115,102,209,0.107614433,133,0.364221364,195,0.019788766,354,0.035335689,232,0.001791177
15,55,101,273,0.107190467,577,0.359821996,20,0.019476238,133,0.034452297,611,0.001782214
16,0,99,204,0.106821129,240,0.359023153,182,0.019401204,203,0.034452297,134,0.001781109
17,139,97,200,0.105474289,45,0.358795563,57,0.019392268,331,0.034452297,482,0.001777047
18,353,97,40,0.104180124,195,0.358001265,467,0.019348846,2,0.033568905,286,0.001737861
19,331,94,389,0.102996631,20,0.357888081,133,0.018893541,51,0.033568905,366,0.00170046
20,332,94,331,0.093163045,354,0.357888081,71,0.018273748,115,0.033568905,332,0.001683337
21,725,93,213,0.092033773,331,0.356647763,15,0.017842922,71,0.032685512,597,0.001676214
22,40,90,38,0.090428535,127,0.354858934,375,0.017655057,377,0.032685512,115,0.001659845
23,197,90,197,0.090285621,44,0.354747728,459,0.01735043,577,0.032685512,68,0.001629783
24,23,88,445,0.086447308,80,0.354747728,23,0.017216188,13,0.03180212,9,0.00162621
25,127,87,193,0.086122585,49,0.354303599,453,0.016805502,45,0.03180212,269,0.00162391
26,20,86,39,0.086095463,268,0.35308796,353,0.016438273,127,0.03180212,105,0.001607958
27,211,86,53,0.085944633,353,0.35286783,136,0.016369149,395,0.03180212,563,0.001603721
28,218,85,438,0.084042752,39,0.352428394,68,0.016084189,55,0.030918728,41,0.001603632
29,145,83,353,0.082566043,236,0.351880634,395,0.01567698,182,0.030918728,75,0.001598888
30,273,81,75,0.082443856,315,0.351334575,355,0.015138933,433,0.030918728,119,0.00159614
31,395,80,51,0.080685298,428,0.351007752,105,0.015060667,563,0.030918728,15,0.00159498
32,151,78,232,0.080059993,48,0.350898946,236,0.014758899,139,0.030035336,353,0.001593128
33,755,78,0,0.079083162,0,0.349706518,45,0.01438187,57,0.029151943,182,0.001579355
34,22,77,217,0.078676064,467,0.348951911,12,0.014128172,298,0.029151943,181,0.001576837
35,56,77,49,0.078589132,226,0.348844376,48,0.013736141,340,0.029151943,151,0.001574811
36,38,75,45,0.078291599,182,0.348522167,366,0.013644329,355,0.029151943,377,0.001573604
37,205,75,377,0.077968141,12,0.347239264,53,0.01359978,9,0.028268551,428,0.001573186
38,1,74,326,0.077840802,139,0.346707504,331,0.013506882,53,0.028268551,1,0.001566189
39,209,74,211,0.077828514,15,0.346601347,338,0.013438008,119,0.028268551,338,0.001561826
40,380,74,214,0.077088305,55,0.345860067,115,0.013327754,136,0.028268551,756,0.001534285
41,572,73,23,0.07634442,73,0.345860067,13,0.012620451,428,0.028268551,203,0.00152915
42,142,72,29,0.07259389,242,0.345754429,6,0.012585051,44,0.027385159,467,0.001504604
43,200,72,212,0.07223348,366,0.34533252,139,0.012521384,105,0.027385159,133,0.001503663
44,75,71,215,0.071732662,184,0.344806579,268,0.012381217,204,0.027385159,79,0.00149128
45,503,71,334,0.071177758,115,0.344701583,44,0.012256124,453,0.027385159,218,0.00148782
46,563,71,360,0.070417487,57,0.344596651,340,0.011625884,0,0.026501767,91,0.001486615
47,57,70,44,0.070323762,355,0.344177562,79,0.011581039,68,0.026501767,92,0.001478711
48,302,69,218,0.069997288,203,0.343655131,315,0.011528873,184,0.026501767,395,0.001477483
49,71,67,79,0.069034793,79,0.343550835,587,0.011431614,218,0.026501767,587,0.001472178
50,587,67,206,0.068208956,270,0.343550835,286,0.010997185,236,0.026501767,340,0.001460246
51,383,66,134,0.067493197,330,0.342718741,181,0.010918217,467,0.026501767,236,0.00145433
