,nodes,nodes_tr,nodes_bc,nodes_cnc,nodes_dc,nodes_ec,nodes_pr,nodes_TC,nodes_PI,nodes_CC,nodes_TPN
nodes,1,-0.9678,0.0102,-0.4847,1,-0.9678,0.3123,-0.9678,-0.9678,0.8609,-0.8795
nodes_tr,-0.9678,1,-0.2614,0.249,-0.9678,1,-0.0632,1,1,-0.7052,0.971
nodes_bc,0.0102,-0.2614,1,0.8697,0.0102,-0.2614,-0.9468,-0.2614,-0.2614,-0.5,-0.4847
nodes_cnc,-0.4847,0.249,0.8697,1,-0.4847,0.249,-0.9823,0.249,0.249,-0.8623,0.0102
nodes_dc,1,-0.9678,0.0102,-0.4847,1,-0.9678,0.3123,-0.9678,-0.9678,0.8609,-0.8795
nodes_ec,-0.9678,1,-0.2614,0.249,-0.9678,1,-0.0632,1,1,-0.7052,0.971
nodes_pr,0.3123,-0.0632,-0.9468,-0.9823,0.3123,-0.0632,1,-0.0632,-0.0632,0.7522,0.1773
nodes_TC,-0.9678,1,-0.2614,0.249,-0.9678,1,-0.0632,1,1,-0.7052,0.971
nodes_PI,-0.9678,1,-0.2614,0.249,-0.9678,1,-0.0632,1,1,-0.7052,0.971
nodes_CC,0.8609,-0.7052,-0.5,-0.8623,0.8609,-0.7052,0.7522,-0.7052,-0.7052,1,-0.5151
nodes_TPN,-0.8795,0.971,-0.4847,0.0102,-0.8795,0.971,0.1773,0.971,0.971,-0.5151,1
