,nodes_tr,nodes_bc,nodes_cnc,nodes_dc,nodes_ec,nodes_pr,nodes_TC,nodes_PI,nodes_CC,nodes_TPN
nodes_tr,1.0,-0.2614,0.249,-0.9678,1.0,-0.0632,1.0,0.3608,-0.7052,-0.0771
nodes_bc,-0.2614,1.0,0.8697,0.0102,-0.2614,-0.9468,-0.2614,0.8059,-0.5,0.9825
nodes_cnc,0.249,0.8697,1.0,-0.4847,0.249,-0.9823,0.249,0.9931,-0.8623,0.9464
nodes_dc,-0.9678,0.0102,-0.4847,1.0,-0.9678,0.3123,-0.9678,-0.5838,0.8609,-0.1762
nodes_ec,1.0,-0.2614,0.249,-0.9678,1.0,-0.0632,1.0,0.3608,-0.7052,-0.0771
nodes_pr,-0.0632,-0.9468,-0.9823,0.3123,-0.0632,1.0,-0.0632,-0.9536,0.7522,-0.9901
nodes_TC,1.0,-0.2614,0.249,-0.9678,1.0,-0.0632,1.0,0.3608,-0.7052,-0.0771
nodes_PI,0.3608,0.8059,0.9931,-0.5838,0.3608,-0.9536,0.3608,1.0,-0.9157,0.9021
nodes_CC,-0.7052,-0.5,-0.8623,0.8609,-0.7052,0.7522,-0.7052,-0.9157,1.0,-0.6525
nodes_TPN,-0.0771,0.9825,0.9464,-0.1762,-0.0771,-0.9901,-0.0771,0.9021,-0.6525,1.0
