,nodes,nodes_tr,nodes_bc,nodes_cnc,nodes_dc,nodes_ec,nodes_pr,nodes_TC,nodes_PI,nodes_CC,nodes_TPN
nodes,1,-1,0.333333333,-0.333333333,1,-1,0.333333333,-1,-1,0.333333333,-1
nodes_tr,-1,1,-0.333333333,0.333333333,-1,1,-0.333333333,1,1,-0.333333333,1
nodes_bc,0.333333333,-0.333333333,1,0.333333333,0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333
nodes_cnc,-0.333333333,0.333333333,0.333333333,1,-0.333333333,0.333333333,-1,0.333333333,0.333333333,-1,0.333333333
nodes_dc,1,-1,0.333333333,-0.333333333,1,-1,0.333333333,-1,-1,0.333333333,-1
nodes_ec,-1,1,-0.333333333,0.333333333,-1,1,-0.333333333,1,1,-0.333333333,1
nodes_pr,0.333333333,-0.333333333,-0.333333333,-1,0.333333333,-0.333333333,1,-0.333333333,-0.333333333,1,-0.333333333
nodes_TC,-1,1,-0.333333333,0.333333333,-1,1,-0.333333333,1,1,-0.333333333,1
nodes_PI,-1,1,-0.333333333,0.333333333,-1,1,-0.333333333,1,1,-0.333333333,1
nodes_CC,0.333333333,-0.333333333,-0.333333333,-1,0.333333333,-0.333333333,1,-0.333333333,-0.333333333,1,-0.333333333
nodes_TPN,-1,1,-0.333333333,0.333333333,-1,1,-0.333333333,1,1,-0.333333333,1
