,TR,TR_i,EC,EC_i,CNC,CNC_i,BC,BC_i,DC,DC_i,PR,PR_i
1,1,18,34,0.373371213013235,1,0.5689655172413793,1,0.43763528138528146,34,0.5151515151515151,34,0.0636336459066375
2,34,15,1,0.3554834941851943,3,0.559322033898305,34,0.30407497594997596,1,0.48484848484848486,1,0.0606376426470952
3,33,13,3,0.31718938996844476,34,0.55,33,0.145247113997114,33,0.36363636363636365,33,0.04916045404936609
4,2,12,33,0.3086510477336959,32,0.5409836065573771,3,0.14365680615680618,3,0.30303030303030304,2,0.0392678925742952
5,3,11,2,0.2659538704545025,9,0.515625,32,0.13827561327561325,2,0.2727272727272727,3,0.03893277112904348
6,4,10,9,0.2274050914716605,14,0.515625,9,0.05592682780182781,4,0.18181818181818182,32,0.03188015094553734
7,8,6,14,0.22646969838808148,33,0.515625,2,0.053936688311688304,32,0.18181818181818182,4,0.031240711998370276
8,14,6,4,0.2111740783205706,20,0.5,14,0.04586339586339586,9,0.15151515151515152,6,0.030449948865522845
9,9,5,32,0.19103626979791702,2,0.4852941176470588,20,0.03247504810004811,14,0.15151515151515152,7,0.030449948865522845
10,24,4,31,0.17476027834493085,4,0.4647887323943662,6,0.02998737373737374,24,0.15151515151515152,24,0.02978033660402666
11,30,4,8,0.17095511498035434,28,0.4583333333333333,7,0.029987373737373736,6,0.12121212121212122,30,0.028302001560873515
12,6,3,24,0.15012328691726787,31,0.4583333333333333,28,0.02233345358345358,7,0.12121212121212122,28,0.02735589603715775
13,7,3,20,0.14791134007618667,29,0.4520547945205479,24,0.017613636363636363,8,0.12121212121212122,9,0.027185996434815958
14,31,3,30,0.13496528673866567,8,0.44,31,0.014411976911976909,28,0.12121212121212122,25,0.02689990111143566
15,32,3,28,0.13347932684333308,10,0.4342105263157895,4,0.011909271284271283,30,0.12121212121212122,14,0.026886907799867327
16,5,2,29,0.13107925627221215,24,0.39285714285714285,26,0.0038404882154882154,31,0.12121212121212122,5,0.0266765908636498
17,11,2,10,0.10267519030637758,6,0.38372093023255816,30,0.0029220779220779218,5,0.09090909090909091,11,0.0266765908636498
18,13,1,15,0.10140627846270832,7,0.38372093023255816,25,0.0022095959595959595,11,0.09090909090909091,26,0.02665910957410943
19,15,1,16,0.10140627846270832,30,0.38372093023255816,29,0.0017947330447330447,20,0.09090909090909091,31,0.025880133438816698
20,16,1,19,0.10140627846270832,5,0.3793103448275862,10,0.0008477633477633478,25,0.09090909090909091,8,0.02576403422993095
21,17,1,21,0.10140627846270832,11,0.3793103448275862,5,0.0006313131313131313,26,0.09090909090909091,17,0.025155765071474784
22,18,1,23,0.10140627846270832,18,0.375,11,0.0006313131313131313,29,0.09090909090909091,29,0.0244731363471689
23,19,1,18,0.09239675666845953,22,0.375,8,0.0,10,0.06060606060606061,20,0.024156910864807823
24,20,1,22,0.09239675666845953,25,0.375,12,0.0,13,0.06060606060606061,27,0.02383378704029183
25,21,1,13,0.08425192086558088,26,0.375,13,0.0,15,0.06060606060606061,13,0.023287179377103277
26,22,1,6,0.07948057788594247,13,0.3707865168539326,15,0.0,16,0.06060606060606061,18,0.023034037294871447
27,23,1,7,0.07948057788594247,15,0.3707865168539326,16,0.0,17,0.06060606060606061,22,0.023034037294871447
28,25,1,5,0.07596645881657382,16,0.3707865168539326,17,0.0,18,0.06060606060606061,15,0.022940049905472305
29,26,1,11,0.07596645881657381,19,0.3707865168539326,18,0.0,19,0.06060606060606061,16,0.022940049905472305
30,27,1,27,0.07558192219009324,21,0.3707865168539326,19,0.0,21,0.06060606060606061,19,0.022940049905472305
31,28,1,26,0.05920820250279008,23,0.3707865168539326,21,0.0,22,0.06060606060606061,21,0.022940049905472305
32,29,1,25,0.05705373563802805,12,0.36666666666666664,22,0.0,23,0.06060606060606061,23,0.022940049905472305
33,10,0,12,0.05285416945233648,27,0.3626373626373626,23,0.0,27,0.06060606060606061,10,0.022879079052167434
34,12,0,17,0.023634794260596875,17,0.28448275862068967,27,0.0,12,0.030303030303030304,12,0.02172515263015718
