,nodes,CnC
0,1,0.5689655172413793
1,3,0.559322033898305
2,34,0.55
3,32,0.5409836065573771
4,9,0.515625
5,13,0.515625
6,32,0.515625
7,19,0.5
8,1,0.4852941176470588
9,3,0.4647887323943662
10,27,0.4583333333333333
11,30,0.4583333333333333
12,28,0.4520547945205479
13,7,0.44
14,9,0.4342105263157895
15,23,0.39285714285714285
16,5,0.38372093023255816
17,6,0.38372093023255816
18,29,0.38372093023255816
19,4,0.3793103448275862
20,10,0.3793103448275862
21,17,0.375
22,21,0.375
23,24,0.375
24,25,0.375
25,12,0.3707865168539326
26,14,0.3707865168539326
27,15,0.3707865168539326
28,18,0.3707865168539326
29,20,0.3707865168539326
30,22,0.3707865168539326
31,11,0.36666666666666664
32,26,0.3626373626373626
33,16,0.28448275862068967
