,nodes,DC
0,34,0.5151515151515151
1,1,0.48484848484848486
2,33,0.36363636363636365
3,3,0.30303030303030304
4,2,0.2727272727272727
5,3,0.18181818181818182
6,31,0.18181818181818182
7,8,0.15151515151515152
8,13,0.15151515151515152
9,23,0.15151515151515152
10,5,0.12121212121212122
11,6,0.12121212121212122
12,7,0.12121212121212122
13,27,0.12121212121212122
14,29,0.12121212121212122
15,30,0.12121212121212122
16,4,0.09090909090909091
17,10,0.09090909090909091
18,19,0.09090909090909091
19,24,0.09090909090909091
20,25,0.09090909090909091
21,28,0.09090909090909091
22,9,0.06060606060606061
23,12,0.06060606060606061
24,14,0.06060606060606061
25,15,0.06060606060606061
26,16,0.06060606060606061
27,17,0.06060606060606061
28,18,0.06060606060606061
29,20,0.06060606060606061
30,21,0.06060606060606061
31,22,0.06060606060606061
32,26,0.06060606060606061
33,11,0.030303030303030304
