,nodes_tr,TR,nodes_ec,EC,nodes_cnc,CnC,nodes_bc,BC,nodes_dc,DC,nodes_pr,pr
0,1,18,34,0.373371213,1,0.568965517,1,0.437635281,34,0.515151515,34,0.063633646
1,34,15,1,0.355483494,3,0.559322034,34,0.304074976,1,0.484848485,1,0.060637643
2,33,13,3,0.31718939,34,0.55,33,0.145247114,33,0.363636364,33,0.049160454
3,2,12,33,0.308651048,32,0.540983607,3,0.143656806,3,0.303030303,2,0.039267893
4,3,11,2,0.26595387,9,0.515625,32,0.138275613,2,0.272727273,3,0.038932771
5,3,10,8,0.227405091,13,0.515625,8,0.055926828,3,0.181818182,31,0.031880151
6,7,6,13,0.226469698,32,0.515625,1,0.053936688,31,0.181818182,3,0.031240712
7,13,6,3,0.211174078,19,0.5,13,0.045863396,8,0.151515152,5,0.030449949
8,8,5,31,0.19103627,1,0.485294118,19,0.032475048,13,0.151515152,6,0.030449949
9,23,4,30,0.174760278,3,0.464788732,5,0.029987374,23,0.151515152,23,0.029780337
10,29,4,7,0.170955115,27,0.458333333,6,0.029987374,5,0.121212121,29,0.028302002
11,5,3,23,0.150123287,30,0.458333333,27,0.022333454,6,0.121212121,27,0.027355896
12,6,3,19,0.14791134,28,0.452054795,23,0.017613636,7,0.121212121,8,0.027185996
13,30,3,29,0.134965287,7,0.44,30,0.014411977,27,0.121212121,24,0.026899901
14,31,3,27,0.133479327,9,0.434210526,3,0.011909271,29,0.121212121,13,0.026886908
15,4,2,28,0.131079256,23,0.392857143,25,0.003840488,30,0.121212121,4,0.026676591
16,10,2,9,0.10267519,5,0.38372093,29,0.002922078,4,0.090909091,10,0.026676591
17,12,1,14,0.101406278,6,0.38372093,24,0.002209596,10,0.090909091,25,0.02665911
18,14,1,15,0.101406278,29,0.38372093,28,0.001794733,19,0.090909091,30,0.025880133
19,15,1,18,0.101406278,4,0.379310345,9,0.000847763,24,0.090909091,7,0.025764034
20,16,1,20,0.101406278,10,0.379310345,4,0.000631313,25,0.090909091,16,0.025155765
21,17,1,22,0.101406278,17,0.375,10,0.000631313,28,0.090909091,28,0.024473136
22,18,1,17,0.092396757,21,0.375,7,0,9,0.060606061,19,0.024156911
23,19,1,21,0.092396757,24,0.375,11,0,12,0.060606061,26,0.023833787
24,20,1,12,0.084251921,25,0.375,12,0,14,0.060606061,12,0.023287179
25,21,1,5,0.079480578,12,0.370786517,14,0,15,0.060606061,17,0.023034037
26,22,1,6,0.079480578,14,0.370786517,15,0,16,0.060606061,21,0.023034037
27,24,1,4,0.075966459,15,0.370786517,16,0,17,0.060606061,14,0.02294005
28,25,1,10,0.075966459,18,0.370786517,17,0,18,0.060606061,15,0.02294005
29,26,1,26,0.075581922,20,0.370786517,18,0,20,0.060606061,18,0.02294005
30,27,1,25,0.059208203,22,0.370786517,20,0,21,0.060606061,20,0.02294005
31,28,1,24,0.057053736,11,0.366666667,21,0,22,0.060606061,22,0.02294005
32,9,0,11,0.052854169,26,0.362637363,22,0,26,0.060606061,9,0.022879079
33,11,0,16,0.023634794,16,0.284482759,26,0,11,0.03030303,11,0.021725153
