,nodes,nodes_tr,nodes_bc,nodes_cnc,nodes_dc,nodes_ec,nodes_pr,nodes_TC,nodes_PI,nodes_CC,nodes_TPN
nodes,1.0,-0.5454,-0.5454,0.4285,1.0,0.5682,1.0,-0.5454,-0.4532,-0.9996,-0.4532
nodes_tr,-0.5454,1.0,1.0,0.5236,-0.5454,-0.9996,-0.5454,1.0,-0.5,0.5682,-0.5
nodes_bc,-0.5454,1.0,1.0,0.5236,-0.5454,-0.9996,-0.5454,1.0,-0.5,0.5682,-0.5
nodes_cnc,0.4285,0.5236,0.5236,1.0,0.4285,-0.5,0.4285,0.5236,-0.9996,-0.4036,-0.9996
nodes_dc,1.0,-0.5454,-0.5454,0.4285,1.0,0.5682,1.0,-0.5454,-0.4532,-0.9996,-0.4532
nodes_ec,0.5682,-0.9996,-0.9996,-0.5,0.5682,1.0,0.5682,-0.9996,0.4761,-0.5906,0.4761
nodes_pr,1.0,-0.5454,-0.5454,0.4285,1.0,0.5682,1.0,-0.5454,-0.4532,-0.9996,-0.4532
nodes_TC,-0.5454,1.0,1.0,0.5236,-0.5454,-0.9996,-0.5454,1.0,-0.5,0.5682,-0.5
nodes_PI,-0.4532,-0.5,-0.5,-0.9996,-0.4532,0.4761,-0.4532,-0.5,1.0,0.4285,1.0
nodes_CC,-0.9996,0.5682,0.5682,-0.4036,-0.9996,-0.5906,-0.9996,0.5682,0.4285,1.0,0.4285
nodes_TPN,-0.4532,-0.5,-0.5,-0.9996,-0.4532,0.4761,-0.4532,-0.5,1.0,0.4285,1.0
